dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
107170,8,117.202228,39.123457,花园路社区居委会,,120101,022,120101001001,111,,,,,,,,,2,100,1001,1202,2017,10340,107170,,
107171,8,117.198969,39.121521,滨西社区居委会,,120101,022,120101001002,111,,,,,,,,,2,100,1001,1202,2017,10340,107171,,
107172,8,117.193228,39.120603,兆丰路社区居委会,,120101,022,120101001004,111,,,,,,,,,2,100,1001,1202,2017,10340,107172,,
107173,8,117.192135,39.122597,林泉社区居委会,,120101,022,120101001005,111,,,,,,,,,2,100,1001,1202,2017,10340,107173,,
107174,8,117.186422,39.123783,新疆路社区居委会,,120101,022,120101001006,111,,,,,,,,,2,100,1001,1202,2017,10340,107174,,
107175,8,117.181066,39.123032,南京路社区居委会,,120101,022,120101001007,111,,,,,,,,,2,100,1001,1202,2017,10340,107175,,
107176,8,117.187885,39.123329,宁夏路社区居委会,,120101,022,120101001008,111,,,,,,,,,2,100,1001,1202,2017,10340,107176,,
107177,8,117.19288,39.126454,福明社区居委会,,120101,022,120101001009,111,,,,,,,,,2,100,1001,1202,2017,10340,107177,,
107178,8,117.19429,39.127382,百货大楼社区居委会,,120101,022,120101001010,111,,,,,,,,,2,100,1001,1202,2017,10340,107178,,
107179,8,117.195886,39.127043,新津社区居委会,,120101,022,120101001012,111,,,,,,,,,2,100,1001,1202,2017,10340,107179,,
107180,8,117.193428,39.124806,蒙古路社区居委会,,120101,022,120101001013,111,,,,,,,,,2,100,1001,1202,2017,10340,107180,,
107181,8,117.189289,39.125108,静园社区居委会,,120101,022,120101001014,111,,,,,,,,,2,100,1001,1202,2017,10340,107181,,
107182,8,117.21067,39.11693,泰安道社区居委会,,120101,022,120101002002,111,,,,,,,,,2,100,1001,1202,2017,10341,107182,,
107183,8,117.205583,39.122111,树德里社区居委会,,120101,022,120101002003,111,,,,,,,,,2,100,1001,1202,2017,10341,107183,,
107184,8,117.203271,39.120249,崇仁里社区居委会,,120101,022,120101002004,111,,,,,,,,,2,100,1001,1202,2017,10341,107184,,
107185,8,117.209099,39.126884,承德道社区居委会,,120101,022,120101002007,111,,,,,,,,,2,100,1001,1202,2017,10341,107185,,
107186,8,117.205457,39.128546,长春道社区居委会,,120101,022,120101002009,111,,,,,,,,,2,100,1001,1202,2017,10341,107186,,
107187,8,117.210911,39.128597,解放路社区居委会,,120101,022,120101002010,111,,,,,,,,,2,100,1001,1202,2017,10341,107187,,
107188,8,117.212834,39.121144,达文里社区居委会,,120101,022,120101002012,111,,,,,,,,,2,100,1001,1202,2017,10341,107188,,
107189,8,117.207067,39.124661,大同道社区居委会,,120101,022,120101002013,111,,,,,,,,,2,100,1001,1202,2017,10341,107189,,
107190,8,117.220654,39.117342,开封道社区居委会,,120101,022,120101002014,111,,,,,,,,,2,100,1001,1202,2017,10341,107190,,
107191,8,117.202373,39.10758,育文坊社区居委会,,120101,022,120101003001,111,,,,,,,,,2,100,1001,1202,2017,10342,107191,,
107192,8,117.196891,39.106392,友谊里社区居委会,,120101,022,120101003003,111,,,,,,,,,2,100,1001,1202,2017,10342,107192,,
107193,8,117.197423,39.106897,文化里社区居委会,,120101,022,120101003004,111,,,,,,,,,2,100,1001,1202,2017,10342,107193,,
107194,8,117.195131,39.111278,福林里社区居委会,,120101,022,120101003005,111,,,,,,,,,2,100,1001,1202,2017,10342,107194,,
107195,8,117.197152,39.115363,尚友里社区居委会,,120101,022,120101003008,111,,,,,,,,,2,100,1001,1202,2017,10342,107195,,
107196,8,117.200984,39.114884,泰来里社区居委会,,120101,022,120101003009,111,,,,,,,,,2,100,1001,1202,2017,10342,107196,,
107197,8,117.203826,39.114826,湖南路社区居委会,,120101,022,120101003013,111,,,,,,,,,2,100,1001,1202,2017,10342,107197,,
107198,8,117.210195,39.115776,澳门路社区居委会,,120101,022,120101003015,111,,,,,,,,,2,100,1001,1202,2017,10342,107198,,
107199,8,117.208604,39.113945,三盛里社区居委会,,120101,022,120101003017,111,,,,,,,,,2,100,1001,1202,2017,10342,107199,,
107200,8,117.200739,39.110617,安乐村社区居委会,,120101,022,120101003018,111,,,,,,,,,2,100,1001,1202,2017,10342,107200,,
107201,8,117.163627,39.113419,国际公寓第一社区居委会,,120104,022,120101003019,111,,,,,,,,,2,100,1001,1202,2017,10342,107201,,
