gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
304592,8,117.309021,31.865925,填海巷社区居委会,,340102,0551,340102001001,111,,,,,,,,,2,100,1011,1298,2965,23431,304592,,
304593,8,117.307179,31.856484,金大塘社区居委会,,340102,0551,340102001002,111,,,,,,,,,2,100,1011,1298,2965,23431,304593,,
304594,8,117.307596,31.851988,全椒路社区居委会,,340102,0551,340102001003,111,,,,,,,,,2,100,1011,1298,2965,23431,304594,,
304595,8,117.303463,31.862915,凤凰桥社区居委会,,340102,0551,340102003001,111,,,,,,,,,2,100,1011,1298,2965,23432,304595,,
304596,8,117.301437,31.862853,滁洲路社区居委会,,340102,0551,340102003002,111,,,,,,,,,2,100,1011,1298,2965,23432,304596,,
304597,8,117.301437,31.862853,大窑湾社区居委会,,340102,0551,340102003003,111,,,,,,,,,2,100,1011,1298,2965,23432,304597,,
304598,8,117.301437,31.862853,建设社区居委会,,340102,0551,340102003004,111,,,,,,,,,2,100,1011,1298,2965,23432,304598,,
304599,8,117.290293,31.860147,红旗社区居委会,,340103,0551,340102003005,111,,,,,,,,,2,100,1011,1298,2965,23432,304599,,
304600,8,117.301437,31.862853,戴安桥社区居委会,,340102,0551,340102003006,111,,,,,,,,,2,100,1011,1298,2965,23432,304600,,
304601,8,117.301437,31.862853,濉溪东路社区居委会,,340102,0551,340102003007,111,,,,,,,,,2,100,1011,1298,2965,23432,304601,,
304602,8,117.314844,31.871238,临淮路社区居委会,,340102,0551,340102004001,111,,,,,,,,,2,100,1011,1298,2965,23433,304602,,
304603,8,117.316549,31.872984,三里一村社区居委会,,340102,0551,340102004002,111,,,,,,,,,2,100,1011,1298,2965,23433,304603,,
304604,8,117.316586,31.866542,三里三村社区居委会,,340102,0551,340102004003,111,,,,,,,,,2,100,1011,1298,2965,23433,304604,,
304605,8,117.311501,31.873137,铁路一村社区居委会,,340102,0551,340102004004,111,,,,,,,,,2,100,1011,1298,2965,23433,304605,,
304606,8,117.316549,31.872984,凤阳一村社区居委会,,340102,0551,340102004005,111,,,,,,,,,2,100,1011,1298,2965,23433,304606,,
304607,8,117.316549,31.872984,凤阳路社区居委会,,340102,0551,340102004006,111,,,,,,,,,2,100,1011,1298,2965,23433,304607,,
304608,8,117.320116,31.870314,天长路社区居委会,,340102,0551,340102004007,111,,,,,,,,,2,100,1011,1298,2965,23433,304608,,
304609,8,117.320535,31.864977,来安路社区居委会,,340102,0551,340102004008,111,,,,,,,,,2,100,1011,1298,2965,23433,304609,,
304610,8,117.328624,31.867026,五里井社区居委会,,340102,0551,340102005001,111,,,,,,,,,2,100,1011,1298,2965,23434,304610,,
304611,8,117.328692,31.86832,合浦北村社区居委会,,340102,0551,340102005002,111,,,,,,,,,2,100,1011,1298,2965,23434,304611,,
304612,8,117.322946,31.870626,泗洲路社区居委会,,340102,0551,340102005003,111,,,,,,,,,2,100,1011,1298,2965,23434,304612,,
304613,8,117.322946,31.870626,铜陵新村社区居委会,,340102,0551,340102005004,111,,,,,,,,,2,100,1011,1298,2965,23434,304613,,
304614,8,117.328212,31.866082,铜南社区居委会,,340102,0551,340102005005,111,,,,,,,,,2,100,1011,1298,2965,23434,304614,,
304615,8,117.335239,31.862599,花溪社区居委会,,340102,0551,340102005006,111,,,,,,,,,2,100,1011,1298,2965,23434,304615,,
304616,8,117.329504,31.861922,花冲社区居委会,,340102,0551,340102005007,111,,,,,,,,,2,100,1011,1298,2965,23434,304616,,
304617,8,117.340709,31.865339,紫竹苑社区居委会,,340102,0551,340102006001,111,,,,,,,,,2,100,1011,1298,2965,23435,304617,,
304618,8,117.33912,31.87048,站塘社区居委会,,340102,0551,340102006002,111,,,,,,,,,2,100,1011,1298,2965,23435,304618,,
304619,8,117.347648,31.865128,学苑社区居委会,,340102,0551,340102006003,111,,,,,,,,,2,100,1011,1298,2965,23435,304619,,
304620,8,117.357139,31.869884,恒通社区居委会,,340102,0551,340102006004,111,,,,,,,,,2,100,1011,1298,2965,23435,304620,,
304621,8,117.338854,31.866845,廿埠社区居委会,,340102,0551,340102006005,111,,,,,,,,,2,100,1011,1298,2965,23435,304621,,
304622,8,117.34206,31.867661,东七社区居委会,,340102,0551,340102006006,111,,,,,,,,,2,100,1011,1298,2965,23435,304622,,
304623,8,117.346698,31.847709,枞阳路社区居委会,,340102,0551,340102007001,111,,,,,,,,,2,100,1011,1298,2965,23436,304623,,
304624,8,117.348457,31.854155,钢北新村社区居委会,,340102,0551,340102007002,111,,,,,,,,,2,100,1011,1298,2965,23436,304624,,
304625,8,117.346725,31.860285,土山南路社区居委会,,340102,0551,340102007003,111,,,,,,,,,2,100,1011,1298,2965,23436,304625,,
304626,8,117.34183,31.8422,化南社区居委会,,340102,0551,340102007005,111,,,,,,,,,2,100,1011,1298,2965,23436,304626,,
304627,8,117.32634,31.853872,肥东路社区居委会,,340102,0551,340102008001,111,,,,,,,,,2,100,1011,1298,2965,23437,304627,,
304628,8,117.323818,31.854652,茂林路社区居委会,,340102,0551,340102008002,111,,,,,,,,,2,100,1011,1298,2965,23437,304628,,
304629,8,117.323818,31.854652,当涂路社区居委会,,340102,0551,340102008003,111,,,,,,,,,2,100,1011,1298,2965,23437,304629,,
304630,8,117.323818,31.854652,裕溪路社区居委会,,340102,0551,340102008004,111,,,,,,,,,2,100,1011,1298,2965,23437,304630,,
304631,8,117.324211,31.858752,华业社区居委会,,340102,0551,340102008005,111,,,,,,,,,2,100,1011,1298,2965,23437,304631,,
304632,8,117.316876,31.858384,荻港路社区居委会,,340102,0551,340102008006,111,,,,,,,,,2,100,1011,1298,2965,23437,304632,,
304633,8,117.32329,31.85446,繁昌路社区居委会,,340102,0551,340102008007,111,,,,,,,,,2,100,1011,1298,2965,23437,304633,,
304634,8,117.323818,31.854652,绿苑社区居委会,,340102,0551,340102008008,111,,,,,,,,,2,100,1011,1298,2965,23437,304634,,
304635,8,117.33416,31.851088,唐桥社区居委会,,340102,0551,340102010001,111,,,,,,,,,2,100,1011,1298,2965,23438,304635,,
304636,8,117.320941,31.848086,隆岗村社区居委会,,340102,0551,340102010002,111,,,,,,,,,2,100,1011,1298,2965,23438,304636,,
304637,8,117.345072,31.844479,柳荫塘社区居委会,,340102,0551,340102010003,111,,,,,,,,,2,100,1011,1298,2965,23438,304637,,
304638,8,117.314278,31.850894,合裕路社区居委会,,340102,0551,340102010004,111,,,,,,,,,2,100,1011,1298,2965,23438,304638,,
304639,8,117.334335,31.851272,大王庙社区居委会,,340102,0551,340102010005,111,,,,,,,,,2,100,1011,1298,2965,23438,304639,,
304640,8,117.305065,31.875407,长淮社区居委会,,340102,0551,340102011001,111,,,,,,,,,2,100,1011,1298,2965,23439,304640,,
304641,8,117.302065,31.88283,胜利社区居委会,,340102,0551,340102011002,111,,,,,,,,,2,100,1011,1298,2965,23439,304641,,
304642,8,117.308614,31.871842,临泉中路社区居委会,,340102,0551,340102011003,111,,,,,,,,,2,100,1011,1298,2965,23439,304642,,
304643,8,117.311104,31.884134,火车站广场社区居委会,,340102,0551,340102011004,111,,,,,,,,,2,100,1011,1298,2965,23439,304643,,
304644,8,117.309215,31.882098,红星村社区居委会,,340102,0551,340102011006,111,,,,,,,,,2,100,1011,1298,2965,23439,304644,,
304645,8,117.308614,31.871842,元一社区居委会,,340102,0551,340102011007,111,,,,,,,,,2,100,1011,1298,2965,23439,304645,,
304646,8,117.307487,31.887008,长春社区居委会,,340102,0551,340102011008,111,,,,,,,,,2,100,1011,1298,2965,23439,304646,,
304647,8,117.374804,31.87593,大市场社区居委会,,340102,0551,340102012001,111,,,,,,,,,2,100,1011,1298,2965,23440,304647,,
304648,8,117.374804,31.87593,汪塘社区居委会,,340102,0551,340102012002,111,,,,,,,,,2,100,1011,1298,2965,23440,304648,,
304649,8,117.323782,31.875395,万绿园社区居委会,,340102,0551,340102012003,111,,,,,,,,,2,100,1011,1298,2965,23440,304649,,
304650,8,117.374804,31.87593,香格里拉社区居委会,,340102,0551,340102012006,111,,,,,,,,,2,100,1011,1298,2965,23440,304650,,
304651,8,117.339183,31.876784,森海社区居委会,,340102,0551,340102012007,111,,,,,,,,,2,100,1011,1298,2965,23440,304651,,
304652,8,117.33912,31.87048,站塘社区居委会,,340102,0551,340102012008,111,,,,,,,,,2,100,1011,1298,2965,23440,304652,,
304653,8,117.374804,31.87593,天辉社区居委会,,340102,0551,340102012009,111,,,,,,,,,2,100,1011,1298,2965,23440,304653,,
304654,8,117.323303,31.886147,香江佳元社区居委会,,340102,0551,340102012010,111,,,,,,,,,2,100,1011,1298,2965,23440,304654,,
304655,8,117.302517,31.889553,七里塘社区居委会,,340102,0551,340102014001,111,,,,,,,,,2,100,1011,1298,2965,23441,304655,,
304656,8,117.291491,31.881227,板桥社区居委会,,340102,0551,340102014002,111,,,,,,,,,2,100,1011,1298,2965,23441,304656,,
304657,8,117.295413,31.884134,三角线社区居委会,,340102,0551,340102014003,111,,,,,,,,,2,100,1011,1298,2965,23441,304657,,
304658,8,117.381813,31.835974,四岗社区居委会,,340102,0551,340102100001,111,,,,,,,,,2,100,1011,1298,2965,23442,304658,,
304659,8,117.382057,31.835948,钟油坊社区居委会,,340102,0551,340102100002,112,,,,,,,,,2,100,1011,1298,2965,23442,304659,,
304660,8,117.355546,31.867908,漕冲社区居委会,,340102,0551,340102100003,122,,,,,,,,,2,100,1011,1298,2965,23442,304660,,
304661,8,117.371877,31.845303,兴集社区居委会,,340102,0551,340102100004,112,,,,,,,,,2,100,1011,1298,2965,23442,304661,,
304662,8,117.366902,31.83941,双圩社区居委会,,340102,0551,340102100005,112,,,,,,,,,2,100,1011,1298,2965,23442,304662,,
304663,8,117.393417,31.834788,伏龙社区居委会,,340102,0551,340102100006,112,,,,,,,,,2,100,1011,1298,2965,23442,304663,,
304664,8,117.38417,31.83093,东岗社区居委会,,340102,0551,340102100007,112,,,,,,,,,2,100,1011,1298,2965,23442,304664,,
304665,8,117.38015,31.833946,钢红社区居委会,,340102,0551,340102100008,111,,,,,,,,,2,100,1011,1298,2965,23442,304665,,
304666,8,117.382057,31.835948,钢南社区居委会,,340102,0551,340102100009,111,,,,,,,,,2,100,1011,1298,2965,23442,304666,,
304667,8,117.382057,31.835948,新海家园社区居委会,,340102,0551,340102100010,111,,,,,,,,,2,100,1011,1298,2965,23442,304667,,
304668,8,117.361553,31.870459,新站社区居委会,,340102,0551,340102401001,111,,,,,,,,,2,100,1011,1298,2965,23443,304668,,
304669,8,117.371442,31.864079,马岗社区居委会,,340102,0551,340102401002,111,,,,,,,,,2,100,1011,1298,2965,23443,304669,,
304670,8,117.379211,31.875675,罗岗社区居委会,,340102,0551,340102401003,112,,,,,,,,,2,100,1011,1298,2965,23443,304670,,
304671,8,117.357761,31.874481,史城社区居委会,,340102,0551,340102401004,112,,,,,,,,,2,100,1011,1298,2965,23443,304671,,
304672,8,117.397819,31.876051,王岗社区居委会,,340102,0551,340102401005,111,,,,,,,,,2,100,1011,1298,2965,23443,304672,,
304673,8,117.37499,31.885147,大店社区居委会,,340102,0551,340102401006,112,,,,,,,,,2,100,1011,1298,2965,23443,304673,,
304674,8,117.399596,31.883847,油坊社区居委会,,340102,0551,340102401007,220,,,,,,,,,2,100,1011,1298,2965,23443,304674,,
304675,8,117.37499,31.885147,大彭社区居委会,,340102,0551,340102401008,220,,,,,,,,,2,100,1011,1298,2965,23443,304675,,
304676,8,117.385868,31.882863,华源社区居委会,,340102,0551,340102401009,112,,,,,,,,,2,100,1011,1298,2965,23443,304676,,
304677,8,117.37499,31.885147,新安社区居委会,,340102,0551,340102401010,111,,,,,,,,,2,100,1011,1298,2965,23443,304677,,
304678,8,117.37499,31.885147,海州社区居委会,,340102,0551,340102401011,112,,,,,,,,,2,100,1011,1298,2965,23443,304678,,
304679,8,117.37499,31.885147,琥珀社区居委会,,340102,0551,340102401012,111,,,,,,,,,2,100,1011,1298,2965,23443,304679,,
304680,8,117.37499,31.885147,瑞泰社区居委会,,340102,0551,340102401013,112,,,,,,,,,2,100,1011,1298,2965,23443,304680,,
304681,8,117.37499,31.885147,华都社区居委会,,340102,0551,340102401014,112,,,,,,,,,2,100,1011,1298,2965,23443,304681,,
304682,8,117.272161,31.875341,水西门社区居委会,,340103,0551,340103001001,111,,,,,,,,,2,100,1011,1298,2966,23444,304682,,
304683,8,117.261114,31.883918,滨南社区居委会,,340103,0551,340103001002,111,,,,,,,,,2,100,1011,1298,2966,23444,304683,,
304684,8,117.25931,31.880649,南河湾社区居委会,,340103,0551,340103001003,111,,,,,,,,,2,100,1011,1298,2966,23444,304684,,
304685,8,117.267817,31.884995,鲁园社区居委会,,340103,0551,340103001004,111,,,,,,,,,2,100,1011,1298,2966,23444,304685,,
304686,8,117.254898,31.876016,古城社区居委会,,340103,0551,340103001005,111,,,,,,,,,2,100,1011,1298,2966,23444,304686,,
304687,8,117.25661,31.885829,畅园社区居委会,,340103,0551,340103001006,111,,,,,,,,,2,100,1011,1298,2966,23444,304687,,
304688,8,117.285348,31.886558,小桥湾社区居委会,,340103,0551,340103002001,111,,,,,,,,,2,100,1011,1298,2966,23445,304688,,
304689,8,117.285075,31.882703,虹桥社区居委会,,340103,0551,340103002002,111,,,,,,,,,2,100,1011,1298,2966,23445,304689,,
304690,8,117.283533,31.875997,白水坝社区居委会,,340103,0551,340103002003,111,,,,,,,,,2,100,1011,1298,2966,23445,304690,,
304691,8,117.276104,31.875115,高河埂社区居委会,,340103,0551,340103002004,111,,,,,,,,,2,100,1011,1298,2966,23445,304691,,
304692,8,117.285075,31.882703,一里井社区居委会,,340103,0551,340103002005,111,,,,,,,,,2,100,1011,1298,2966,23445,304692,,
304693,8,117.285075,31.882703,万小店社区居委会,,340103,0551,340103002006,111,,,,,,,,,2,100,1011,1298,2966,23445,304693,,
304694,8,117.282904,31.890232,上城社区居委会,,340103,0551,340103003001,111,,,,,,,,,2,100,1011,1298,2966,23446,304694,,
304695,8,117.2911,31.9003,北都社区居委会,,340103,0551,340103003002,111,,,,,,,,,2,100,1011,1298,2966,23446,304695,,
304696,8,117.288091,31.900769,望城社区居委会,,340103,0551,340103003003,111,,,,,,,,,2,100,1011,1298,2966,23446,304696,,
304697,8,117.2911,31.9003,丽都社区居委会,,340103,0551,340103003004,111,,,,,,,,,2,100,1011,1298,2966,23446,304697,,
304698,8,117.267463,31.889486,藕塘社区居委会,,340103,0551,340103004001,111,,,,,,,,,2,100,1011,1298,2966,23447,304698,,
304699,8,117.271803,31.88741,清华社区居委会,,340103,0551,340103004002,111,,,,,,,,,2,100,1011,1298,2966,23447,304699,,
304700,8,117.274107,31.89375,荷塘社区居委会,,340103,0551,340103004003,111,,,,,,,,,2,100,1011,1298,2966,23447,304700,,
304701,8,117.270742,31.892971,平楼社区居委会,,340103,0551,340103004004,111,,,,,,,,,2,100,1011,1298,2966,23447,304701,,
304702,8,117.271142,31.890697,五里社区居委会,,340103,0551,340103005001,111,,,,,,,,,2,100,1011,1298,2966,23448,304702,,
304703,8,117.268149,31.914817,林店社区居委会,,340103,0551,340103005002,111,,,,,,,,,2,100,1011,1298,2966,23448,304703,,
304704,8,117.271142,31.890697,金都社区居委会,,340103,0551,340103005003,111,,,,,,,,,2,100,1011,1298,2966,23448,304704,,
304705,8,117.286308,31.900111,灵璧路社区居委会,,340103,0551,340103005004,111,,,,,,,,,2,100,1011,1298,2966,23448,304705,,
304706,8,117.271142,31.890697,汲桥新村社区居委会,,340103,0551,340103005005,111,,,,,,,,,2,100,1011,1298,2966,23448,304706,,
304707,8,117.260443,31.918663,松竹社区居委会,,340103,0551,340103005006,111,,,,,,,,,2,100,1011,1298,2966,23448,304707,,
304708,8,117.282167,31.858932,县桥社区居委会,,340103,0551,340103006001,111,,,,,,,,,2,100,1011,1298,2966,23449,304708,,
304709,8,117.288035,31.87112,拱辰社区居委会,,340103,0551,340103006002,111,,,,,,,,,2,100,1011,1298,2966,23449,304709,,
304710,8,117.29593,31.86525,九狮桥社区居委会,,340103,0551,340103006003,111,,,,,,,,,2,100,1011,1298,2966,23449,304710,,
