级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,87.598766,43.738733,燕儿窝南社区居委会,,650102,0991,650102002002,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,燕儿窝街道,燕儿窝南社区居委会,,
村,87.598766,43.738733,红雁池社区居委会,,650102,0991,650102002005,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,燕儿窝街道,红雁池社区居委会,,
村,87.603264,43.738805,燕儿窝北路西社区居委会,,650102,0991,650102002006,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,燕儿窝街道,燕儿窝北路西社区居委会,,
村,87.603264,43.738805,燕儿窝北路东社区居委会,,650102,0991,650102002007,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,燕儿窝街道,燕儿窝北路东社区居委会,,
村,87.598766,43.738733,青水社区居委会,,650102,0991,650102002008,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,燕儿窝街道,青水社区居委会,,
村,87.598766,43.738733,三泰路社区居委会,,650102,0991,650102002009,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,燕儿窝街道,三泰路社区居委会,,
村,87.63186,43.76214,三甬碑社区居委会,,650102,0991,650102003001,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,三甬碑社区居委会,,
村,87.63186,43.76214,胜利路社区居委会,,650102,0991,650102003002,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,胜利路社区居委会,,
村,87.63186,43.76214,南梁社区居委会,,650102,0991,650102003003,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,南梁社区居委会,,
村,87.610671,43.767302,河坝巷社区居委会,,650102,0991,650102003004,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,河坝巷社区居委会,,
村,87.617051,43.763977,湖源巷社区居委会,,650102,0991,650102003007,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,湖源巷社区居委会,,
村,87.619121,43.771339,羊毛湖社区居委会,,650102,0991,650102003009,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,羊毛湖社区居委会,,
村,87.614991,43.771175,多斯鲁克社区居委会,,650102,0991,650102003010,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,多斯鲁克社区居委会,,
村,87.620534,43.767596,新疆大学社区居委会,,650102,0991,650102003011,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,新疆大学社区居委会,,
村,87.621741,43.770046,新东街社区居委会,,650102,0991,650102003012,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,新东街社区居委会,,
村,87.63186,43.76214,边瑞社区居委会,,650102,0991,650102003013,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,边瑞社区居委会,,
村,87.63186,43.76214,湖源巷西社区居委会,,650102,0991,650102003014,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,湖源巷西社区居委会,,
村,87.610228,43.773952,新华南路东社区居委会,,650102,0991,650102003015,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,新华南路东社区居委会,,
村,87.619154,43.777882,领馆巷北社区居委会,,650102,0991,650102004001,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,团结路街道,领馆巷北社区居委会,,
村,87.650452,43.835643,团结社区居委会,,650105,0991,650102004002,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,团结路街道,团结社区居委会,,
村,87.619154,43.777882,八户梁社区居委会,,650102,0991,650102004003,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,团结路街道,八户梁社区居委会,,
村,87.619154,43.777882,皇城社区居委会,,650102,0991,650102004006,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,团结路街道,皇城社区居委会,,
村,87.62338,43.775689,瓷厂社区居委会,,650102,0991,650102004007,111,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,团结路街道,瓷厂社区居委会,,
