gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
741248,8,87.598766,43.738733,燕儿窝南社区居委会,,650102,0991,650102002002,111,,,,,,,,,2,100,1030,1528,4890,51620,741248,,
741249,8,87.598766,43.738733,红雁池社区居委会,,650102,0991,650102002005,111,,,,,,,,,2,100,1030,1528,4890,51620,741249,,
741250,8,87.603264,43.738805,燕儿窝北路西社区居委会,,650102,0991,650102002006,111,,,,,,,,,2,100,1030,1528,4890,51620,741250,,
741251,8,87.603264,43.738805,燕儿窝北路东社区居委会,,650102,0991,650102002007,111,,,,,,,,,2,100,1030,1528,4890,51620,741251,,
741252,8,87.598766,43.738733,青水社区居委会,,650102,0991,650102002008,111,,,,,,,,,2,100,1030,1528,4890,51620,741252,,
741253,8,87.598766,43.738733,三泰路社区居委会,,650102,0991,650102002009,111,,,,,,,,,2,100,1030,1528,4890,51620,741253,,
741254,8,87.63186,43.76214,三甬碑社区居委会,,650102,0991,650102003001,111,,,,,,,,,2,100,1030,1528,4890,51621,741254,,
741255,8,87.63186,43.76214,胜利路社区居委会,,650102,0991,650102003002,111,,,,,,,,,2,100,1030,1528,4890,51621,741255,,
741256,8,87.63186,43.76214,南梁社区居委会,,650102,0991,650102003003,111,,,,,,,,,2,100,1030,1528,4890,51621,741256,,
741257,8,87.610671,43.767302,河坝巷社区居委会,,650102,0991,650102003004,111,,,,,,,,,2,100,1030,1528,4890,51621,741257,,
741258,8,87.617051,43.763977,湖源巷社区居委会,,650102,0991,650102003007,111,,,,,,,,,2,100,1030,1528,4890,51621,741258,,
741259,8,87.619121,43.771339,羊毛湖社区居委会,,650102,0991,650102003009,111,,,,,,,,,2,100,1030,1528,4890,51621,741259,,
741260,8,87.614991,43.771175,多斯鲁克社区居委会,,650102,0991,650102003010,111,,,,,,,,,2,100,1030,1528,4890,51621,741260,,
741261,8,87.620534,43.767596,新疆大学社区居委会,,650102,0991,650102003011,111,,,,,,,,,2,100,1030,1528,4890,51621,741261,,
741262,8,87.621741,43.770046,新东街社区居委会,,650102,0991,650102003012,111,,,,,,,,,2,100,1030,1528,4890,51621,741262,,
741263,8,87.63186,43.76214,边瑞社区居委会,,650102,0991,650102003013,111,,,,,,,,,2,100,1030,1528,4890,51621,741263,,
741264,8,87.63186,43.76214,湖源巷西社区居委会,,650102,0991,650102003014,111,,,,,,,,,2,100,1030,1528,4890,51621,741264,,
741265,8,87.610228,43.773952,新华南路东社区居委会,,650102,0991,650102003015,111,,,,,,,,,2,100,1030,1528,4890,51621,741265,,
741266,8,87.619154,43.777882,领馆巷北社区居委会,,650102,0991,650102004001,111,,,,,,,,,2,100,1030,1528,4890,51622,741266,,
741267,8,87.650452,43.835643,团结社区居委会,,650105,0991,650102004002,111,,,,,,,,,2,100,1030,1528,4890,51622,741267,,
741268,8,87.619154,43.777882,八户梁社区居委会,,650102,0991,650102004003,111,,,,,,,,,2,100,1030,1528,4890,51622,741268,,
741269,8,87.619154,43.777882,皇城社区居委会,,650102,0991,650102004006,111,,,,,,,,,2,100,1030,1528,4890,51622,741269,,
741270,8,87.62338,43.775689,瓷厂社区居委会,,650102,0991,650102004007,111,,,,,,,,,2,100,1030,1528,4890,51622,741270,,
741271,8,87.628142,43.776982,后泉路社区居委会,,650102,0991,650102004014,111,,,,,,,,,2,100,1030,1528,4890,51622,741271,,
741272,8,87.619154,43.777882,领馆巷南社区居委会,,650102,0991,650102004015,111,,,,,,,,,2,100,1030,1528,4890,51622,741272,,
741273,8,87.619154,43.777882,文新社区居委会,,650102,0991,650102004016,111,,,,,,,,,2,100,1030,1528,4890,51622,741273,,
741274,8,87.619154,43.777882,中泉街南社区居委会,,650102,0991,650102004019,111,,,,,,,,,2,100,1030,1528,4890,51622,741274,,
