gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
256905,8,118.802529,32.043332,梅园新村社区居委会,,320102,025,320102002001,111,,,,,,,,,2,100,1009,1274,2767,20512,256905,,
256906,8,118.799337,32.045028,大行宫社区居委会,,320102,025,320102002002,111,,,,,,,,,2,100,1009,1274,2767,20512,256906,,
256907,8,118.802384,32.048158,大影壁社区居委会,,320102,025,320102002005,111,,,,,,,,,2,100,1009,1274,2767,20512,256907,,
256908,8,118.799156,32.053304,东南大学社区居委会,,320102,025,320102002006,111,,,,,,,,,2,100,1009,1274,2767,20512,256908,,
256909,8,118.801865,32.054313,兰园社区居委会,,320102,025,320102002007,111,,,,,,,,,2,100,1009,1274,2767,20512,256909,,
256910,8,118.819433,32.052304,太平门社区居委会,,320102,025,320102002009,111,,,,,,,,,2,100,1009,1274,2767,20512,256910,,
256911,8,118.82428,32.043437,明故宫社区居委会,,320102,025,320102002010,111,,,,,,,,,2,100,1009,1274,2767,20512,256911,,
256912,8,118.819629,32.046148,北安门社区居委会,,320102,025,320102002011,111,,,,,,,,,2,100,1009,1274,2767,20512,256912,,
256913,8,118.820259,32.051734,富贵山社区居委会,,320102,025,320102002012,111,,,,,,,,,2,100,1009,1274,2767,20512,256913,,
256914,8,118.790051,32.046749,香铺营社区居委会,,320102,025,320102003001,111,,,,,,,,,2,100,1009,1274,2767,20513,256914,,
256915,8,118.790325,32.042724,长江路社区居委会,,320102,025,320102003002,111,,,,,,,,,2,100,1009,1274,2767,20513,256915,,
256916,8,118.787644,32.047528,北门桥社区居委会,,320102,025,320102003003,111,,,,,,,,,2,100,1009,1274,2767,20513,256916,,
256917,8,118.789148,32.053642,唱经楼社区居委会,,320102,025,320102003009,111,,,,,,,,,2,100,1009,1274,2767,20513,256917,,
256918,8,118.78603,32.055222,大石桥社区居委会,,320102,025,320102003011,111,,,,,,,,,2,100,1009,1274,2767,20513,256918,,
256919,8,118.791962,32.050666,成贤街社区居委会,,320102,025,320102003015,111,,,,,,,,,2,100,1009,1274,2767,20513,256919,,
256920,8,118.784982,32.065719,百子亭社区,,320102,025,320102005001,111,,,,,,,,,2,100,1009,1274,2767,20514,256920,,
256921,8,118.79506,32.062267,台城花园社区居委会,,320102,025,320102005003,111,,,,,,,,,2,100,1009,1274,2767,20514,256921,,
256922,8,118.787745,32.064459,天山路社区居委会,,320102,025,320102005004,111,,,,,,,,,2,100,1009,1274,2767,20514,256922,,
256923,8,118.785408,32.071456,大树根社区居委会,,320102,025,320102005007,111,,,,,,,,,2,100,1009,1274,2767,20514,256923,,
256924,8,118.785605,32.08612,廖家巷社区居委会,,320102,025,320102005008,111,,,,,,,,,2,100,1009,1274,2767,20514,256924,,
256925,8,118.787036,32.065113,公教一村社区居委会,,320102,025,320102005009,111,,,,,,,,,2,100,1009,1274,2767,20514,256925,,
256926,8,118.818966,32.069988,锁一社区居委会,,320102,025,320102007002,111,,,,,,,,,2,100,1009,1274,2767,20515,256926,,
256927,8,118.815027,32.07296,锁二社区居委会,,320102,025,320102007003,111,,,,,,,,,2,100,1009,1274,2767,20515,256927,,
256928,8,118.814503,32.071125,锁三社区居委会,,320102,025,320102007004,111,,,,,,,,,2,100,1009,1274,2767,20515,256928,,
256929,8,118.814503,32.071125,锁四社区居委会,,320102,025,320102007005,111,,,,,,,,,2,100,1009,1274,2767,20515,256929,,
256930,8,118.814503,32.071125,锁五社区居委会,,320102,025,320102007006,111,,,,,,,,,2,100,1009,1274,2767,20515,256930,,
256931,8,118.817833,32.064198,紫鑫城社区居委会,,320102,025,320102007007,111,,,,,,,,,2,100,1009,1274,2767,20515,256931,,
