级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,115.901247,28.678269,上营坊社区居委会,,360102,0791,360102001001,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,公园街道,上营坊社区居委会,,
村,115.898755,28.682277,民德路社区居委会,,360102,0791,360102001002,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,公园街道,民德路社区居委会,,
村,115.898075,28.683688,经堂巷社区居委会,,360102,0791,360102001003,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,公园街道,经堂巷社区居委会,,
村,115.898544,28.68224,戴家巷社区居委会,,360102,0791,360102001004,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,公园街道,戴家巷社区居委会,,
村,115.897063,28.683261,环湖路社区居委会,,360102,0791,360102001005,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,公园街道,环湖路社区居委会,,
村,115.902428,28.678289,妇保家委会,,360102,0791,360102001007,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,公园街道,妇保家委会,,
村,115.898544,28.68224,江西宾馆家委会,,360102,0791,360102001008,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,公园街道,江西宾馆家委会,,
村,115.898544,28.68224,永宁社区居委会,,360102,0791,360102001009,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,公园街道,永宁社区居委会,,
村,115.885624,28.678054,民巷社区居委会,,360102,0791,360102002001,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,民巷社区居委会,,
村,115.885624,28.678054,章江路社区居委会,,360102,0791,360102002002,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,章江路社区居委会,,
村,115.885624,28.678054,上凤凰坡社区居委会,,360102,0791,360102002004,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,上凤凰坡社区居委会,,
村,115.882635,28.677939,滕王阁社区居委会,,360102,0791,360102002005,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,滕王阁社区居委会,,
村,115.885301,28.681254,射步亭社区居委会,,360102,0791,360102002006,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,射步亭社区居委会,,
村,115.885624,28.678054,李家巷社区居委会,,360102,0791,360102002007,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,李家巷社区居委会,,
村,115.885624,28.678054,子固路社区居委会,,360102,0791,360102002008,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,子固路社区居委会,,
村,115.887589,28.675488,铁街社区居委会,,360102,0791,360102002009,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,铁街社区居委会,,
村,115.883405,28.68103,榕门路社区居委会,,360102,0791,360102002010,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,滕王阁街道,榕门路社区居委会,,
村,115.884144,28.686423,大士院西区社区居委会,,360102,0791,360102003001,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,八一桥街道,大士院西区社区居委会,,
村,115.8846,28.685388,大士院北区社区居委会,,360102,0791,360102003002,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,八一桥街道,大士院北区社区居委会,,
村,115.895489,28.69668,大士院南区社区居委会,,360102,0791,360102003003,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,八一桥街道,大士院南区社区居委会,,
村,115.88745,28.68394,豫章后街社区居委会,,360102,0791,360102003004,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,八一桥街道,豫章后街社区居委会,,
村,115.888527,28.686012,芭茅巷社区居委会,,360102,0791,360102003005,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,八一桥街道,芭茅巷社区居委会,,
村,115.884441,28.685276,裘家厂社区居委会,,360102,0791,360102003006,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,八一桥街道,裘家厂社区居委会,,
村,115.883958,28.683347,叠山路西社区居委会,,360102,0791,360102003007,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,八一桥街道,叠山路西社区居委会,,
村,115.89519,28.676191,刘将军庙社区居委会,,360102,0791,360102004001,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,刘将军庙社区居委会,,
村,115.894104,28.677534,状元桥社区居委会,,360102,0791,360102004002,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,状元桥社区居委会,,
村,115.893185,28.677731,火神庙社区居委会,,360102,0791,360102004003,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,火神庙社区居委会,,
村,115.893661,28.6803,南湖路社区居委会,,360102,0791,360102004004,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,南湖路社区居委会,,
村,115.891392,28.680596,渊明北路社区居委会,,360102,0791,360102004005,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,渊明北路社区居委会,,
村,115.890023,28.681517,白马庙社区居委会,,360102,0791,360102004006,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,白马庙社区居委会,,
村,115.890308,28.680274,邮政路社区居委会,,360102,0791,360102004007,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,邮政路社区居委会,,
村,115.890023,28.681517,杨家厂社区居委会,,360102,0791,360102004008,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,杨家厂社区居委会,,
村,115.890036,28.681542,小金台社区居委会,,360102,0791,360102004009,111,,,,,,,,,亚洲,中国,江西,南昌,东湖区,百花洲街道,小金台社区居委会,,
