gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
340090,8,115.901247,28.678269,上营坊社区居委会,,360102,0791,360102001001,111,,,,,,,,,2,100,1013,1323,3169,26233,340090,,
340091,8,115.898755,28.682277,民德路社区居委会,,360102,0791,360102001002,111,,,,,,,,,2,100,1013,1323,3169,26233,340091,,
340092,8,115.898075,28.683688,经堂巷社区居委会,,360102,0791,360102001003,111,,,,,,,,,2,100,1013,1323,3169,26233,340092,,
340093,8,115.898544,28.68224,戴家巷社区居委会,,360102,0791,360102001004,111,,,,,,,,,2,100,1013,1323,3169,26233,340093,,
340094,8,115.897063,28.683261,环湖路社区居委会,,360102,0791,360102001005,111,,,,,,,,,2,100,1013,1323,3169,26233,340094,,
340095,8,115.902428,28.678289,妇保家委会,,360102,0791,360102001007,111,,,,,,,,,2,100,1013,1323,3169,26233,340095,,
340096,8,115.898544,28.68224,江西宾馆家委会,,360102,0791,360102001008,111,,,,,,,,,2,100,1013,1323,3169,26233,340096,,
340097,8,115.898544,28.68224,永宁社区居委会,,360102,0791,360102001009,111,,,,,,,,,2,100,1013,1323,3169,26233,340097,,
340098,8,115.885624,28.678054,民巷社区居委会,,360102,0791,360102002001,111,,,,,,,,,2,100,1013,1323,3169,26234,340098,,
340099,8,115.885624,28.678054,章江路社区居委会,,360102,0791,360102002002,111,,,,,,,,,2,100,1013,1323,3169,26234,340099,,
340100,8,115.885624,28.678054,上凤凰坡社区居委会,,360102,0791,360102002004,111,,,,,,,,,2,100,1013,1323,3169,26234,340100,,
340101,8,115.882635,28.677939,滕王阁社区居委会,,360102,0791,360102002005,111,,,,,,,,,2,100,1013,1323,3169,26234,340101,,
340102,8,115.885301,28.681254,射步亭社区居委会,,360102,0791,360102002006,111,,,,,,,,,2,100,1013,1323,3169,26234,340102,,
340103,8,115.885624,28.678054,李家巷社区居委会,,360102,0791,360102002007,111,,,,,,,,,2,100,1013,1323,3169,26234,340103,,
340104,8,115.885624,28.678054,子固路社区居委会,,360102,0791,360102002008,111,,,,,,,,,2,100,1013,1323,3169,26234,340104,,
340105,8,115.887589,28.675488,铁街社区居委会,,360102,0791,360102002009,111,,,,,,,,,2,100,1013,1323,3169,26234,340105,,
340106,8,115.883405,28.68103,榕门路社区居委会,,360102,0791,360102002010,111,,,,,,,,,2,100,1013,1323,3169,26234,340106,,
340107,8,115.884144,28.686423,大士院西区社区居委会,,360102,0791,360102003001,111,,,,,,,,,2,100,1013,1323,3169,26235,340107,,
340108,8,115.8846,28.685388,大士院北区社区居委会,,360102,0791,360102003002,111,,,,,,,,,2,100,1013,1323,3169,26235,340108,,
340109,8,115.895489,28.69668,大士院南区社区居委会,,360102,0791,360102003003,111,,,,,,,,,2,100,1013,1323,3169,26235,340109,,
340110,8,115.88745,28.68394,豫章后街社区居委会,,360102,0791,360102003004,111,,,,,,,,,2,100,1013,1323,3169,26235,340110,,
340111,8,115.888527,28.686012,芭茅巷社区居委会,,360102,0791,360102003005,111,,,,,,,,,2,100,1013,1323,3169,26235,340111,,
340112,8,115.884441,28.685276,裘家厂社区居委会,,360102,0791,360102003006,111,,,,,,,,,2,100,1013,1323,3169,26235,340112,,
340113,8,115.883958,28.683347,叠山路西社区居委会,,360102,0791,360102003007,111,,,,,,,,,2,100,1013,1323,3169,26235,340113,,
340114,8,115.89519,28.676191,刘将军庙社区居委会,,360102,0791,360102004001,111,,,,,,,,,2,100,1013,1323,3169,26236,340114,,
340115,8,115.894104,28.677534,状元桥社区居委会,,360102,0791,360102004002,111,,,,,,,,,2,100,1013,1323,3169,26236,340115,,
340116,8,115.893185,28.677731,火神庙社区居委会,,360102,0791,360102004003,111,,,,,,,,,2,100,1013,1323,3169,26236,340116,,
340117,8,115.893661,28.6803,南湖路社区居委会,,360102,0791,360102004004,111,,,,,,,,,2,100,1013,1323,3169,26236,340117,,
340118,8,115.891392,28.680596,渊明北路社区居委会,,360102,0791,360102004005,111,,,,,,,,,2,100,1013,1323,3169,26236,340118,,
340119,8,115.890023,28.681517,白马庙社区居委会,,360102,0791,360102004006,111,,,,,,,,,2,100,1013,1323,3169,26236,340119,,
340120,8,115.890308,28.680274,邮政路社区居委会,,360102,0791,360102004007,111,,,,,,,,,2,100,1013,1323,3169,26236,340120,,
340121,8,115.890023,28.681517,杨家厂社区居委会,,360102,0791,360102004008,111,,,,,,,,,2,100,1013,1323,3169,26236,340121,,
340122,8,115.890036,28.681542,小金台社区居委会,,360102,0791,360102004009,111,,,,,,,,,2,100,1013,1323,3169,26236,340122,,
340123,8,115.888798,28.682207,包家巷社区居委会,,360102,0791,360102004010,111,,,,,,,,,2,100,1013,1323,3169,26236,340123,,
340124,8,115.888373,28.682853,桂旺巷社区居委会,,360102,0791,360102004011,111,,,,,,,,,2,100,1013,1323,3169,26236,340124,,
340125,8,115.890023,28.681517,市第一医院家委会,,360102,0791,360102004012,111,,,,,,,,,2,100,1013,1323,3169,26236,340125,,
340126,8,115.89429,28.68618,党家巷社区居委会,,360102,0791,360102005001,111,,,,,,,,,2,100,1013,1323,3169,26237,340126,,
340127,8,115.896025,28.685527,张家厂社区居委会,,360102,0791,360102005002,111,,,,,,,,,2,100,1013,1323,3169,26237,340127,,
340128,8,115.89429,28.68618,墩子塘社区居委会,,360102,0791,360102005003,111,,,,,,,,,2,100,1013,1323,3169,26237,340128,,
340129,8,115.89429,28.68618,右营街社区居委会,,360102,0791,360102005004,111,,,,,,,,,2,100,1013,1323,3169,26237,340129,,
340130,8,115.891994,28.685411,马家池社区居委会,,360102,0791,360102005005,111,,,,,,,,,2,100,1013,1323,3169,26237,340130,,
340131,8,115.894479,28.684527,北湖社区居委会,,360102,0791,360102005006,111,,,,,,,,,2,100,1013,1323,3169,26237,340131,,
340132,8,115.89429,28.68618,下水巷社区居委会,,360102,0791,360102005007,111,,,,,,,,,2,100,1013,1323,3169,26237,340132,,
340133,8,115.89429,28.68618,江中家委会,,360102,0791,360102005009,111,,,,,,,,,2,100,1013,1323,3169,26237,340133,,
340134,8,115.89429,28.68618,儿童医院家委会,,360102,0791,360102005010,111,,,,,,,,,2,100,1013,1323,3169,26237,340134,,
340135,8,115.89429,28.68618,阳明路社区居委会,,360102,0791,360102005012,111,,,,,,,,,2,100,1013,1323,3169,26237,340135,,
340136,8,115.912109,28.674382,院一社区居委会,,360102,0791,360102006001,111,,,,,,,,,2,100,1013,1323,3169,26238,340136,,
340137,8,115.912109,28.674382,院二社区居委会,,360102,0791,360102006002,111,,,,,,,,,2,100,1013,1323,3169,26238,340137,,
340138,8,115.912109,28.674382,公园路社区居委会,,360102,0791,360102006003,111,,,,,,,,,2,100,1013,1323,3169,26238,340138,,
