dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
591129,8,110.286275,20.001139,秀华社区居民委员会,,460105,0898,460105001001,111,,,,,,,,,2,100,1020,1431,4083,38920,591129,,
591130,8,110.281955,20.006122,秀海社区居民委员会,,460105,0898,460105001002,111,,,,,,,,,2,100,1020,1431,4083,38920,591130,,
591131,8,110.290371,20.002589,秀中社区居民委员会,,460105,0898,460105001003,111,,,,,,,,,2,100,1020,1431,4083,38920,591131,,
591132,8,110.290371,20.002589,秀新社区居民委员会,,460105,0898,460105001004,111,,,,,,,,,2,100,1020,1431,4083,38920,591132,,
591133,8,110.261388,20.002243,高新居委会,,460105,0898,460105001006,111,,,,,,,,,2,100,1020,1431,4083,38920,591133,,
591134,8,110.290371,20.002589,向荣村委会,,460105,0898,460105001200,111,,,,,,,,,2,100,1020,1431,4083,38920,591134,,
591135,8,110.290371,20.002589,书场村委会,,460105,0898,460105001201,111,,,,,,,,,2,100,1020,1431,4083,38920,591135,,
591136,8,110.285858,20.010722,海港社区居民委员会,,460105,0898,460105002001,111,,,,,,,,,2,100,1020,1431,4083,38921,591136,,
591137,8,110.290906,20.015895,东方洋社区居民委员会,,460105,0898,460105002002,111,,,,,,,,,2,100,1020,1431,4083,38921,591137,,
591138,8,110.285858,20.010722,长秀社区居民委员会,,460105,0898,460105002003,111,,,,,,,,,2,100,1020,1431,4083,38921,591138,,
591139,8,110.285858,20.010722,金鼎社区居民委员会,,460105,0898,460105002004,111,,,,,,,,,2,100,1020,1431,4083,38921,591139,,
591140,8,110.285858,20.010722,十一支队家属社区居民委员会,,460105,0898,460105002005,111,,,,,,,,,2,100,1020,1431,4083,38921,591140,,
591141,8,110.289391,20.015972,爱华社区居委会,,460105,0898,460105002006,111,,,,,,,,,2,100,1020,1431,4083,38921,591141,,
591142,8,110.251845,20.012452,天海社区居委会,,460105,0898,460105002007,111,,,,,,,,,2,100,1020,1431,4083,38921,591142,,
591143,8,110.201664,20.011946,长流墟社区居民委员会,,460105,0898,460105100001,111,,,,,,,,,2,100,1020,1431,4083,38922,591143,,
591144,8,110.204073,20.054252,镇海社区居委会,,460105,0898,460105100002,111,,,,,,,,,2,100,1020,1431,4083,38922,591144,,
591145,8,110.201664,20.011946,长信社区居委会,,460105,0898,460105100003,220,,,,,,,,,2,100,1020,1431,4083,38922,591145,,
591146,8,110.201664,20.011946,长彤社区居委会,,460105,0898,460105100004,220,,,,,,,,,2,100,1020,1431,4083,38922,591146,,
591147,8,110.201664,20.011946,长东村委会,,460105,0898,460105100200,220,,,,,,,,,2,100,1020,1431,4083,38922,591147,,
