dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
490988,8,114.289922,30.584002,保成社区,,420102,027,420102002003,111,,,,,,,,,2,100,1016,1368,3607,32455,490988,,
490989,8,114.287527,30.585334,泰宁社区,,420102,027,420102002004,111,,,,,,,,,2,100,1016,1368,3607,32455,490989,,
490990,8,114.292417,30.584333,先锋社区,,420102,027,420102002005,111,,,,,,,,,2,100,1016,1368,3607,32455,490990,,
490991,8,114.290894,30.587266,吉庆社区,,420102,027,420102002008,111,,,,,,,,,2,100,1016,1368,3607,32455,490991,,
490992,8,114.291875,30.589497,铭新社区,,420102,027,420102002009,111,,,,,,,,,2,100,1016,1368,3607,32455,490992,,
490993,8,114.29924,30.590217,岳飞社区,,420102,027,420102003001,111,,,,,,,,,2,100,1016,1368,3607,32456,490993,,
490994,8,114.302576,30.589155,同兴社区,,420102,027,420102003002,111,,,,,,,,,2,100,1016,1368,3607,32456,490994,,
490995,8,114.30612,30.595475,三阳社区,,420102,027,420102003004,111,,,,,,,,,2,100,1016,1368,3607,32456,490995,,
490996,8,114.30363,30.59603,坤厚社区,,420102,027,420102003005,111,,,,,,,,,2,100,1016,1368,3607,32456,490996,,
490997,8,114.297337,30.586755,天津社区,,420102,027,420102003007,111,,,,,,,,,2,100,1016,1368,3607,32456,490997,,
490998,8,114.293176,30.58038,扬子社区,,420102,027,420102003008,111,,,,,,,,,2,100,1016,1368,3607,32456,490998,,
490999,8,114.297673,30.581114,同福社区,,420102,027,420102003011,111,,,,,,,,,2,100,1016,1368,3607,32456,490999,,
491000,8,114.300434,30.584917,洞庭社区,,420102,027,420102003013,111,,,,,,,,,2,100,1016,1368,3607,32456,491000,,
491001,8,114.300838,30.595607,华清社区,,420102,027,420102004003,111,,,,,,,,,2,100,1016,1368,3607,32457,491001,,
491002,8,114.299683,30.594231,长安社区,,420102,027,420102004005,111,,,,,,,,,2,100,1016,1368,3607,32457,491002,,
491003,8,114.299531,30.592059,三德社区,,420102,027,420102004006,111,,,,,,,,,2,100,1016,1368,3607,32457,491003,,
491004,8,114.295839,30.592495,辅堂社区,,420102,027,420102004007,111,,,,,,,,,2,100,1016,1368,3607,32457,491004,,
491005,8,114.296016,30.590866,辅仁社区,,420102,027,420102004009,111,,,,,,,,,2,100,1016,1368,3607,32457,491005,,
491006,8,114.307669,30.599624,五福社区,,420102,027,420102005001,111,,,,,,,,,2,100,1016,1368,3607,32458,491006,,
491007,8,114.308532,30.602813,六合社区,,420102,027,420102005002,111,,,,,,,,,2,100,1016,1368,3607,32458,491007,,
491008,8,114.30465,30.599756,麟趾社区,,420102,027,420102005004,111,,,,,,,,,2,100,1016,1368,3607,32458,491008,,
491009,8,114.300039,30.599986,太平社区,,420102,027,420102005006,111,,,,,,,,,2,100,1016,1368,3607,32458,491009,,
491010,8,114.30409,30.604858,袁家社区,,420102,027,420102005007,111,,,,,,,,,2,100,1016,1368,3607,32458,491010,,
491011,8,114.304374,30.60295,塘新社区,,420102,027,420102005008,111,,,,,,,,,2,100,1016,1368,3607,32458,491011,,
491012,8,114.309943,30.605829,吉林社区,,420102,027,420102006003,111,,,,,,,,,2,100,1016,1368,3607,32459,491012,,
491013,8,114.309035,30.60504,沈阳社区,,420102,027,420102006004,111,,,,,,,,,2,100,1016,1368,3607,32459,491013,,
491014,8,114.309271,30.611302,新天地社区,,420102,027,420102006006,111,,,,,,,,,2,100,1016,1368,3607,32459,491014,,
491015,8,114.306491,30.608307,仁义社区,,420102,027,420102006008,111,,,,,,,,,2,100,1016,1368,3607,32459,491015,,
491016,8,114.288651,30.594404,熊家台社区,,420102,027,420102007001,111,,,,,,,,,2,100,1016,1368,3607,32460,491016,,
491017,8,114.281419,30.588419,江汉北路社区,,420102,027,420102007002,111,,,,,,,,,2,100,1016,1368,3607,32460,491017,,
491018,8,114.284796,30.587162,光荣坊社区,,420102,027,420102007004,111,,,,,,,,,2,100,1016,1368,3607,32460,491018,,
491019,8,114.286904,30.593483,高雄社区,,420102,027,420102007005,111,,,,,,,,,2,100,1016,1368,3607,32460,491019,,
491020,8,114.290705,30.596069,新三巷社区,,420102,027,420102007006,111,,,,,,,,,2,100,1016,1368,3607,32460,491020,,
491021,8,114.292837,30.596805,模范社区,,420102,027,420102007007,111,,,,,,,,,2,100,1016,1368,3607,32460,491021,,
491022,8,114.292846,30.59858,金门社区,,420102,027,420102007008,111,,,,,,,,,2,100,1016,1368,3607,32460,491022,,
491023,8,114.286355,30.600598,香港社区,,420102,027,420102007009,111,,,,,,,,,2,100,1016,1368,3607,32460,491023,,
491024,8,114.290604,30.588851,安静社区,,420102,027,420102008003,111,,,,,,,,,2,100,1016,1368,3607,32461,491024,,
491025,8,114.29236,30.593307,同庆阁社区,,420102,027,420102008004,111,,,,,,,,,2,100,1016,1368,3607,32461,491025,,
491026,8,114.294811,30.5936,球新社区,,420102,027,420102008005,111,,,,,,,,,2,100,1016,1368,3607,32461,491026,,
491027,8,114.297768,30.596633,货捐社区,,420102,027,420102008006,111,,,,,,,,,2,100,1016,1368,3607,32461,491027,,
491028,8,114.298991,30.59911,阳春阁社区,,420102,027,420102008008,111,,,,,,,,,2,100,1016,1368,3607,32461,491028,,
491029,8,114.300386,30.602884,三合社区,,420102,027,420102009002,111,,,,,,,,,2,100,1016,1368,3607,32462,491029,,
491030,8,114.295615,30.602324,湖边坊社区,,420102,027,420102009003,111,,,,,,,,,2,100,1016,1368,3607,32462,491030,,
491031,8,114.293843,30.597937,苗栗社区,,420102,027,420102009004,111,,,,,,,,,2,100,1016,1368,3607,32462,491031,,
491032,8,114.293091,30.601701,光华社区,,420102,027,420102009005,111,,,,,,,,,2,100,1016,1368,3607,32462,491032,,
491033,8,114.302182,30.605845,艺苑社区,,420102,027,420102009007,111,,,,,,,,,2,100,1016,1368,3607,32462,491033,,
491034,8,114.298043,30.604788,国信院社区,,420102,027,420102009008,111,,,,,,,,,2,100,1016,1368,3607,32462,491034,,
491035,8,114.289618,30.609932,惠中社区,,420102,027,420102009010,111,,,,,,,,,2,100,1016,1368,3607,32462,491035,,
491036,8,114.298806,30.601796,花惠社区,,420102,027,420102009011,111,,,,,,,,,2,100,1016,1368,3607,32462,491036,,
491037,8,114.298771,30.614164,公园社区,,420102,027,420102009014,111,,,,,,,,,2,100,1016,1368,3607,32462,491037,,
491038,8,114.30034,30.614681,长江委社区,,420102,027,420102009015,111,,,,,,,,,2,100,1016,1368,3607,32462,491038,,
491039,8,114.31271,30.624491,操场社区,,420102,027,420102010001,111,,,,,,,,,2,100,1016,1368,3607,32463,491039,,
491040,8,114.31995,30.62822,长建社区,,420102,027,420102010002,111,,,,,,,,,2,100,1016,1368,3607,32463,491040,,
491041,8,114.314171,30.61944,黄家墩社区,,420102,027,420102010003,111,,,,,,,,,2,100,1016,1368,3607,32463,491041,,
491042,8,114.31134,30.617098,新建社区,,420102,027,420102010004,111,,,,,,,,,2,100,1016,1368,3607,32463,491042,,
491043,8,114.318132,30.611766,分金社区,,420102,027,420102010005,111,,,,,,,,,2,100,1016,1368,3607,32463,491043,,
491044,8,114.324895,30.623343,江码社区,,420102,027,420102010006,111,,,,,,,,,2,100,1016,1368,3607,32463,491044,,
491045,8,114.31792,30.622821,福建社区,,420102,027,420102010007,111,,,,,,,,,2,100,1016,1368,3607,32463,491045,,
491046,8,114.30672,30.61731,上滑社区,,420102,027,420102010010,111,,,,,,,,,2,100,1016,1368,3607,32463,491046,,
491047,8,114.309896,30.628159,支农社区,,420102,027,420102010012,111,,,,,,,,,2,100,1016,1368,3607,32463,491047,,
491048,8,114.301727,30.621187,罗家庄社区,,420102,027,420102010014,111,,,,,,,,,2,100,1016,1368,3607,32463,491048,,
491049,8,114.299385,30.624309,联合社区,,420102,027,420102010015,111,,,,,,,,,2,100,1016,1368,3607,32463,491049,,
491050,8,114.318675,30.625385,火箭军社区,,420102,027,420102010017,111,,,,,,,,,2,100,1016,1368,3607,32463,491050,,
491051,8,114.318675,30.625385,预警学院社区,,420102,027,420102010019,111,,,,,,,,,2,100,1016,1368,3607,32463,491051,,
491052,8,114.311639,30.628256,韦桑社区,,420102,027,420102010020,111,,,,,,,,,2,100,1016,1368,3607,32463,491052,,
491053,8,114.30771,30.633384,铁北社区,,420102,027,420102011002,111,,,,,,,,,2,100,1016,1368,3607,32464,491053,,
491054,8,114.303155,30.629479,新江岸社区,,420102,027,420102011003,111,,,,,,,,,2,100,1016,1368,3607,32464,491054,,
491055,8,114.312414,30.629672,黑泥湖社区,,420102,027,420102011004,111,,,,,,,,,2,100,1016,1368,3607,32464,491055,,
491056,8,114.320234,30.629625,为群社区,,420102,027,420102011006,111,,,,,,,,,2,100,1016,1368,3607,32464,491056,,
491057,8,114.317363,30.630402,航务社区,,420102,027,420102011008,111,,,,,,,,,2,100,1016,1368,3607,32464,491057,,
491058,8,114.324047,30.636556,长湖地社区,,420102,027,420102011009,111,,,,,,,,,2,100,1016,1368,3607,32464,491058,,
491059,8,114.319196,30.627395,转车楼社区,,420102,027,420102011010,111,,,,,,,,,2,100,1016,1368,3607,32464,491059,,
491060,8,114.328188,30.633416,徐州社区,,420102,027,420102011011,111,,,,,,,,,2,100,1016,1368,3607,32464,491060,,
491061,8,114.329812,30.634068,二七社区,,420102,027,420102011014,111,,,,,,,,,2,100,1016,1368,3607,32464,491061,,
491062,8,114.317743,30.629239,铁南社区,,420102,027,420102011016,111,,,,,,,,,2,100,1016,1368,3607,32464,491062,,
491063,8,114.334967,30.643317,丹南社区,,420102,027,420102012001,111,,,,,,,,,2,100,1016,1368,3607,32465,491063,,
491064,8,114.336648,30.645797,丹东社区,,420102,027,420102012002,111,,,,,,,,,2,100,1016,1368,3607,32465,491064,,
491065,8,114.330261,30.646534,丹西社区,,420102,027,420102012003,111,,,,,,,,,2,100,1016,1368,3607,32465,491065,,
491066,8,114.335237,30.653186,丹北社区,,420102,027,420102012004,111,,,,,,,,,2,100,1016,1368,3607,32465,491066,,
491067,8,114.337951,30.658785,江中社区,,420102,027,420102012006,111,,,,,,,,,2,100,1016,1368,3607,32465,491067,,
491068,8,114.34466,30.66114,江北社区,,420102,027,420102012007,111,,,,,,,,,2,100,1016,1368,3607,32465,491068,,
491069,8,114.336493,30.655899,堤角社区,,420102,027,420102012008,111,,,,,,,,,2,100,1016,1368,3607,32465,491069,,
491070,8,114.324463,30.649726,新马社区,,420102,027,420102012010,111,,,,,,,,,2,100,1016,1368,3607,32465,491070,,
491071,8,114.328578,30.666678,汉黄社区,,420102,027,420102012011,111,,,,,,,,,2,100,1016,1368,3607,32465,491071,,
491072,8,114.321091,30.670056,岱山社区,,420102,027,420102012012,111,,,,,,,,,2,100,1016,1368,3607,32465,491072,,
491073,8,114.277112,30.597843,桃源社区,,420102,027,420102014002,111,,,,,,,,,2,100,1016,1368,3607,32466,491073,,
491074,8,114.28034,30.595419,和美社区,,420102,027,420102014003,111,,,,,,,,,2,100,1016,1368,3607,32466,491074,,
491075,8,114.28077,30.59763,宝岛社区,,420102,027,420102014004,111,,,,,,,,,2,100,1016,1368,3607,32466,491075,,
491076,8,114.277358,30.595105,云林社区,,420102,027,420102014005,111,,,,,,,,,2,100,1016,1368,3607,32466,491076,,
491077,8,114.284446,30.601277,花莲社区,,420102,027,420102014007,111,,,,,,,,,2,100,1016,1368,3607,32466,491077,,
491078,8,114.287174,30.61452,花桥社区,,420102,027,420102015001,111,,,,,,,,,2,100,1016,1368,3607,32467,491078,,
491079,8,114.278612,30.618982,蔡家田社区,,420102,027,420102015004,111,,,,,,,,,2,100,1016,1368,3607,32467,491079,,
491080,8,114.281298,30.618778,望才里社区,,420102,027,420102015005,111,,,,,,,,,2,100,1016,1368,3607,32467,491080,,
491081,8,114.28846,30.620828,科苑社区,,420102,027,420102015007,111,,,,,,,,,2,100,1016,1368,3607,32467,491081,,
491082,8,114.30411,30.615355,黄浦社区,,420102,027,420102015008,111,,,,,,,,,2,100,1016,1368,3607,32467,491082,,
491083,8,114.28314,30.615366,育才社区,,420102,027,420102015013,111,,,,,,,,,2,100,1016,1368,3607,32467,491083,,
491084,8,114.28101,30.616222,聚才社区,,420102,027,420102015014,111,,,,,,,,,2,100,1016,1368,3607,32467,491084,,
491085,8,114.278922,30.61634,四村社区,,420102,027,420102015015,111,,,,,,,,,2,100,1016,1368,3607,32467,491085,,
