gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
519505,8,112.988484,28.188633,识字里社区居委会,,430102,0731,430102001001,111,,,,,,,,,2,100,1017,1382,3712,33933,519505,,
519506,8,112.99068,28.190824,文艺新村社区居委会,,430102,0731,430102001002,111,,,,,,,,,2,100,1017,1382,3712,33933,519506,,
519507,8,112.989042,28.193818,韭菜园社区居委会,,430102,0731,430102001003,111,,,,,,,,,2,100,1017,1382,3712,33933,519507,,
519508,8,112.988764,28.188617,湘府社区居委会,,430102,0731,430102001004,111,,,,,,,,,2,100,1017,1382,3712,33933,519508,,
519509,8,112.995789,28.192646,乔庄社区居委会,,430102,0731,430102001005,111,,,,,,,,,2,100,1017,1382,3712,33933,519509,,
519510,8,112.996506,28.18858,东广济桥社区居委会,,430102,0731,430102001006,111,,,,,,,,,2,100,1017,1382,3712,33933,519510,,
519511,8,112.988764,28.188617,南元宫社区居委会,,430102,0731,430102001007,111,,,,,,,,,2,100,1017,1382,3712,33933,519511,,
519512,8,113.007828,28.188868,朝阳社区居委会,,430102,0731,430102002001,111,,,,,,,,,2,100,1017,1382,3712,33934,519512,,
519513,8,113.008533,28.192758,五一东村社区居委会,,430102,0731,430102002002,111,,,,,,,,,2,100,1017,1382,3712,33934,519513,,
519514,8,113.00493,28.191833,向韶社区居委会,,430102,0731,430102002003,111,,,,,,,,,2,100,1017,1382,3712,33934,519514,,
519515,8,113.000481,28.192201,二里牌社区居委会,,430102,0731,430102002004,111,,,,,,,,,2,100,1017,1382,3712,33934,519515,,
519516,8,113.000691,28.188844,人民新村社区居委会,,430102,0731,430102002005,111,,,,,,,,,2,100,1017,1382,3712,33934,519516,,
519517,8,113.004723,28.186437,曙光社区居委会,,430102,0731,430102002006,111,,,,,,,,,2,100,1017,1382,3712,33934,519517,,
519518,8,112.996294,28.195856,桐荫里社区居委会,,430102,0731,430102003001,111,,,,,,,,,2,100,1017,1382,3712,33935,519518,,
519519,8,112.991815,28.196333,八一桥社区居委会,,430102,0731,430102003003,111,,,,,,,,,2,100,1017,1382,3712,33935,519519,,
519520,8,112.992286,28.196152,军区社区居委会,,430102,0731,430102003004,111,,,,,,,,,2,100,1017,1382,3712,33935,519520,,
519521,8,113.006327,28.200186,汤家岭社区居委会,,430102,0731,430102003005,111,,,,,,,,,2,100,1017,1382,3712,33935,519521,,
519522,8,112.999211,28.200579,蓉园社区居委会,,430102,0731,430102003006,111,,,,,,,,,2,100,1017,1382,3712,33935,519522,,
519523,8,113.01038,28.195239,五里牌社区居委会,,430102,0731,430102008001,111,,,,,,,,,2,100,1017,1382,3712,33936,519523,,
519524,8,113.01227,28.190204,火车站社区居委会,,430102,0731,430102008002,111,,,,,,,,,2,100,1017,1382,3712,33936,519524,,
519525,8,113.001999,28.196811,燕山街社区居委会,,430102,0731,430102008004,111,,,,,,,,,2,100,1017,1382,3712,33936,519525,,
519526,8,113.021564,28.203103,凌霄社区居委会,,430102,0731,430102009001,111,,,,,,,,,2,100,1017,1382,3712,33937,519526,,
519527,8,113.025065,28.203247,紫薇社区居委会,,430102,0731,430102009002,111,,,,,,,,,2,100,1017,1382,3712,33937,519527,,
519528,8,113.020485,28.204844,月桂社区居委会,,430102,0731,430102009003,111,,,,,,,,,2,100,1017,1382,3712,33937,519528,,
519529,8,113.029663,28.199847,兴和社区居委会,,430102,0731,430102009005,111,,,,,,,,,2,100,1017,1382,3712,33937,519529,,
519530,8,113.034882,28.203033,陶家山社区居委会,,430102,0731,430102009006,111,,,,,,,,,2,100,1017,1382,3712,33937,519530,,
519531,8,113.033295,28.197452,曾家坪社区居委会,,430102,0731,430102009007,111,,,,,,,,,2,100,1017,1382,3712,33937,519531,,
519532,8,113.021654,28.212849,滩头坪社区居委会,,430102,0731,430102010004,111,,,,,,,,,2,100,1017,1382,3712,33938,519532,,
519533,8,113.035737,28.205385,古汉城社区居委会,,430102,0731,430102010007,111,,,,,,,,,2,100,1017,1382,3712,33938,519533,,
519534,8,113.025213,28.20816,马王堆社区居委会,,430102,0731,430102010008,111,,,,,,,,,2,100,1017,1382,3712,33938,519534,,
519535,8,113.017251,28.213958,九道湾社区,,430102,0731,430102010009,111,,,,,,,,,2,100,1017,1382,3712,33938,519535,,
519536,8,113.017497,28.185844,新桥新村社区居委会,,430102,0731,430102010010,111,,,,,,,,,2,100,1017,1382,3712,33938,519536,,
519537,8,113.028584,28.210609,火炬村委会,,430102,0731,430102010204,111,,,,,,,,,2,100,1017,1382,3712,33938,519537,,
519538,8,113.03441,28.191013,芙蓉社区居委会,,430102,0731,430102011001,111,,,,,,,,,2,100,1017,1382,3712,33939,519538,,
519539,8,113.037482,28.186284,东屯渡社区居委会,,430102,0731,430102011002,111,,,,,,,,,2,100,1017,1382,3712,33939,519539,,
519540,8,113.03755,28.185873,扬帆社区居委会,,430102,0731,430102011003,111,,,,,,,,,2,100,1017,1382,3712,33939,519540,,
519541,8,113.034576,28.182199,嘉雨社区居委会,,430102,0731,430102011009,111,,,,,,,,,2,100,1017,1382,3712,33939,519541,,
519542,8,113.04042,28.19165,白沙湾社区居委会,,430102,0731,430102011010,111,,,,,,,,,2,100,1017,1382,3712,33939,519542,,
519543,8,113.042206,28.197926,金科社区居委会,,430102,0731,430102011011,111,,,,,,,,,2,100,1017,1382,3712,33939,519543,,
519544,8,113.011777,28.201745,南湖社区居委会,,430102,0731,430102012001,111,,,,,,,,,2,100,1017,1382,3712,33940,519544,,
519545,8,113.009799,28.207827,西湖社区居委会,,430102,0731,430102012002,111,,,,,,,,,2,100,1017,1382,3712,33940,519545,,
519546,8,113.014322,28.206188,湘湖社区居委会,,430102,0731,430102012003,111,,,,,,,,,2,100,1017,1382,3712,33940,519546,,
519547,8,113.010073,28.21492,跃进湖社区居委会,,430102,0731,430102012005,111,,,,,,,,,2,100,1017,1382,3712,33940,519547,,
519548,8,113.012898,28.209569,东湖社区居委会,,430102,0731,430102012006,111,,,,,,,,,2,100,1017,1382,3712,33940,519548,,
519549,8,113.012735,28.200015,车站北路社区居委会,,430102,0731,430102012007,111,,,,,,,,,2,100,1017,1382,3712,33940,519549,,
519550,8,112.98333,28.188463,宝南街社区居委会,,430102,0731,430102013001,111,,,,,,,,,2,100,1017,1382,3712,33941,519550,,
519551,8,112.985196,28.191682,浏正街社区居委会,,430102,0731,430102013002,111,,,,,,,,,2,100,1017,1382,3712,33941,519551,,
519552,8,112.981564,28.193372,藩后街社区居委会,,430102,0731,430102013003,111,,,,,,,,,2,100,1017,1382,3712,33941,519552,,
519553,8,112.977292,28.18855,丰泉古井社区居委会,,430102,0731,430102013005,111,,,,,,,,,2,100,1017,1382,3712,33941,519553,,
519554,8,112.977539,28.186814,化龙池社区居委会,,430102,0731,430102013006,111,,,,,,,,,2,100,1017,1382,3712,33941,519554,,
519555,8,112.978777,28.197769,黄泥街社区居委会,,430102,0731,430102013008,111,,,,,,,,,2,100,1017,1382,3712,33941,519555,,
519556,8,112.979842,28.193662,走马楼社区居委会,,430102,0731,430102013009,111,,,,,,,,,2,100,1017,1382,3712,33941,519556,,
519557,8,112.981115,28.188108,马王街社区居委会,,430102,0731,430102013011,111,,,,,,,,,2,100,1017,1382,3712,33941,519557,,
519558,8,112.985026,28.188876,金沙里社区居委会,,430102,0731,430102013012,111,,,,,,,,,2,100,1017,1382,3712,33941,519558,,
519559,8,113.018722,28.188845,恒达社区居委会,,430102,0731,430102014001,111,,,,,,,,,2,100,1017,1382,3712,33942,519559,,
519560,8,113.021378,28.19036,荷晏社区居委会,,430102,0731,430102014002,111,,,,,,,,,2,100,1017,1382,3712,33942,519560,,
519561,8,113.018613,28.195918,杨家山社区居委会,,430102,0731,430102014003,111,,,,,,,,,2,100,1017,1382,3712,33942,519561,,
519562,8,113.024151,28.184891,德政园社区居委会,,430102,0731,430102014004,111,,,,,,,,,2,100,1017,1382,3712,33942,519562,,
519563,8,113.021427,28.193279,荷花园社区居委会,,430102,0731,430102014005,111,,,,,,,,,2,100,1017,1382,3712,33942,519563,,
519564,8,113.026286,28.192429,东方新城社区居委会,,430102,0731,430102014006,111,,,,,,,,,2,100,1017,1382,3712,33942,519564,,
519565,8,113.029749,28.187609,东郡社区居委会,,430102,0731,430102014007,111,,,,,,,,,2,100,1017,1382,3712,33942,519565,,
519566,8,113.058574,28.194345,东宜社区居委会,,430102,0731,430102015001,111,,,,,,,,,2,100,1017,1382,3712,33943,519566,,
519567,8,113.032539,28.185386,隆平公园社区居委会,,430102,0731,430102015002,111,,,,,,,,,2,100,1017,1382,3712,33943,519567,,
519568,8,113.07724,28.19505,望龙社区居委会,,430102,0731,430102015003,111,,,,,,,,,2,100,1017,1382,3712,33943,519568,,
519569,8,113.032539,28.185386,黄泥塘社区居委会,,430102,0731,430102015004,111,,,,,,,,,2,100,1017,1382,3712,33943,519569,,
519570,8,113.032539,28.185386,东瑞社区居委会,,430102,0731,430102015005,111,,,,,,,,,2,100,1017,1382,3712,33943,519570,,
519571,8,113.047569,28.199605,东屯村委会,,430102,0731,430102015201,111,,,,,,,,,2,100,1017,1382,3712,33943,519571,,
519572,8,113.067277,28.183274,杉木村委会,,430102,0731,430102015204,112,,,,,,,,,2,100,1017,1382,3712,33943,519572,,
519573,8,113.065947,28.204525,锦林社区居委会,,430102,0731,430102016001,111,,,,,,,,,2,100,1017,1382,3712,33944,519573,,
519574,8,113.092593,28.206503,新安社区居委会,,430102,0731,430102016002,111,,,,,,,,,2,100,1017,1382,3712,33944,519574,,
519575,8,113.08341,28.207056,安子岭社区居委会,,430102,0731,430102016003,111,,,,,,,,,2,100,1017,1382,3712,33944,519575,,
519576,8,113.050357,28.2006,东站社区居委会,,430102,0731,430102016004,111,,,,,,,,,2,100,1017,1382,3712,33944,519576,,
519577,8,113.059683,28.206037,张公岭村委会,,430102,0731,430102016202,111,,,,,,,,,2,100,1017,1382,3712,33944,519577,,
519578,8,113.051828,28.207709,西龙村委会,,430102,0731,430102016203,111,,,,,,,,,2,100,1017,1382,3712,33944,519578,,
519579,8,113.085366,28.19649,龙马社区居委会,,430102,0731,430102017001,111,,,,,,,,,2,100,1017,1382,3712,33945,519579,,
519580,8,113.086289,28.186384,滨湖社区居委会,,430102,0731,430102017002,111,,,,,,,,,2,100,1017,1382,3712,33945,519580,,
519581,8,113.10911,28.199434,韶光社区居委会,,430102,0731,430102017003,111,,,,,,,,,2,100,1017,1382,3712,33945,519581,,
519582,8,113.085335,28.196562,合平新村社区居委会,,430102,0731,430102017004,112,,,,,,,,,2,100,1017,1382,3712,33945,519582,,
519583,8,113.08629,28.186516,东沙社区居委会,,430102,0731,430102017005,111,,,,,,,,,2,100,1017,1382,3712,33945,519583,,
519584,8,113.085335,28.196562,姚托湾社区居委会,,430102,0731,430102017006,111,,,,,,,,,2,100,1017,1382,3712,33945,519584,,
519585,8,113.102849,28.184293,东湖村委会,,430102,0731,430102017201,112,,,,,,,,,2,100,1017,1382,3712,33945,519585,,
519586,8,113.068839,28.211766,隆平高科技园虚拟社区,,430102,0731,430102400498,111,,,,,,,,,2,100,1017,1382,3712,33946,519586,,
519587,8,112.974005,28.189685,八角亭社区居委会,,430103,0731,430103002001,111,,,,,,,,,2,100,1017,1382,3713,33947,519587,,
