dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
690595,8,91.135205,29.647753,绕赛社区居委会,,540102,0891,540102002001,111,,,,,,,,,2,100,1025,1484,4550,47480,690595,,
690596,8,91.131896,29.647559,白林社区居委会,,540102,0891,540102002002,111,,,,,,,,,2,100,1025,1484,4550,47480,690596,,
690597,8,91.12972,29.647687,鲁固社区居委会,,540102,0891,540102002003,111,,,,,,,,,2,100,1025,1484,4550,47480,690597,,
690598,8,91.135137,29.64934,八廓社区居委会,,540102,0891,540102002004,111,,,,,,,,,2,100,1025,1484,4550,47480,690598,,
690599,8,91.134504,29.651852,冲赛康社区居委会,,540102,0891,540102002005,111,,,,,,,,,2,100,1025,1484,4550,47480,690599,,
690600,8,91.13096,29.651609,丹杰林社区居委会,,540102,0891,540102002006,111,,,,,,,,,2,100,1025,1484,4550,47480,690600,,
690601,8,91.132812,29.652229,夏萨苏社区居委会,,540102,0891,540102002007,111,,,,,,,,,2,100,1025,1484,4550,47480,690601,,
690602,8,91.138421,29.648994,铁崩岗社区居委会,,540102,0891,540102003001,111,,,,,,,,,2,100,1025,1484,4550,47481,690602,,
690603,8,91.140271,29.650614,八朗学社区居委会,,540102,0891,540102003002,111,,,,,,,,,2,100,1025,1484,4550,47481,690603,,
690604,8,91.139267,29.644824,河坝林社区居委会,,540102,0891,540102003003,111,,,,,,,,,2,100,1025,1484,4550,47481,690604,,
690605,8,91.137071,29.65134,吉日社区居委会,,540102,0891,540102003004,111,,,,,,,,,2,100,1025,1484,4550,47481,690605,,
690606,8,91.133849,29.653698,吉崩岗社区居委会,,540102,0891,540102004001,111,,,,,,,,,2,100,1025,1484,4550,47482,690606,,
690607,8,91.131863,29.65557,热木其社区居委会,,540102,0891,540102004002,111,,,,,,,,,2,100,1025,1484,4550,47482,690607,,
690608,8,91.131424,29.653347,策门林社区居委会,,540102,0891,540102004003,111,,,,,,,,,2,100,1025,1484,4550,47482,690608,,
690609,8,91.136707,29.654335,木如社区居委会,,540102,0891,540102004004,111,,,,,,,,,2,100,1025,1484,4550,47482,690609,,
690610,8,91.142065,29.673664,扎细社区居委会,,540102,0891,540102005001,111,,,,,,,,,2,100,1025,1484,4550,47483,690610,,
690611,8,91.134098,29.668606,扎细新村社区居委会,,540102,0891,540102005002,111,,,,,,,,,2,100,1025,1484,4550,47483,690611,,
690612,8,91.145404,29.672299,雄嘎社区居委会,,540102,0891,540102005003,111,,,,,,,,,2,100,1025,1484,4550,47483,690612,,
690613,8,91.129354,29.662674,团结新村社区居委会,,540102,0891,540102005004,111,,,,,,,,,2,100,1025,1484,4550,47483,690613,,
690614,8,91.154957,29.673594,尼卓林社区居委会,,540102,0891,540102005006,111,,,,,,,,,2,100,1025,1484,4550,47483,690614,,
690615,8,91.091765,29.656087,加措社区居委会,,540102,0891,540102006001,111,,,,,,,,,2,100,1025,1484,4550,47484,690615,,
690616,8,91.111822,29.664745,拉鲁社区居委会,,540102,0891,540102006003,111,,,,,,,,,2,100,1025,1484,4550,47484,690616,,
690617,8,91.120252,29.672194,幸福社区居委会,,540102,0891,540102006005,111,,,,,,,,,2,100,1025,1484,4550,47484,690617,,
690618,8,91.116504,29.660247,雪社区居委会,,540102,0891,540102006006,111,,,,,,,,,2,100,1025,1484,4550,47484,690618,,
690619,8,91.16924,29.65459,俄杰塘社区居委会,,540102,0891,540102007001,111,,,,,,,,,2,100,1025,1484,4550,47485,690619,,
690620,8,91.148313,29.65945,纳金路北社区居委会,,540102,0891,540102007002,111,,,,,,,,,2,100,1025,1484,4550,47485,690620,,
690621,8,91.152031,29.652688,统建社区居委会,,540102,0891,540102007003,111,,,,,,,,,2,100,1025,1484,4550,47485,690621,,
