dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
658371,8,106.701026,26.551774,山水黔城居委会,,520102,0851,520102200001,111,,,,,,,,,2,100,1023,1459,4333,44520,658371,,
658372,8,106.701026,26.551774,太慈村委会,,520102,0851,520102200201,111,,,,,,,,,2,100,1023,1459,4333,44520,658372,,
658373,8,106.703778,26.547253,朝阳村委会,,520102,0851,520102200202,111,,,,,,,,,2,100,1023,1459,4333,44520,658373,,
658374,8,106.67599,26.53472,四方河村委会,,520102,0851,520102200203,111,,,,,,,,,2,100,1023,1459,4333,44520,658374,,
658375,8,106.701026,26.551774,后巢村委会,,520102,0851,520102200204,111,,,,,,,,,2,100,1023,1459,4333,44520,658375,,
658376,8,106.724929,26.558599,油榨村民委员会,,520102,0851,520102201201,111,,,,,,,,,2,100,1023,1459,4333,44521,658376,,
658377,8,106.731906,26.509905,二戈村民委员会,,520102,0851,520102201202,111,,,,,,,,,2,100,1023,1459,4333,44521,658377,,
658378,8,106.725975,26.561126,红岩村民委员会,,520102,0851,520102201203,111,,,,,,,,,2,100,1023,1459,4333,44521,658378,,
658379,8,106.725975,26.561126,云关村民委员会,,520102,0851,520102201204,111,,,,,,,,,2,100,1023,1459,4333,44521,658379,,
658380,8,106.725975,26.561126,木头村民委员会,,520102,0851,520102201205,111,,,,,,,,,2,100,1023,1459,4333,44521,658380,,
658381,8,106.725975,26.561126,摆郎村民委员会,,520102,0851,520102201206,112,,,,,,,,,2,100,1023,1459,4333,44521,658381,,
658382,8,106.791194,26.535375,云盘村委会,,520102,0851,520102202201,111,,,,,,,,,2,100,1023,1459,4333,44522,658382,,
658383,8,106.791194,26.535375,水坝村委会,,520102,0851,520102202202,111,,,,,,,,,2,100,1023,1459,4333,44522,658383,,
658384,8,106.791194,26.535375,小碧村委会,,520102,0851,520102202203,111,,,,,,,,,2,100,1023,1459,4333,44522,658384,,
658385,8,106.79235,26.525977,甘庄村委会,,520102,0851,520102202204,111,,,,,,,,,2,100,1023,1459,4333,44522,658385,,
658386,8,106.791194,26.535375,下坝村委会,,520102,0851,520102202205,111,,,,,,,,,2,100,1023,1459,4333,44522,658386,,
658387,8,106.813724,26.526795,二堡村委会,,520102,0851,520102202206,111,,,,,,,,,2,100,1023,1459,4333,44522,658387,,
658388,8,106.791194,26.535375,黄泥哨村委会,,520102,0851,520102202207,111,,,,,,,,,2,100,1023,1459,4333,44522,658388,,
658389,8,106.791194,26.535375,黄泥甫村委会,,520102,0851,520102202208,111,,,,,,,,,2,100,1023,1459,4333,44522,658389,,
658390,8,106.791194,26.535375,猫洞村委会,,520102,0851,520102202209,111,,,,,,,,,2,100,1023,1459,4333,44522,658390,,
658391,8,106.791194,26.535375,秦棋村委会,,520102,0851,520102202210,111,,,,,,,,,2,100,1023,1459,4333,44522,658391,,
658392,8,106.791194,26.535375,马寨村委会,,520102,0851,520102202211,111,,,,,,,,,2,100,1023,1459,4333,44522,658392,,
658393,8,106.791194,26.535375,大地村委会,,520102,0851,520102202212,122,,,,,,,,,2,100,1023,1459,4333,44522,658393,,
658394,8,106.874229,26.59799,罗吏村委会,,520102,0851,520102203200,210,,,,,,,,,2,100,1023,1459,4333,44523,658394,,
658395,8,106.874229,26.59799,永乐村委会,,520102,0851,520102203201,210,,,,,,,,,2,100,1023,1459,4333,44523,658395,,
658396,8,106.874229,26.59799,羊角村委会,,520102,0851,520102203202,220,,,,,,,,,2,100,1023,1459,4333,44523,658396,,
658397,8,106.874229,26.59799,石塘村委会,,520102,0851,520102203203,220,,,,,,,,,2,100,1023,1459,4333,44523,658397,,
658398,8,106.874229,26.59799,水塘村委会,,520102,0851,520102203204,220,,,,,,,,,2,100,1023,1459,4333,44523,658398,,
658399,8,106.874229,26.59799,干井村委会,,520102,0851,520102203205,220,,,,,,,,,2,100,1023,1459,4333,44523,658399,,
658400,8,106.874229,26.59799,柏杨村委会,,520102,0851,520102203206,210,,,,,,,,,2,100,1023,1459,4333,44523,658400,,
658401,8,106.719305,26.565477,纪念塔居委会,,520102,0851,520102400001,111,,,,,,,,,2,100,1023,1459,4333,44524,658401,,
658402,8,106.719305,26.565477,新华路居委会,,520102,0851,520102400002,111,,,,,,,,,2,100,1023,1459,4333,44524,658402,,
658403,8,106.719305,26.565477,甲秀楼居委会,,520102,0851,520102400003,111,,,,,,,,,2,100,1023,1459,4333,44524,658403,,
658404,8,106.719305,26.565477,兴隆街居委会,,520102,0851,520102400004,111,,,,,,,,,2,100,1023,1459,4333,44524,658404,,
658405,8,106.719305,26.565477,箭道街居委会,,520102,0851,520102400005,111,,,,,,,,,2,100,1023,1459,4333,44524,658405,,
658406,8,106.719305,26.565477,电力巷居委会,,520102,0851,520102400006,111,,,,,,,,,2,100,1023,1459,4333,44524,658406,,
658407,8,106.719305,26.565477,神奇路居委会,,520102,0851,520102400007,111,,,,,,,,,2,100,1023,1459,4333,44524,658407,,
658408,8,106.72328,26.571113,南明堂居委会,,520102,0851,520102401001,111,,,,,,,,,2,100,1023,1459,4333,44525,658408,,
658409,8,106.72328,26.571113,观风台居委会,,520102,0851,520102401002,111,,,,,,,,,2,100,1023,1459,4333,44525,658409,,
658410,8,106.72328,26.571113,西湖路居委会,,520102,0851,520102401003,111,,,,,,,,,2,100,1023,1459,4333,44525,658410,,
658411,8,106.72328,26.571113,梭石巷居委会,,520102,0851,520102401004,111,,,,,,,,,2,100,1023,1459,4333,44525,658411,,
658412,8,106.72328,26.571113,官井路居委会,,520102,0851,520102401005,111,,,,,,,,,2,100,1023,1459,4333,44525,658412,,
658413,8,106.72328,26.571113,东笙巷居委会,,520102,0851,520102401006,111,,,,,,,,,2,100,1023,1459,4333,44525,658413,,
658414,8,106.72328,26.571113,盛世花城居委会,,520102,0851,520102401007,111,,,,,,,,,2,100,1023,1459,4333,44525,658414,,
658415,8,106.741424,26.574422,宝山南路居委会,,520102,0851,520102402001,111,,,,,,,,,2,100,1023,1459,4333,44526,658415,,
658416,8,106.741424,26.574422,观水路居委会,,520102,0851,520102402002,111,,,,,,,,,2,100,1023,1459,4333,44526,658416,,
658417,8,106.741424,26.574422,水口寺居委会,,520102,0851,520102402003,111,,,,,,,,,2,100,1023,1459,4333,44526,658417,,
658418,8,106.741424,26.574422,蟠桃宫居委会,,520102,0851,520102402004,111,,,,,,,,,2,100,1023,1459,4333,44526,658418,,
658419,8,106.741424,26.574422,红岩路居委会,,520102,0851,520102402005,111,,,,,,,,,2,100,1023,1459,4333,44526,658419,,
658420,8,106.741424,26.574422,月亮岩居委会,,520102,0851,520102402006,111,,,,,,,,,2,100,1023,1459,4333,44526,658420,,
658421,8,106.741424,26.574422,松竹苑居委会,,520102,0851,520102402007,111,,,,,,,,,2,100,1023,1459,4333,44526,658421,,
658422,8,106.741424,26.574422,世纪新城居委会,,520102,0851,520102402008,111,,,,,,,,,2,100,1023,1459,4333,44526,658422,,
658423,8,106.741424,26.574422,红岩东郡居委会,,520102,0851,520102402009,111,,,,,,,,,2,100,1023,1459,4333,44526,658423,,
658424,8,106.715667,26.575323,会文巷居委会,,520102,0851,520102403001,111,,,,,,,,,2,100,1023,1459,4333,44527,658424,,
658425,8,106.715667,26.575323,尚武巷居委会,,520102,0851,520102403002,111,,,,,,,,,2,100,1023,1459,4333,44527,658425,,
