dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
208699,8,123.384191,41.766976,水源地社区,,210102,024,210102001002,111,,,,,,,,,2,100,1005,1237,2455,15734,208699,,
208700,8,123.382098,41.766834,砂阳南社区,,210102,024,210102001003,111,,,,,,,,,2,100,1005,1237,2455,15734,208700,,
208701,8,123.387013,41.766839,南京南社区,,210102,024,210102001005,111,,,,,,,,,2,100,1005,1237,2455,15734,208701,,
208702,8,123.382301,41.763174,河北社区,,210102,024,210102001007,111,,,,,,,,,2,100,1005,1237,2455,15734,208702,,
208703,8,123.381255,41.760331,万和社区,,210102,024,210102001010,111,,,,,,,,,2,100,1005,1237,2455,15734,208703,,
208704,8,123.378514,41.756299,玉屏二社区,,210102,024,210102001012,111,,,,,,,,,2,100,1005,1237,2455,15734,208704,,
208705,8,123.384534,41.761616,砂山新村社区,,210102,024,210102001014,111,,,,,,,,,2,100,1005,1237,2455,15734,208705,,
208706,8,123.386797,41.759905,和平湾社区,,210102,024,210102001015,111,,,,,,,,,2,100,1005,1237,2455,15734,208706,,
208707,8,123.387869,41.768206,丰泽社区,,210102,024,210102002001,111,,,,,,,,,2,100,1005,1237,2455,15735,208707,,
208708,8,123.386039,41.776837,南十社区,,210102,024,210102002003,111,,,,,,,,,2,100,1005,1237,2455,15735,208708,,
208709,8,123.386828,41.773802,临沂路社区,,210102,024,210102002005,111,,,,,,,,,2,100,1005,1237,2455,15735,208709,,
208710,8,123.389106,41.781532,华光社区,,210102,024,210102002006,111,,,,,,,,,2,100,1005,1237,2455,15735,208710,,
208711,8,123.393234,41.780977,红星社区,,210102,024,210102002008,111,,,,,,,,,2,100,1005,1237,2455,15735,208711,,
208712,8,123.395797,41.780502,中兴社区,,210102,024,210102002009,111,,,,,,,,,2,100,1005,1237,2455,15735,208712,,
208713,8,123.391605,41.778195,新华西社区,,210102,024,210102002010,111,,,,,,,,,2,100,1005,1237,2455,15735,208713,,
208714,8,123.392521,41.783839,平安社区,,210102,024,210102002011,111,,,,,,,,,2,100,1005,1237,2455,15735,208714,,
208715,8,123.391475,41.780743,宜春社区,,210102,024,210102002012,111,,,,,,,,,2,100,1005,1237,2455,15735,208715,,
208716,8,123.383512,41.769702,砂阳北社区,,210102,024,210102002013,111,,,,,,,,,2,100,1005,1237,2455,15735,208716,,
208717,8,123.409925,41.809754,西铁社区,,210102,024,210102007001,111,,,,,,,,,2,100,1005,1237,2455,15736,208717,,
208718,8,123.407893,41.806444,安图社区,,210102,024,210102007002,111,,,,,,,,,2,100,1005,1237,2455,15736,208718,,
