dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
594121,8,108.380367,30.801545,东方广场社区居民委员会,,500101,023,500101001001,111,,,,,,,,,2,100,1021,1436,4109,39146,594121,,
594122,8,108.3752,30.799656,乌龙池社区居民委员会,,500101,023,500101001002,111,,,,,,,,,2,100,1021,1436,4109,39146,594122,,
594123,8,108.379923,30.800755,王家坡社区居民委员会,,500101,023,500101001003,111,,,,,,,,,2,100,1021,1436,4109,39146,594123,,
594124,8,108.378001,30.80689,太白路社区居民委员会,,500101,023,500101001004,111,,,,,,,,,2,100,1021,1436,4109,39146,594124,,
594125,8,108.379923,30.800755,甘家院社区居民委员会,,500101,023,500101001005,111,,,,,,,,,2,100,1021,1436,4109,39146,594125,,
594126,8,108.379923,30.800755,苗圃社区居民委员会,,500101,023,500101001006,111,,,,,,,,,2,100,1021,1436,4109,39146,594126,,
594127,8,108.379923,30.800755,望江路社区居民委员会,,500101,023,500101001007,111,,,,,,,,,2,100,1021,1436,4109,39146,594127,,
594128,8,108.377817,30.81149,高笋塘社区居民委员会,,500101,023,500101001008,111,,,,,,,,,2,100,1021,1436,4109,39146,594128,,
594129,8,108.379923,30.800755,电报路社区居民委员会,,500101,023,500101001009,111,,,,,,,,,2,100,1021,1436,4109,39146,594129,,
594130,8,108.379923,30.800755,西山路社区居民委员会,,500101,023,500101001010,111,,,,,,,,,2,100,1021,1436,4109,39146,594130,,
594131,8,108.356664,30.817549,青羊宫社区居民委员会,,500101,023,500101017001,111,,,,,,,,,2,100,1021,1436,4109,39147,594131,,
594132,8,108.356664,30.817549,白岩路社区居民委员会,,500101,023,500101017002,111,,,,,,,,,2,100,1021,1436,4109,39147,594132,,
594133,8,108.356664,30.817549,桂花堰塘社区居民委员会,,500101,023,500101017003,111,,,,,,,,,2,100,1021,1436,4109,39147,594133,,
594134,8,108.356664,30.817549,桔园社区居民委员会,,500101,023,500101017004,111,,,,,,,,,2,100,1021,1436,4109,39147,594134,,
594135,8,108.375726,30.815409,孙家书房社区居民委员会,,500101,023,500101017005,111,,,,,,,,,2,100,1021,1436,4109,39147,594135,,
594136,8,108.369705,30.814731,文化里社区居民委员会,,500101,023,500101017006,111,,,,,,,,,2,100,1021,1436,4109,39147,594136,,
594137,8,108.356664,30.817549,国本路社区居民委员会,,500101,023,500101017007,111,,,,,,,,,2,100,1021,1436,4109,39147,594137,,
594138,8,108.377624,30.814973,复兴路社区居民委员会,,500101,023,500101017008,111,,,,,,,,,2,100,1021,1436,4109,39147,594138,,
594139,8,108.356664,30.817549,和平路社区居民委员会,,500101,023,500101017009,111,,,,,,,,,2,100,1021,1436,4109,39147,594139,,
594140,8,108.356664,30.817549,红光社区居民委员会,,500101,023,500101017010,111,,,,,,,,,2,100,1021,1436,4109,39147,594140,,
594141,8,108.356664,30.817549,南池沟社区居民委员会,,500101,023,500101017011,111,,,,,,,,,2,100,1021,1436,4109,39147,594141,,
594142,8,108.356664,30.817549,吴家湾社区居民委员会,,500101,023,500101017012,111,,,,,,,,,2,100,1021,1436,4109,39147,594142,,
594143,8,108.356664,30.817549,太白村村民委员会,,500101,023,500101017200,220,,,,,,,,,2,100,1021,1436,4109,39147,594143,,
594144,8,108.356664,30.817549,永宁村村民委员会,,500101,023,500101017201,220,,,,,,,,,2,100,1021,1436,4109,39147,594144,,
594145,8,108.356664,30.817549,红光村村民委员会,,500101,023,500101017202,112,,,,,,,,,2,100,1021,1436,4109,39147,594145,,
594146,8,108.356664,30.817549,万二村村民委员会,,500101,023,500101017203,112,,,,,,,,,2,100,1021,1436,4109,39147,594146,,
594147,8,108.392782,30.791047,牌楼社区居民委员会,,500101,023,500101018001,111,,,,,,,,,2,100,1021,1436,4109,39148,594147,,
594148,8,108.392121,30.783296,袁家墩社区居民委员会,,500101,023,500101018002,111,,,,,,,,,2,100,1021,1436,4109,39148,594148,,
594149,8,108.392121,30.783296,搭马桥社区居民委员会,,500101,023,500101018003,111,,,,,,,,,2,100,1021,1436,4109,39148,594149,,
594150,8,108.392121,30.783296,太平社区居民委员会,,500101,023,500101018004,111,,,,,,,,,2,100,1021,1436,4109,39148,594150,,
594151,8,108.392121,30.783296,观音岩社区居民委员会,,500101,023,500101018005,111,,,,,,,,,2,100,1021,1436,4109,39148,594151,,
594152,8,108.4037,30.769274,印盒石社区居民委员会,,500101,023,500101018006,111,,,,,,,,,2,100,1021,1436,4109,39148,594152,,
594153,8,108.392121,30.783296,万安社区居民委员会,,500101,023,500101018007,111,,,,,,,,,2,100,1021,1436,4109,39148,594153,,
594154,8,108.392121,30.783296,大河沟社区居民委员会,,500101,023,500101018008,111,,,,,,,,,2,100,1021,1436,4109,39148,594154,,
594155,8,108.392121,30.783296,石峰社区居民委员会,,500101,023,500101018009,111,,,,,,,,,2,100,1021,1436,4109,39148,594155,,
594156,8,108.383434,30.752862,螺蛳包社区居民委员会,,500101,023,500101019001,111,,,,,,,,,2,100,1021,1436,4109,39149,594156,,
594157,8,108.3725,30.756032,学堂湾社区居民委员会,,500101,023,500101019002,111,,,,,,,,,2,100,1021,1436,4109,39149,594157,,
594158,8,108.37474,30.742549,槽房社区居民委员会,,500101,023,500101019003,111,,,,,,,,,2,100,1021,1436,4109,39149,594158,,
594159,8,108.3725,30.756032,一碗水社区居民委员会,,500101,023,500101019004,111,,,,,,,,,2,100,1021,1436,4109,39149,594159,,
594160,8,108.3725,30.756032,石梁社区居民委员会,,500101,023,500101019005,112,,,,,,,,,2,100,1021,1436,4109,39149,594160,,
594161,8,108.3725,30.756032,永清村村民委员会,,500101,023,500101019200,220,,,,,,,,,2,100,1021,1436,4109,39149,594161,,
594162,8,108.3725,30.756032,石鼓村村民委员会,,500101,023,500101019201,220,,,,,,,,,2,100,1021,1436,4109,39149,594162,,
594163,8,108.3725,30.756032,龙宝村村民委员会,,500101,023,500101019202,112,,,,,,,,,2,100,1021,1436,4109,39149,594163,,
594164,8,108.3725,30.756032,大榜村村民委员会,,500101,023,500101019203,112,,,,,,,,,2,100,1021,1436,4109,39149,594164,,
594165,8,108.3725,30.756032,万利村村民委员会,,500101,023,500101019204,220,,,,,,,,,2,100,1021,1436,4109,39149,594165,,
594166,8,108.401587,30.756445,大塘边社区居民委员会,,500101,023,500101020001,111,,,,,,,,,2,100,1021,1436,4109,39150,594166,,
594167,8,108.411649,30.763107,红溪沟社区居民委员会,,500101,023,500101020002,111,,,,,,,,,2,100,1021,1436,4109,39150,594167,,
594168,8,108.413687,30.763061,岩上坝社区居民委员会,,500101,023,500101020003,111,,,,,,,,,2,100,1021,1436,4109,39150,594168,,
594169,8,108.411649,30.763107,九龙园社区居民委员会,,500101,023,500101020004,111,,,,,,,,,2,100,1021,1436,4109,39150,594169,,
