gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
733691,8,101.800292,36.617153,北关社区居民委员会,,630102,0971,630102001001,111,,,,,,,,,2,100,1028,1515,4823,50938,733691,,
733692,8,101.801476,36.615698,慈幼社区居民委员会,,630102,0971,630102001004,111,,,,,,,,,2,100,1028,1515,4823,50938,733692,,
733693,8,101.801476,36.615698,五一社区居民委员会,,630102,0971,630102001005,111,,,,,,,,,2,100,1028,1515,4823,50938,733693,,
733694,8,101.8012,36.6191,团结社区居民委员会,,630102,0971,630102002008,111,,,,,,,,,2,100,1028,1515,4823,50939,733694,,
733695,8,101.8012,36.6191,夏都花园社区居民委员会,,630102,0971,630102002009,111,,,,,,,,,2,100,1028,1515,4823,50939,733695,,
733696,8,101.8012,36.6191,南小街社区居民委员会,,630102,0971,630102002010,111,,,,,,,,,2,100,1028,1515,4823,50939,733696,,
733697,8,101.8012,36.6191,凤凰园社区居民委员会,,630102,0971,630102002011,111,,,,,,,,,2,100,1028,1515,4823,50939,733697,,
733698,8,101.8012,36.6191,磨尔园社区居民委员会,,630102,0971,630102002012,111,,,,,,,,,2,100,1028,1515,4823,50939,733698,,
733699,8,101.796876,36.616019,凯旋社区居民委员会,,630102,0971,630102003007,111,,,,,,,,,2,100,1028,1515,4823,50940,733699,,
733700,8,101.796876,36.616019,园山路社区居民委员会,,630102,0971,630102003008,111,,,,,,,,,2,100,1028,1515,4823,50940,733700,,
733701,8,101.796876,36.616019,树林巷社区居民委员会,,630102,0971,630102003009,111,,,,,,,,,2,100,1028,1515,4823,50940,733701,,
733702,8,101.796876,36.616019,共和路社区居民委员会,,630102,0971,630102003010,111,,,,,,,,,2,100,1028,1515,4823,50940,733702,,
733703,8,101.796876,36.616019,德令哈社区居民委员会,,630102,0971,630102003011,111,,,,,,,,,2,100,1028,1515,4823,50940,733703,,
733704,8,101.796876,36.616019,安泰社区居民委员会,,630102,0971,630102003012,111,,,,,,,,,2,100,1028,1515,4823,50940,733704,,
733705,8,101.796876,36.616019,康西社区居民委员会,,630102,0971,630102003013,111,,,,,,,,,2,100,1028,1515,4823,50940,733705,,
733706,8,101.796876,36.616019,梨园社区居民委员会,,630102,0971,630102003014,111,,,,,,,,,2,100,1028,1515,4823,50940,733706,,
733707,8,101.796876,36.616019,友谊村村民委员会,,630102,0971,630102003203,111,,,,,,,,,2,100,1028,1515,4823,50940,733707,,
733708,8,101.796876,36.616019,先进村村民委员会,,630102,0971,630102003204,111,,,,,,,,,2,100,1028,1515,4823,50940,733708,,
733709,8,101.806707,36.621155,杨家巷社区居民委员会,,630102,0971,630102004001,111,,,,,,,,,2,100,1028,1515,4823,50941,733709,,
733710,8,101.806707,36.621155,建国路社区居民委员会,,630102,0971,630102004002,111,,,,,,,,,2,100,1028,1515,4823,50941,733710,,
733711,8,101.806707,36.621155,为民巷社区居民委员会,,630102,0971,630102004004,111,,,,,,,,,2,100,1028,1515,4823,50941,733711,,
733712,8,101.806707,36.621155,白家河湾社区居民委员会,,630102,0971,630102004005,111,,,,,,,,,2,100,1028,1515,4823,50941,733712,,
733713,8,101.806707,36.621155,联合村村民委员会,,630102,0971,630102004201,111,,,,,,,,,2,100,1028,1515,4823,50941,733713,,
733714,8,101.813601,36.619818,火车站社区居民委员会,,630102,0971,630102005001,111,,,,,,,,,2,100,1028,1515,4823,50942,733714,,
733715,8,101.813601,36.619818,中庄社区居民委员会,,630102,0971,630102005004,111,,,,,,,,,2,100,1028,1515,4823,50942,733715,,
733716,8,101.672058,36.660642,幸福社区居民委员会,,630105,0971,630102005005,111,,,,,,,,,2,100,1028,1515,4823,50942,733716,,
733717,8,101.813601,36.619818,富民路社区居民委员会,,630102,0971,630102005006,111,,,,,,,,,2,100,1028,1515,4823,50942,733717,,
