dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
236800,8,126.625929,45.770393,省报社社区居委会,,230102,0451,230102001001,111,,,,,,,,,2,100,1007,1260,2624,18359,236800,,
236801,8,126.632681,45.768238,索菲亚社区居委会,,230102,0451,230102001002,111,,,,,,,,,2,100,1007,1260,2624,18359,236801,,
236802,8,126.627775,45.766641,兆麟社区居委会,,230102,0451,230102001003,111,,,,,,,,,2,100,1007,1260,2624,18359,236802,,
236803,8,126.629924,45.774762,森林社区居委会,,230102,0451,230102001004,111,,,,,,,,,2,100,1007,1260,2624,18359,236803,,
236804,8,126.62051,45.761337,银都社区居委会,,230102,0451,230102002001,111,,,,,,,,,2,100,1007,1260,2624,18360,236804,,
236805,8,126.62051,45.761337,新阳社区居委会,,230102,0451,230102002002,111,,,,,,,,,2,100,1007,1260,2624,18360,236805,,
236806,8,126.62051,45.761337,地德里北段社区居委会,,230102,0451,230102002003,111,,,,,,,,,2,100,1007,1260,2624,18360,236806,,
236807,8,126.62051,45.761337,安化北段社区居委会,,230102,0451,230102002005,111,,,,,,,,,2,100,1007,1260,2624,18360,236807,,
236808,8,126.616621,45.756861,安祥社区居委会,,230102,0451,230102003001,111,,,,,,,,,2,100,1007,1260,2624,18361,236808,,
236809,8,126.62107,45.755073,抚安社区居委会,,230102,0451,230102003002,111,,,,,,,,,2,100,1007,1260,2624,18361,236809,,
236810,8,126.614596,45.754622,抚顺社区居委会,,230102,0451,230102003003,111,,,,,,,,,2,100,1007,1260,2624,18361,236810,,
236811,8,126.620077,45.756876,安吉社区居委会,,230102,0451,230102003004,111,,,,,,,,,2,100,1007,1260,2624,18361,236811,,
236812,8,126.620077,45.756876,地德里社区居委会,,230102,0451,230102003005,111,,,,,,,,,2,100,1007,1260,2624,18361,236812,,
236813,8,126.611247,45.75262,福乐湾社区居委会,,230102,0451,230102004001,111,,,,,,,,,2,100,1007,1260,2624,18362,236813,,
236814,8,126.617775,45.750306,大民兴东段社区居委会,,230102,0451,230102004002,111,,,,,,,,,2,100,1007,1260,2624,18362,236814,,
236815,8,126.613751,45.74506,大民兴中段社区居委会,,230102,0451,230102004003,111,,,,,,,,,2,100,1007,1260,2624,18362,236815,,
236816,8,126.613672,45.745094,大民兴西段社区居委会,,230102,0451,230102004004,111,,,,,,,,,2,100,1007,1260,2624,18362,236816,,
236817,8,126.609046,45.749047,民众社区居委会,,230102,0451,230102004005,111,,,,,,,,,2,100,1007,1260,2624,18362,236817,,
236818,8,126.611556,45.751066,福同社区居委会,,230102,0451,230102004006,111,,,,,,,,,2,100,1007,1260,2624,18362,236818,,
236819,8,126.609046,45.749047,民庆社区居委会,,230102,0451,230102004007,111,,,,,,,,,2,100,1007,1260,2624,18362,236819,,
236820,8,126.609014,45.748347,光华社区居委会,,230102,0451,230102004008,111,,,,,,,,,2,100,1007,1260,2624,18362,236820,,
236821,8,126.605971,45.73738,民桥社区居委会,,230102,0451,230102004009,111,,,,,,,,,2,100,1007,1260,2624,18362,236821,,
236822,8,126.609046,45.749047,民安街社区居委会,,230102,0451,230102004010,111,,,,,,,,,2,100,1007,1260,2624,18362,236822,,
236823,8,126.609046,45.749047,民茂社区居委会,,230102,0451,230102004012,111,,,,,,,,,2,100,1007,1260,2624,18362,236823,,
236824,8,126.609046,45.749047,欧洲新城社区居委会,,230102,0451,230102004013,111,,,,,,,,,2,100,1007,1260,2624,18362,236824,,
236825,8,126.590988,45.73592,埃德蒙顿路社区居委会,,230102,0451,230102005002,111,,,,,,,,,2,100,1007,1260,2624,18363,236825,,
236826,8,126.590988,45.73592,新华社区居委会,,230102,0451,230102005003,111,,,,,,,,,2,100,1007,1260,2624,18363,236826,,
236827,8,126.594183,45.733188,乡政社区居委会,,230102,0451,230102005004,111,,,,,,,,,2,100,1007,1260,2624,18363,236827,,
236828,8,126.590988,45.73592,顾新路社区居委会,,230102,0451,230102005005,111,,,,,,,,,2,100,1007,1260,2624,18363,236828,,
236829,8,126.590988,45.73592,恒祥城社区居委会,,230102,0451,230102005006,111,,,,,,,,,2,100,1007,1260,2624,18363,236829,,
236830,8,126.613497,45.717339,理工大学社区居委会,,230103,0451,230102005007,111,,,,,,,,,2,100,1007,1260,2624,18363,236830,,
236831,8,126.592321,45.731581,天合社区居委会,,230102,0451,230102005009,111,,,,,,,,,2,100,1007,1260,2624,18363,236831,,
236832,8,126.596273,45.736967,大发社区居委会,,230102,0451,230102005010,111,,,,,,,,,2,100,1007,1260,2624,18363,236832,,
236833,8,126.590988,45.73592,顾乡电信社区居委会,,230102,0451,230102005013,111,,,,,,,,,2,100,1007,1260,2624,18363,236833,,
236834,8,126.590988,45.73592,清河湾社区居委会,,230102,0451,230102005014,111,,,,,,,,,2,100,1007,1260,2624,18363,236834,,
236835,8,126.582425,45.728941,秀河湾社区居委会,,230102,0451,230102006003,111,,,,,,,,,2,100,1007,1260,2624,18364,236835,,
236836,8,126.582073,45.729242,美河湾社区居委会,,230102,0451,230102006004,111,,,,,,,,,2,100,1007,1260,2624,18364,236836,,
236837,8,126.582073,45.729242,丽河湾社区居委会,,230102,0451,230102006005,111,,,,,,,,,2,100,1007,1260,2624,18364,236837,,
236838,8,126.582425,45.728941,西客站社区居委会,,230102,0451,230102006006,111,,,,,,,,,2,100,1007,1260,2624,18364,236838,,
