级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
省,116.407526,39.90403,北京,Beijing,110000,10,,,,北京市,,,,,,,亚洲,中国,北京,,,,,,
省,117.200983,39.084158,天津,Tianjin,120000,22,,,,天津市,,,,,,,亚洲,中国,天津,,,,,,
省,114.468664,38.037057,河北,Hebei,130000,,,,,河北省,Hebei Province,,,,,,亚洲,中国,河北,,,,,,
省,112.562398,37.873531,山西,Shanxi,140000,,,,,山西省,Shanxi Province,,,,,,亚洲,中国,山西,,,,,,
省,111.765617,40.817498,内蒙古,Inner Mongolia,150000,,,,,内蒙古自治区,,,,,,,亚洲,中国,内蒙古,,,,,,
省,123.42944,41.835441,辽宁,Liaoning,210000,,,,,辽宁省,Liaoning Province,,,,,,亚洲,中国,辽宁,,,,,,
省,125.32599,43.896536,吉林,Jilin,220000,,,,,吉林省,Jilin Province,,,,,,亚洲,中国,吉林,,,,,,
省,126.661669,45.742347,黑龙江,Heilongjiang,230000,,,,,黑龙江省,Heilongjiang Province,,,,,,亚洲,中国,黑龙江,,,,,,
省,121.473701,31.230416,上海,Shanghai,310000,21,,,,上海市,,,,,,,亚洲,中国,上海,,,,,,
省,118.763232,32.061707,江苏,Jiangsu,320000,,,,,江苏省,Jiangsu Province,,,,,,亚洲,中国,江苏,,,,,,
省,120.152791,30.267446,浙江,Zhejiang,330000,,,,,浙江省,Zhejiang Province,,,,,,亚洲,中国,浙江,,,,,,
省,117.284922,31.861184,安徽,Anhui,340000,,,,,安徽省,Anhui Province,,,,,,亚洲,中国,安徽,,,,,,
省,119.295144,26.100779,福建,Fujian,350000,,,,,福建省,Fujian Province,,,,,,亚洲,中国,福建,,,,,,
省,115.909228,28.675696,江西,Jiangxi,360000,,,,,江西省,Jiangxi Province,,,,,,亚洲,中国,江西,,,,,,
省,117.020359,36.66853,山东,Shandong,370000,,,,,山东省,Shandong Province,,,,,,亚洲,中国,山东,,,,,,
省,113.753602,34.765515,河南,Henan,410000,,,,,河南省,Henan Province,,,,,,亚洲,中国,河南,,,,,,
省,114.341861,30.546498,湖北,Hubei,420000,,,,,湖北省,Hubei Province,,,,,,亚洲,中国,湖北,,,,,,
省,112.98381,28.112444,湖南,Hunan,430000,,,,,湖南省,Hunan Province,,,,,,亚洲,中国,湖南,,,,,,
省,113.26653,23.132191,广东,Guangdong,440000,,,,,广东省,Guangdong Province,,,,,,亚洲,中国,广东,,,,,,
省,108.327546,22.815478,广西,Guangxi,450000,,,,,广西壮族自治区,Guangxi Province,,,,,,亚洲,中国,广西,,,,,,
省,110.349228,20.017377,海南,Hainan,460000,,,,,海南省,Hainan Province,,,,,,亚洲,中国,海南,,,,,,
省,106.551556,29.563009,重庆,Chongqing,500000,23,,,,重庆市,,,,,,,亚洲,中国,重庆,,,,,,
省,104.075931,30.651651,四川,Sichuan,510000,,,,,四川省,Sichuan Province,,,,,,亚洲,中国,四川,,,,,,
省,106.70741,26.598194,贵州,Guizhou,530000,,,,,贵州省,Guizhou Province,,,,,,亚洲,中国,贵州,,,,,,
省,102.710002,25.045806,云南,Yunnan,530000,,,,,云南省,Yunnan Province,,,,,,亚洲,中国,云南,,,,,,
省,91.117212,29.646922,西藏,Xizang,540000,,,,,西藏自治区,Xizang Province,Tibet,,,,,亚洲,中国,西藏,,,,,,
省,108.954239,34.265472,陕西,Shaanxi,610000,,,,,陕西省,Shaanxi Province,Shensi,,,,,亚洲,中国,陕西,,,,,,
省,103.826308,36.059421,甘肃,Gansu,620000,,,,,甘肃省,Gansu Province,,,,,,亚洲,中国,甘肃,,,,,,
省,101.780199,36.620901,青海,Qinghai,630000,,,,,青海省,Qinghai Province,,,,,,亚洲,中国,青海,,,,,,
省,106.258754,38.471317,宁夏,Ningxia,640000,,,,,宁夏回族自治区,Ningxia Province,,,,,,亚洲,中国,宁夏,,,,,,
省,87.627704,43.793026,新疆,Xinjiang,650000,,,,,新疆维吾尔自治区,Xinjiang Province,,,,,,亚洲,中国,新疆,,,,,,
省,113.543028,22.186835,澳门,Macau,820000,,,,,澳门特别行政区,,,,,,,亚洲,中国,澳门,,,,,,
省,114.163825,22.276284,香港,Hong Kong,810000,,,,,香港特别行政区,,,,,,,亚洲,中国,香港,,,,,,
省,121.508903,25.044319,台湾,Taiwan,710000,,,,,台湾省,,,,,,,亚洲,中国,台湾,,,,,,
