dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
28016,7,117.036726,36.665082,解放路街道,,370102,0531,370102001000,,,,,,,,,,2,100,1014,1334,3269,28016,,,
28017,7,117.039982,36.642855,千佛山街道,,370102,0531,370102002000,,,,,,,,,,2,100,1014,1334,3269,28017,,,
28018,7,117.01786,36.659508,趵突泉街道,,370102,0531,370102003000,,,,,,,,,,2,100,1014,1334,3269,28018,,,
28019,7,117.02039,36.666344,泉城路街道,,370102,0531,370102004000,,,,,,,,,,2,100,1014,1334,3269,28019,,,
28020,7,117.03301,36.67052,大明湖街道,,370102,0531,370102005000,,,,,,,,,,2,100,1014,1334,3269,28020,,,
28021,7,117.032904,36.678877,东关街道,,370102,0531,370102006000,,,,,,,,,,2,100,1014,1334,3269,28021,,,
28022,7,117.076455,36.666412,文东街道,,370102,0531,370102007000,,,,,,,,,,2,100,1014,1334,3269,28022,,,
28023,7,117.049764,36.670794,建新街道,,370102,0531,370102008000,,,,,,,,,,2,100,1014,1334,3269,28023,,,
28024,7,117.076455,36.666412,甸柳街道,,370102,0531,370102009000,,,,,,,,,,2,100,1014,1334,3269,28024,,,
28025,7,117.062335,36.659475,燕山街道,,370102,0531,370102010000,,,,,,,,,,2,100,1014,1334,3269,28025,,,
28026,7,117.092981,36.660346,姚家街道,,370102,0531,370102011000,,,,,,,,,,2,100,1014,1334,3269,28026,,,
28027,7,117.10125,36.640531,龙洞街道,,370102,0531,370102012000,,,,,,,,,,2,100,1014,1334,3269,28027,,,
28028,7,117.167811,36.666714,智远街道,,370102,0531,370102013000,,,,,,,,,,2,100,1014,1334,3269,28028,,,
28029,7,116.995013,36.659091,大观园街道,,370103,0531,370103002000,,,,,,,,,,2,100,1014,1334,3270,28029,,,
28030,7,116.989333,36.65149,杆石桥街道,,370103,0531,370103003000,,,,,,,,,,2,100,1014,1334,3270,28030,,,
28031,7,116.997852,36.643434,四里村街道,,370103,0531,370103004000,,,,,,,,,,2,100,1014,1334,3270,28031,,,
28032,7,117.00134,36.664611,魏家庄街道,,370103,0531,370103006000,,,,,,,,,,2,100,1014,1334,3270,28032,,,
28033,7,116.993957,36.634096,二七街道,,370103,0531,370103008000,,,,,,,,,,2,100,1014,1334,3270,28033,,,
28034,7,116.996453,36.62945,七里山街道,,370103,0531,370103009000,,,,,,,,,,2,100,1014,1334,3270,28034,,,
28035,7,117.001639,36.620108,六里山街道,,370103,0531,370103010000,,,,,,,,,,2,100,1014,1334,3270,28035,,,
28036,7,117.017031,36.626402,舜玉路街道,,370103,0531,370103012000,,,,,,,,,,2,100,1014,1334,3270,28036,,,
28037,7,117.013801,36.663215,泺源街道,,370103,0531,370103014000,,,,,,,,,,2,100,1014,1334,3270,28037,,,
28038,7,116.960117,36.628808,王官庄街道,,370103,0531,370103015000,,,,,,,,,,2,100,1014,1334,3270,28038,,,
28039,7,117.03695,36.631077,舜耕街道,,370102,0531,370103016000,,,,,,,,,,2,100,1014,1334,3270,28039,,,
28040,7,116.933417,36.629983,白马山街道,,370103,0531,370103017000,,,,,,,,,,2,100,1014,1334,3270,28040,,,
28041,7,116.958691,36.611669,七贤街道,,370103,0531,370103018000,,,,,,,,,,2,100,1014,1334,3270,28041,,,
28042,7,117.003411,36.601833,十六里河街道,,370103,0531,370103019000,,,,,,,,,,2,100,1014,1334,3270,28042,,,
28043,7,117.036199,36.600192,兴隆街道,,370103,0531,370103020000,,,,,,,,,,2,100,1014,1334,3270,28043,,,
28044,7,116.89872,36.583851,党家街道,,370103,0531,370103021000,,,,,,,,,,2,100,1014,1334,3270,28044,,,
28045,7,116.894804,36.6034,陡沟街道,,370103,0531,370103022000,,,,,,,,,,2,100,1014,1334,3270,28045,,,
28046,7,116.979165,36.65308,振兴街街道,,370104,0531,370104001000,,,,,,,,,,2,100,1014,1334,3271,28046,,,
28047,7,116.96709,36.657483,中大槐树街道,,370104,0531,370104002000,,,,,,,,,,2,100,1014,1334,3271,28047,,,
28048,7,116.970285,36.65513,道德街街道,,370104,0531,370104003000,,,,,,,,,,2,100,1014,1334,3271,28048,,,
28049,7,116.977146,36.660044,西市场街道,,370104,0531,370104004000,,,,,,,,,,2,100,1014,1334,3271,28049,,,
28050,7,116.980183,36.658547,五里沟街道,,370104,0531,370104005000,,,,,,,,,,2,100,1014,1334,3271,28050,,,
28051,7,116.962945,36.652671,营市街街道,,370104,0531,370104006000,,,,,,,,,,2,100,1014,1334,3271,28051,,,
28052,7,116.984438,36.652408,青年公园街道,,370104,0531,370104007000,,,,,,,,,,2,100,1014,1334,3271,28052,,,
28053,7,116.964721,36.646484,南辛庄街道,,370104,0531,370104008000,,,,,,,,,,2,100,1014,1334,3271,28053,,,
28054,7,116.944931,36.654667,段店北路街道,,370104,0531,370104009000,,,,,,,,,,2,100,1014,1334,3271,28054,,,
28055,7,116.932344,36.656156,张庄路街道,,370104,0531,370104010000,,,,,,,,,,2,100,1014,1334,3271,28055,,,
28056,7,116.94816,36.663429,匡山街道,,370104,0531,370104011000,,,,,,,,,,2,100,1014,1334,3271,28056,,,
28057,7,116.931611,36.704756,美里湖街道,,370104,0531,370104012000,,,,,,,,,,2,100,1014,1334,3271,28057,,,
28058,7,116.85065,36.637109,腊山街道,,370104,0531,370104013000,,,,,,,,,,2,100,1014,1334,3271,28058,,,
28059,7,116.8981,36.685039,兴福街道,,370104,0531,370104014000,,,,,,,,,,2,100,1014,1334,3271,28059,,,
28060,7,116.84936,36.6432,玉清湖街道,,370104,0531,370104015000,,,,,,,,,,2,100,1014,1334,3271,28060,,,
28061,7,116.911053,36.69716,吴家堡街道,,370104,0531,370104016000,,,,,,,,,,2,100,1014,1334,3271,28061,,,
28062,7,116.977639,36.684028,无影山街道,,370105,0531,370105001000,,,,,,,,,,2,100,1014,1334,3272,28062,,,
28063,7,116.996672,36.6731,天桥东街街道,,370105,0531,370105003000,,,,,,,,,,2,100,1014,1334,3272,28063,,,
28064,7,116.991844,36.696474,北村街道,,370105,0531,370105004000,,,,,,,,,,2,100,1014,1334,3272,28064,,,
28065,7,116.993922,36.691089,南村街道,,370105,0531,370105005000,,,,,,,,,,2,100,1014,1334,3272,28065,,,
28066,7,116.967533,36.683069,堤口路街道,,370105,0531,370105006000,,,,,,,,,,2,100,1014,1334,3272,28066,,,
28067,7,117.009076,36.675977,北坦街道,,370105,0531,370105007000,,,,,,,,,,2,100,1014,1334,3272,28067,,,
28068,7,117.012783,36.66862,制锦市街道,,370105,0531,370105009000,,,,,,,,,,2,100,1014,1334,3272,28068,,,
28069,7,116.982845,36.67224,宝华街道,,370105,0531,370105010000,,,,,,,,,,2,100,1014,1334,3272,28069,,,
28070,7,116.994748,36.680044,官扎营街道,,370105,0531,370105011000,,,,,,,,,,2,100,1014,1334,3272,28070,,,
28071,7,117.003651,36.675711,纬北路街道,,370105,0531,370105012000,,,,,,,,,,2,100,1014,1334,3272,28071,,,
28072,7,116.965132,36.717102,药山街道,,370105,0531,370105013000,,,,,,,,,,2,100,1014,1334,3272,28072,,,
28073,7,117.038158,36.695754,北园街道,,370105,0531,370105014000,,,,,,,,,,2,100,1014,1334,3272,28073,,,
28074,7,116.983662,36.711827,泺口街道,,370105,0531,370105015000,,,,,,,,,,2,100,1014,1334,3272,28074,,,
28075,7,116.920595,36.780417,桑梓店街道,,370105,0531,370105016000,,,,,,,,,,2,100,1014,1334,3272,28075,,,
28076,7,117.03217,36.782101,大桥街道,,370105,0531,370105017000,,,,,,,,,,2,100,1014,1334,3272,28076,,,
28077,7,117.056191,36.673293,山大路街道,,370112,0531,370112001000,,,,,,,,,,2,100,1014,1334,3273,28077,,,
28078,7,117.057747,36.684804,洪家楼街道,,370112,0531,370112002000,,,,,,,,,,2,100,1014,1334,3273,28078,,,
28079,7,117.081267,36.68821,东风街道,,370112,0531,370112003000,,,,,,,,,,2,100,1014,1334,3273,28079,,,
28080,7,117.057196,36.699141,全福街道,,370112,0531,370112004000,,,,,,,,,,2,100,1014,1334,3273,28080,,,
28081,7,117.049847,36.719632,华山街道,,370112,0531,370112007000,,,,,,,,,,2,100,1014,1334,3273,28081,,,
28082,7,117.116578,36.757273,荷花路街道,,370112,0531,370112008000,,,,,,,,,,2,100,1014,1334,3273,28082,,,
28083,7,117.147097,36.72081,王舍人街道,,370112,0531,370112009000,,,,,,,,,,2,100,1014,1334,3273,28083,,,
28084,7,117.189641,36.716259,鲍山街道,,370112,0531,370112010000,,,,,,,,,,2,100,1014,1334,3273,28084,,,
28085,7,117.231147,36.722992,郭店街道,,370112,0531,370112011000,,,,,,,,,,2,100,1014,1334,3273,28085,,,
28086,7,117.230393,36.68523,唐冶街道,,370112,0531,370112012000,,,,,,,,,,2,100,1014,1334,3273,28086,,,
28087,7,117.205673,36.675278,港沟街道,,370112,0531,370112013000,,,,,,,,,,2,100,1014,1334,3273,28087,,,
28088,7,117.239727,36.747965,董家街道,,370112,0531,370112016000,,,,,,,,,,2,100,1014,1334,3273,28088,,,
28089,7,117.27743,36.644431,彩石街道,,370112,0531,370112017000,,,,,,,,,,2,100,1014,1334,3273,28089,,,
28090,7,117.020103,36.5005,仲宫街道,,370112,0531,370112018000,,,,,,,,,,2,100,1014,1334,3273,28090,,,
