dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
37641,7,108.338104,22.838207,民生街道,,450102,0771,450102001000,,,,,,,,,,2,100,1019,1417,3972,37641,,,
37642,7,108.320158,22.822731,朝阳街道,,450102,0771,450102002000,,,,,,,,,,2,100,1019,1417,3972,37642,,,
37643,7,108.368871,22.854021,兴东街道,,450102,0771,450102003000,,,,,,,,,,2,100,1019,1417,3972,37643,,,
37644,7,108.418471,22.877257,三塘镇,,450102,0771,450102101000,,,,,,,,,,2,100,1019,1417,3972,37644,,,
37645,7,108.548954,22.939549,五塘镇,,450102,0771,450102102000,,,,,,,,,,2,100,1019,1417,3972,37645,,,
37646,7,108.368871,22.854021,昆仑镇,,450102,0771,450102104000,,,,,,,,,,2,100,1019,1417,3972,37646,,,
37647,7,108.352119,22.814255,新竹街道,,450103,0771,450103001000,,,,,,,,,,2,100,1019,1417,3973,37647,,,
37648,7,108.352393,22.79333,中山街道,,450103,0771,450103002000,,,,,,,,,,2,100,1019,1417,3973,37648,,,
37649,7,108.357966,22.833692,建政街道,,450103,0771,450103003000,,,,,,,,,,2,100,1019,1417,3973,37649,,,
37650,7,108.37302,22.82459,南湖街道,,450103,0771,450103004000,,,,,,,,,,2,100,1019,1417,3973,37650,,,
37651,7,108.338628,22.796419,津头街道,,450103,0771,450103005000,,,,,,,,,,2,100,1019,1417,3973,37651,,,
37652,7,108.643667,22.725924,刘圩镇,,450103,0771,450103100000,,,,,,,,,,2,100,1019,1417,3973,37652,,,
37653,7,108.794746,22.76661,南阳镇,,450103,0771,450103101000,,,,,,,,,,2,100,1019,1417,3973,37653,,,
37654,7,108.764251,22.852798,伶俐镇,,450103,0771,450103102000,,,,,,,,,,2,100,1019,1417,3973,37654,,,
37655,7,108.651389,22.828318,长塘镇,,450103,0771,450103103000,,,,,,,,,,2,100,1019,1417,3973,37655,,,
37656,7,108.44864,22.810838,仙葫经济开发区管理委员会,,450103,0771,450103400000,,,,,,,,,,2,100,1019,1417,3973,37656,,,
37657,7,108.365641,22.796502,青秀山管理委员会,,450103,0771,450103451000,,,,,,,,,,2,100,1019,1417,3973,37657,,,
37658,7,108.314803,22.79642,福建园街道,,450105,0771,450105001000,,,,,,,,,,2,100,1019,1417,3974,37658,,,
37659,7,108.277617,22.799986,江南街道,,450105,0771,450105002000,,,,,,,,,,2,100,1019,1417,3974,37659,,,
37660,7,108.247238,22.780873,沙井街道,,450105,0771,450105003000,,,,,,,,,,2,100,1019,1417,3974,37660,,,
37661,7,108.292058,22.777784,那洪街道,,450105,0771,450105004000,,,,,,,,,,2,100,1019,1417,3974,37661,,,
37662,7,108.305598,22.766988,金凯街道,,450105,0771,450105005000,,,,,,,,,,2,100,1019,1417,3974,37662,,,
37663,7,108.224283,22.64638,吴圩镇,,450105,0771,450105102000,,,,,,,,,,2,100,1019,1417,3974,37663,,,
37664,7,108.100099,22.544759,苏圩镇,,450105,0771,450105103000,,,,,,,,,,2,100,1019,1417,3974,37664,,,
37665,7,108.116441,22.443773,延安镇,,450105,0771,450105104000,,,,,,,,,,2,100,1019,1417,3974,37665,,,
37666,7,108.099375,22.774535,江西镇,,450105,0771,450105105000,,,,,,,,,,2,100,1019,1417,3974,37666,,,
37667,7,108.254322,22.770938,经济技术开发区,,450105,0771,450105450000,,,,,,,,,,2,100,1019,1417,3974,37667,,,
37668,7,108.233327,22.577779,明阳工业园区管委会,,450105,0771,450105451000,,,,,,,,,,2,100,1019,1417,3974,37668,,,
37669,7,108.301792,22.849172,衡阳街道,,450107,0771,450107001000,,,,,,,,,,2,100,1019,1417,3975,37669,,,
37670,7,108.31448,22.85768,北湖街道,,450107,0771,450107002000,,,,,,,,,,2,100,1019,1417,3975,37670,,,
37671,7,108.294209,22.831842,西乡塘街道,,450107,0771,450107003000,,,,,,,,,,2,100,1019,1417,3975,37671,,,
37672,7,108.296713,22.883025,安吉街道,,450107,0771,450107004000,,,,,,,,,,2,100,1019,1417,3975,37672,,,
37673,7,108.313011,22.819189,华强街道,,450107,0771,450107005000,,,,,,,,,,2,100,1019,1417,3975,37673,,,
37674,7,108.294145,22.811924,新阳街道,,450107,0771,450107006000,,,,,,,,,,2,100,1019,1417,3975,37674,,,
37675,7,108.252234,22.839339,上尧街道,,450107,0771,450107007000,,,,,,,,,,2,100,1019,1417,3975,37675,,,
37676,7,108.309332,22.878573,安宁街道,,450107,0771,450107008000,,,,,,,,,,2,100,1019,1417,3975,37676,,,
37677,7,108.187207,22.819582,石埠街道,,450107,0771,450107009000,,,,,,,,,,2,100,1019,1417,3975,37677,,,
37678,7,108.264849,22.868014,心圩街道,,450107,0771,450107010000,,,,,,,,,,2,100,1019,1417,3975,37678,,,
37679,7,108.049283,22.919592,金陵镇,,450107,0771,450107100000,,,,,,,,,,2,100,1019,1417,3975,37679,,,
37680,7,108.114631,22.995451,双定镇,,450107,0771,450107101000,,,,,,,,,,2,100,1019,1417,3975,37680,,,
37681,7,107.979936,22.922069,坛洛镇,,450107,0771,450107105000,,,,,,,,,,2,100,1019,1417,3975,37681,,,
37682,7,108.001823,22.996892,那龙矿务局,,450107,0771,450107450000,,,,,,,,,,2,100,1019,1417,3975,37682,,,
37683,7,108.267372,22.841755,高新技术开发区管委会,,450107,0771,450107454000,,,,,,,,,,2,100,1019,1417,3975,37683,,,
37684,7,108.31973,22.7577,大沙田街道,,450108,0771,450108001000,,,,,,,,,,2,100,1019,1417,3976,37684,,,
37685,7,108.334828,22.723236,玉洞街道,,450108,0771,450108002000,,,,,,,,,,2,100,1019,1417,3976,37685,,,
37686,7,108.416972,22.749297,良庆镇,,450108,0771,450108100000,,,,,,,,,,2,100,1019,1417,3976,37686,,,
37687,7,108.387872,22.62713,那马镇,,450108,0771,450108101000,,,,,,,,,,2,100,1019,1417,3976,37687,,,
37688,7,108.279564,22.450291,那陈镇,,450108,0771,450108102000,,,,,,,,,,2,100,1019,1417,3976,37688,,,
37689,7,108.383643,22.383007,大塘镇,,450108,0771,450108103000,,,,,,,,,,2,100,1019,1417,3976,37689,,,
37690,7,108.418485,22.303799,南晓镇,,450108,0771,450108104000,,,,,,,,,,2,100,1019,1417,3976,37690,,,
37691,7,108.332674,22.723765,良庆经济开发区管委会,,450108,0771,450108452000,,,,,,,,,,2,100,1019,1417,3976,37691,,,
37692,7,108.49468,22.748874,蒲庙镇,,450109,0771,450109100000,,,,,,,,,,2,100,1019,1417,3977,37692,,,
