dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
26233,7,115.898544,28.68224,公园街道,,360102,0791,360102001000,,,,,,,,,,2,100,1013,1323,3169,26233,,,
26234,7,115.885624,28.678054,滕王阁街道,,360102,0791,360102002000,,,,,,,,,,2,100,1013,1323,3169,26234,,,
26235,7,115.884441,28.685276,八一桥街道,,360102,0791,360102003000,,,,,,,,,,2,100,1013,1323,3169,26235,,,
26236,7,115.890023,28.681517,百花洲街道,,360102,0791,360102004000,,,,,,,,,,2,100,1013,1323,3169,26236,,,
26237,7,115.89429,28.68618,墩子塘街道,,360102,0791,360102005000,,,,,,,,,,2,100,1013,1323,3169,26237,,,
26238,7,115.912109,28.674382,大院街道,,360102,0791,360102006000,,,,,,,,,,2,100,1013,1323,3169,26238,,,
26239,7,115.894088,28.689362,豫章街道,,360102,0791,360102007000,,,,,,,,,,2,100,1013,1323,3169,26239,,,
26240,7,115.904618,28.691978,董家窑街道,,360102,0791,360102008000,,,,,,,,,,2,100,1013,1323,3169,26240,,,
26241,7,115.918997,28.709835,彭家桥街道,,360102,0791,360102009000,,,,,,,,,,2,100,1013,1323,3169,26241,,,
26242,7,115.856445,28.696548,沙井街道,,360111,0791,360102050000,,,,,,,,,,2,100,1013,1323,3169,26242,,,
26243,7,115.916288,28.722205,扬子洲镇,,360102,0791,360102100000,,,,,,,,,,2,100,1013,1323,3169,26243,,,
26244,7,115.918852,28.689574,贤士湖管理处,,360102,0791,360102400000,,,,,,,,,,2,100,1013,1323,3169,26244,,,
26245,7,115.91804,28.757066,扬农管理处,,360111,0791,360102401000,,,,,,,,,,2,100,1013,1323,3169,26245,,,
26246,7,115.9035,28.674875,凤凰洲管理处,,360102,0791,360102450000,,,,,,,,,,2,100,1013,1323,3169,26246,,,
26247,7,115.89132,28.66747,南浦街道,,360103,0791,360103001000,,,,,,,,,,2,100,1013,1323,3170,26247,,,
26248,7,115.876747,28.661223,朝阳洲街道,,360103,0791,360103002000,,,,,,,,,,2,100,1013,1323,3170,26248,,,
26249,7,115.88648,28.67302,广润门街道,,360103,0791,360103004000,,,,,,,,,,2,100,1013,1323,3170,26249,,,
26250,7,115.895827,28.674729,西湖街道,,360103,0791,360103005000,,,,,,,,,,2,100,1013,1323,3170,26250,,,
26251,7,115.899204,28.670108,系马桩街道,,360103,0791,360103006000,,,,,,,,,,2,100,1013,1323,3170,26251,,,
26252,7,115.899031,28.661596,绳金塔街道,,360103,0791,360103007000,,,,,,,,,,2,100,1013,1323,3170,26252,,,
26253,7,115.910553,28.672007,丁公路街道,,360103,0791,360103009000,,,,,,,,,,2,100,1013,1323,3170,26253,,,
26254,7,115.916414,28.664112,南站街道,,360103,0791,360103010000,,,,,,,,,,2,100,1013,1323,3170,26254,,,
26255,7,115.8874,28.66305,桃源街道,,360103,0791,360103011000,,,,,,,,,,2,100,1013,1323,3170,26255,,,
26256,7,115.90144,28.659711,十字街街道,,360103,0791,360103012000,,,,,,,,,,2,100,1013,1323,3170,26256,,,
26257,7,115.852079,28.621496,朝农街道,,360103,0791,360103013000,,,,,,,,,,2,100,1013,1323,3170,26257,,,
26258,7,115.882626,28.653266,桃花镇,,360103,0791,360103101000,,,,,,,,,,2,100,1013,1323,3170,26258,,,
26259,7,115.923687,28.637727,洪都街道,,360104,0791,360104002000,,,,,,,,,,2,100,1013,1323,3171,26259,,,
26260,7,115.906394,28.645317,京山街道,,360104,0791,360104006000,,,,,,,,,,2,100,1013,1323,3171,26260,,,
26261,7,115.918391,28.618634,三家店街道,,360104,0791,360104007000,,,,,,,,,,2,100,1013,1323,3171,26261,,,
26262,7,115.90666,28.613874,岱山街道,,360104,0791,360104008000,,,,,,,,,,2,100,1013,1323,3171,26262,,,
26263,7,115.913478,28.653413,徐家坊街道,,360104,0791,360104009000,,,,,,,,,,2,100,1013,1323,3171,26263,,,
26264,7,115.941249,28.620263,青云谱镇,,360104,0791,360104100000,,,,,,,,,,2,100,1013,1323,3171,26264,,,
26265,7,115.939401,28.616593,南昌昌南工业园,,360104,0791,360104400000,,,,,,,,,,2,100,1013,1323,3171,26265,,,
26266,7,115.72979,28.712787,站前街道,,360105,0791,360105001000,,,,,,,,,,2,100,1013,1323,3172,26266,,,
26267,7,115.740799,28.702803,幸福街道,,360105,0791,360105002000,,,,,,,,,,2,100,1013,1323,3172,26267,,,
26268,7,115.741279,28.693049,招贤镇,,360105,0791,360105100000,,,,,,,,,,2,100,1013,1323,3172,26268,,,
26269,7,115.754578,28.791686,梅岭镇,,360105,0791,360105101000,,,,,,,,,,2,100,1013,1323,3172,26269,,,
26270,7,115.791483,28.88994,罗亭镇,,360105,0791,360105102000,,,,,,,,,,2,100,1013,1323,3172,26270,,,
26271,7,115.72234,28.808723,太平镇,,360105,0791,360105103000,,,,,,,,,,2,100,1013,1323,3172,26271,,,
26272,7,115.936938,28.718871,青山路街道,,360111,0791,360111001000,,,,,,,,,,2,100,1013,1323,3173,26272,,,
26273,7,115.926129,28.657049,上海路街道,,360111,0791,360111003000,,,,,,,,,,2,100,1013,1323,3173,26273,,,
26274,7,115.990068,28.652421,南钢街道,,360111,0791,360111004000,,,,,,,,,,2,100,1013,1323,3173,26274,,,
26275,7,115.962144,28.682985,站东街道,,360111,0791,360111005000,,,,,,,,,,2,100,1013,1323,3173,26275,,,
26276,7,115.967899,28.683896,京东镇,,360111,0791,360111100000,,,,,,,,,,2,100,1013,1323,3173,26276,,,
26277,7,115.988017,28.625446,罗家镇,,360111,0791,360111103000,,,,,,,,,,2,100,1013,1323,3173,26277,,,
26278,7,115.934001,28.663134,湖坊镇,,360111,0791,360111104000,,,,,,,,,,2,100,1013,1323,3173,26278,,,
26279,7,115.949902,28.709986,塘山镇,,360111,0791,360111105000,,,,,,,,,,2,100,1013,1323,3173,26279,,,
26280,7,115.844917,28.736391,蛟桥镇,,360111,0791,360111180000,,,,,,,,,,2,100,1013,1323,3173,26280,,,
26281,7,115.942797,28.71208,江西青山湖高新技术产业园区,,360111,0791,360111400000,,,,,,,,,,2,100,1013,1323,3173,26281,,,
26282,7,115.851668,28.769404,白水湖管理处,,360111,0791,360111481000,,,,,,,,,,2,100,1013,1323,3173,26282,,,
