dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
10641,7,114.514005,38.051387,建北街道,,130102,0311,130102001000,,,,,,,,,,2,100,1002,1203,2033,10641,,,
10642,7,114.517235,38.044668,青园街道,,130102,0311,130102002000,,,,,,,,,,2,100,1002,1203,2033,10642,,,
10643,7,114.52378,38.049301,广安街道,,130102,0311,130102003000,,,,,,,,,,2,100,1002,1203,2033,10643,,,
10644,7,114.53666,38.05545,育才街道,,130102,0311,130102004000,,,,,,,,,,2,100,1002,1203,2033,10644,,,
10645,7,114.553188,38.051006,跃进街道,,130102,0311,130102005000,,,,,,,,,,2,100,1002,1203,2033,10645,,,
10646,7,114.54454,38.042938,河东街道,,130102,0311,130102007000,,,,,,,,,,2,100,1002,1203,2033,10646,,,
10647,7,114.521684,38.075892,长丰街道,,130102,0311,130102010000,,,,,,,,,,2,100,1002,1203,2033,10647,,,
10648,7,114.574751,38.05032,谈固街道,,130102,0311,130102011000,,,,,,,,,,2,100,1002,1203,2033,10648,,,
10649,7,114.504796,38.04376,中山东路街道,,130102,0311,130102012000,,,,,,,,,,2,100,1002,1203,2033,10649,,,
10650,7,114.501066,38.050718,阜康街道,,130102,0311,130102013000,,,,,,,,,,2,100,1002,1203,2033,10650,,,
10651,7,114.507816,38.052423,建安街道,,130102,0311,130102014000,,,,,,,,,,2,100,1002,1203,2033,10651,,,
10652,7,114.490887,38.037726,胜利北街道,,130104,0311,130102015000,,,,,,,,,,2,100,1002,1203,2033,10652,,,
10653,7,114.603521,38.075327,西兆通镇,,130102,0311,130102100000,,,,,,,,,,2,100,1002,1203,2033,10653,,,
10654,7,114.645657,38.062428,南村镇,,130102,0311,130102101000,,,,,,,,,,2,100,1002,1203,2033,10654,,,
10655,7,114.540413,38.077652,高营镇,,130102,0311,130102102000,,,,,,,,,,2,100,1002,1203,2033,10655,,,
10656,7,114.519723,38.07976,桃园镇,,130102,0311,130102103000,,,,,,,,,,2,100,1002,1203,2033,10656,,,
10657,7,114.470224,38.030352,东里街道,,130104,0311,130104001000,,,,,,,,,,2,100,1002,1203,2034,10657,,,
10658,7,114.481796,38.042896,中山街道,,130104,0311,130104002000,,,,,,,,,,2,100,1002,1203,2034,10658,,,
10659,7,114.480384,38.031907,南长街道,,130104,0311,130104004000,,,,,,,,,,2,100,1002,1203,2034,10659,,,
10660,7,114.470273,38.042337,维明街道,,130104,0311,130104005000,,,,,,,,,,2,100,1002,1203,2034,10660,,,
10661,7,114.449096,38.035364,友谊街道,,130104,0311,130104007000,,,,,,,,,,2,100,1002,1203,2034,10661,,,
10662,7,114.451413,38.002049,红旗街道,,130104,0311,130104008000,,,,,,,,,,2,100,1002,1203,2034,10662,,,
10663,7,114.474828,38.012237,新石街道,,130104,0311,130104009000,,,,,,,,,,2,100,1002,1203,2034,10663,,,
10664,7,114.418365,38.029294,苑东街道,,130104,0311,130104010000,,,,,,,,,,2,100,1002,1203,2034,10664,,,
