dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
44520,7,106.701026,26.551774,后巢乡,,520102,0851,520102200000,,,,,,,,,,2,100,1023,1459,4333,44520,,,
44521,7,106.725975,26.561126,云关乡,,520102,0851,520102201000,,,,,,,,,,2,100,1023,1459,4333,44521,,,
44522,7,106.791194,26.535375,小碧布依族苗族乡,,520102,0851,520102202000,,,,,,,,,,2,100,1023,1459,4333,44522,,,
44523,7,106.874229,26.59799,永乐乡,,520102,0851,520102203000,,,,,,,,,,2,100,1023,1459,4333,44523,,,
44524,7,106.719305,26.565477,新华社区服务中心,,520102,0851,520102400000,,,,,,,,,,2,100,1023,1459,4333,44524,,,
44525,7,106.72328,26.571113,西湖社区服务中心,,520102,0851,520102401000,,,,,,,,,,2,100,1023,1459,4333,44525,,,
44526,7,106.741424,26.574422,水口寺社区服务中心,,520102,0851,520102402000,,,,,,,,,,2,100,1023,1459,4333,44526,,,
44527,7,106.71721,26.577462,大南社区服务中心,,520102,0851,520102403000,,,,,,,,,,2,100,1023,1459,4333,44527,,,
44528,7,106.713691,26.57632,中南社区服务中心,,520102,0851,520102404000,,,,,,,,,,2,100,1023,1459,4333,44528,,,
44529,7,106.706729,26.574585,市府社区服务中心,,520102,0851,520102405000,,,,,,,,,,2,100,1023,1459,4333,44529,,,
44530,7,106.706918,26.571107,河滨社区服务中心,,520102,0851,520102406000,,,,,,,,,,2,100,1023,1459,4333,44530,,,
44531,7,106.691047,26.568677,遵义社区服务中心,,520102,0851,520102407000,,,,,,,,,,2,100,1023,1459,4333,44531,,,
44532,7,106.714036,26.563043,兴关社区服务中心,,520102,0851,520102408000,,,,,,,,,,2,100,1023,1459,4333,44532,,,
44533,7,106.717123,26.5777,沙冲社区服务中心,,520102,0851,520102409000,,,,,,,,,,2,100,1023,1459,4333,44533,,,
44534,7,106.69901,26.538609,沙南社区服务中心,,520102,0851,520102410000,,,,,,,,,,2,100,1023,1459,4333,44534,,,
44535,7,106.688436,26.555025,太慈社区服务中心,,520102,0851,520102411000,,,,,,,,,,2,100,1023,1459,4333,44535,,,
44536,7,106.693057,26.564431,湘雅社区服务中心,,520102,0851,520102412000,,,,,,,,,,2,100,1023,1459,4333,44536,,,
44537,7,106.725658,26.563588,油榨社区服务中心,,520102,0851,520102413000,,,,,,,,,,2,100,1023,1459,4333,44537,,,
44538,7,106.687501,26.548282,中曹司社区服务中心,,520102,0851,520102414000,,,,,,,,,,2,100,1023,1459,4333,44538,,,
44539,7,106.70558,26.54672,二戈寨社区服务中心,,520102,0851,520102415000,,,,,,,,,,2,100,1023,1459,4333,44539,,,
44540,7,106.776116,26.557213,见龙社区服务中心,,520102,0851,520102416000,,,,,,,,,,2,100,1023,1459,4333,44540,,,
44541,7,106.779909,26.550702,龙洞社区服务中心,,520102,0851,520102417000,,,,,,,,,,2,100,1023,1459,4333,44541,,,
44542,7,106.688077,26.56412,花果园社区服务中心,,520102,0851,520102418000,,,,,,,,,,2,100,1023,1459,4333,44542,,,
44543,7,106.67794,26.540524,小车河社区服务中心,,520102,0851,520102419000,,,,,,,,,,2,100,1023,1459,4333,44543,,,
44544,7,106.72841,26.612821,黔灵镇,,520103,0851,520103100000,,,,,,,,,,2,100,1023,1459,4334,44544,,,
44545,7,106.715461,26.580978,中华社区服务中心,,520103,0851,520103400000,,,,,,,,,,2,100,1023,1459,4334,44545,,,
44546,7,106.706345,26.590685,中环社区服务中心,,520103,0851,520103401000,,,,,,,,,,2,100,1023,1459,4334,44546,,,
44547,7,106.716721,26.578787,中东社区服务中心,,520103,0851,520103402000,,,,,,,,,,2,100,1023,1459,4334,44547,,,
