级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,121.471941,31.226107,南京东路街道,,310101,021,310101002000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,,,
镇,121.481432,31.239541,外滩街道,,310101,021,310101013000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,,,
镇,121.487103,31.206786,半淞园路街道,,310101,021,310101015000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,半淞园路街道,,,
镇,121.501063,31.220083,小东门街道,,310101,021,310101017000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,小东门街道,,,
镇,121.486984,31.225396,豫园街道,,310101,021,310101018000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,豫园街道,,,
镇,121.486244,31.215171,老西门街道,,310101,021,310101019000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,老西门街道,,,
镇,121.481785,31.200743,五里桥街道,,310101,021,310101020000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,五里桥街道,,,
镇,121.473506,31.203656,打浦桥街道,,310101,021,310101021000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,打浦桥街道,,,
镇,121.475832,31.214941,淮海中路街道,,310101,021,310101022000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,淮海中路街道,,,
镇,121.466792,31.217426,瑞金二路街道,,310101,021,310101023000,,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,瑞金二路街道,,,
镇,121.438794,31.202978,天平路街道,,310104,021,310104003000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,天平路街道,,,
镇,121.435733,31.208326,湖南路街道,,310105,021,310104004000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,湖南路街道,,,
镇,121.463834,31.200783,斜土路街道,,310104,021,310104007000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,斜土路街道,,,
镇,121.451725,31.185289,枫林路街道,,310104,021,310104008000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,枫林路街道,,,
镇,121.436917,31.131972,长桥街道,,310104,021,310104010000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,长桥街道,,,
镇,121.437866,31.19919,田林街道,,310104,021,310104011000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,田林街道,,,
镇,121.411222,31.164411,虹梅路街道,,310104,021,310104012000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,虹梅路街道,,,
镇,121.422967,31.155922,康健新村街道,,310104,021,310104013000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,康健新村街道,,,
镇,121.445796,31.191316,徐家汇街道,,310104,021,310104014000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,徐家汇街道,,,
镇,121.41434,31.138651,凌云路街道,,310104,021,310104015000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,凌云路街道,,,
镇,121.450579,31.16859,龙华街道,,310104,021,310104016000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,龙华街道,,,
镇,121.429846,31.165667,漕河泾街道,,310104,021,310104017000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,漕河泾街道,,,
镇,121.456202,31.117411,华泾镇,,310104,021,310104103000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,华泾镇,,,
镇,121.403546,31.172395,漕河泾新兴技术开发区,,310104,021,310104501000,,,,,,,,,,亚洲,中国,上海,市辖区,徐汇区,漕河泾新兴技术开发区,,,
镇,121.423952,31.216258,华阳路街道,,310105,021,310105001000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,华阳路街道,,,
镇,121.4287,31.21542,江苏路街道,,310105,021,310105002000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,江苏路街道,,,
镇,121.426252,31.205077,新华路街道,,310105,021,310105004000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,新华路街道,,,
镇,121.407167,31.217515,周家桥街道,,310105,021,310105005000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,周家桥街道,,,
镇,121.407102,31.209169,天山路街道,,310105,021,310105006000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,天山路街道,,,
镇,121.394701,31.203999,仙霞新村街道,,310105,021,310105008000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,仙霞新村街道,,,
镇,121.409094,31.197235,虹桥街道,,310105,021,310105009000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,虹桥街道,,,
镇,121.368599,31.194634,程家桥街道,,310105,021,310105010000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,程家桥街道,,,
镇,121.374725,31.218815,北新泾街道,,310105,021,310105011000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,北新泾街道,,,
镇,121.372833,31.212343,新泾镇,,310105,021,310105102000,,,,,,,,,,亚洲,中国,上海,市辖区,长宁区,新泾镇,,,
镇,121.447983,31.239969,江宁路街道,,310106,021,310106006000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,江宁路街道,,,
镇,121.457488,31.235861,石门二路街道,,310106,021,310106011000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,石门二路街道,,,
镇,121.452359,31.222682,南京西路街道,,310106,021,310106012000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,南京西路街道,,,
镇,121.440874,31.214889,静安寺街道,,310106,021,310106013000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,静安寺街道,,,
镇,121.43979,31.229489,曹家渡街道,,310106,021,310106014000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,曹家渡街道,,,
镇,121.461918,31.24746,天目西路街道,,310106,021,310106015000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,天目西路街道,,,
镇,121.470088,31.240669,北站街道,,310106,021,310106016000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,北站街道,,,
镇,121.468935,31.261748,宝山路街道,,310106,021,310106017000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,宝山路街道,,,
镇,121.46205,31.273409,共和新路街道,,310106,021,310106018000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,共和新路街道,,,
镇,121.457054,31.284897,大宁路街道,,310106,021,310106019000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,大宁路街道,,,
镇,121.445108,31.312904,彭浦新村街道,,310106,021,310106020000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,彭浦新村街道,,,
镇,121.460258,31.310597,临汾路街道,,310106,021,310106021000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,临汾路街道,,,
镇,121.464646,31.257969,芷江西路街道,,310106,021,310106022000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,芷江西路街道,,,
镇,121.440434,31.283079,彭浦镇,,310106,021,310106101000,,,,,,,,,,亚洲,中国,上海,市辖区,静安区,彭浦镇,,,
镇,121.410472,31.242131,曹杨新村街道,,310107,021,310107005000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,曹杨新村街道,,,
镇,121.410727,31.230135,长风新村街道,,310107,021,310107014000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,长风新村街道,,,
镇,121.434372,31.239582,长寿路街道,,310107,021,310107015000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,长寿路街道,,,
镇,121.426557,31.263581,甘泉路街道,,310107,021,310107016000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,甘泉路街道,,,
镇,121.424201,31.255405,石泉路街道,,310107,021,310107017000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,石泉路街道,,,
镇,121.433955,31.255842,宜川路街道,,310107,021,310107020000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,宜川路街道,,,
镇,121.395555,31.24984,万里街道,,310107,021,310107021000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,万里街道,,,
镇,121.401022,31.257058,真如镇街道,,310107,021,310107022000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,真如镇街道,,,
镇,121.37309,31.237805,长征镇,,310107,021,310107102000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,长征镇,,,
镇,121.363403,31.279544,桃浦镇,,310107,021,310107103000,,,,,,,,,,亚洲,中国,上海,市辖区,普陀区,桃浦镇,,,
镇,121.494303,31.269504,欧阳路街道,,310109,021,310109009000,,,,,,,,,,亚洲,中国,上海,市辖区,虹口区,欧阳路街道,,,
镇,121.495978,31.288222,曲阳路街道,,310109,021,310109010000,,,,,,,,,,亚洲,中国,上海,市辖区,虹口区,曲阳路街道,,,
镇,121.47757,31.266911,广中路街道,,310109,021,310109011000,,,,,,,,,,亚洲,中国,上海,市辖区,虹口区,广中路街道,,,
镇,121.50033,31.271455,嘉兴路街道,,310109,021,310109014000,,,,,,,,,,亚洲,中国,上海,市辖区,虹口区,嘉兴路街道,,,
镇,121.470879,31.294624,凉城新村街道,,310109,021,310109016000,,,,,,,,,,亚洲,中国,上海,市辖区,虹口区,凉城新村街道,,,
镇,121.485958,31.263268,四川北路街道,,310109,021,310109017000,,,,,,,,,,亚洲,中国,上海,市辖区,虹口区,四川北路街道,,,
镇,121.503075,31.252426,北外滩街道,,310109,021,310109018000,,,,,,,,,,亚洲,中国,上海,市辖区,虹口区,北外滩街道,,,
镇,121.473216,31.304583,江湾镇街道,,310109,021,310109019000,,,,,,,,,,亚洲,中国,上海,市辖区,虹口区,江湾镇街道,,,
镇,121.55096,31.268424,定海路街道,,310110,021,310110001000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,定海路街道,,,
镇,121.519246,31.261237,平凉路街道,,310110,021,310110006000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,平凉路街道,,,
镇,121.51719,31.266649,江浦路街道,,310110,021,310110008000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,江浦路街道,,,
镇,121.511882,31.276621,四平路街道,,310110,021,310110009000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,四平路街道,,,
镇,121.527793,31.284222,控江路街道,,310110,021,310110012000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,控江路街道,,,
镇,121.543291,31.292837,长白新村街道,,310110,021,310110013000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,长白新村街道,,,
镇,121.536901,31.288689,延吉新村街道,,310110,021,310110015000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,延吉新村街道,,,
镇,121.53826,31.323874,殷行街道,,310110,021,310110016000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,殷行街道,,,
镇,121.52989,31.268056,大桥街道,,310110,021,310110018000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,大桥街道,,,
镇,121.519764,31.305045,五角场街道,,310110,021,310110019000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,五角场街道,,,
镇,121.522236,31.329075,新江湾城街道,,310110,021,310110020000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,新江湾城街道,,,
镇,121.5273,31.310432,长海路街道,,310110,021,310110021000,,,,,,,,,,亚洲,中国,上海,市辖区,杨浦区,长海路街道,,,
镇,121.418021,31.009156,江川路街道,,310112,021,310112001000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,江川路街道,,,
镇,121.404457,31.145004,古美街道,,310112,021,310112006000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,古美街道,,,
镇,121.307899,31.205049,新虹街道,,310112,021,310112008000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,新虹街道,,,
镇,121.499647,31.105496,浦锦街道,,310112,021,310112009000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,浦锦街道,,,
镇,121.370307,31.121161,莘庄镇,,310112,021,310112101000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,莘庄镇,,,
镇,121.351368,31.157657,七宝镇,,310112,021,310112102000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,七宝镇,,,
镇,121.400741,31.066046,颛桥镇,,310112,021,310112103000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,颛桥镇,,,
镇,121.293562,31.207725,华漕镇,,310112,021,310112106000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,华漕镇,,,
镇,121.384604,31.177394,虹桥镇,,310112,021,310112107000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,虹桥镇,,,
镇,121.426119,31.103793,梅陇镇,,310112,021,310112108000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,梅陇镇,,,
镇,121.455367,31.038718,吴泾镇,,310112,021,310112110000,,,,,,,,,,亚洲,中国,上海,市辖区,闵行区,吴泾镇,,,
