级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,102.701292,25.043924,华山街道,,530102,0871,530102001000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,华山街道,,,
镇,102.713495,25.038405,护国街道,,530102,0871,530102002000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,护国街道,,,
镇,102.696104,25.041404,大观街道,,530102,0871,530102003000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,大观街道,,,
镇,102.69521,25.044111,龙翔街道,,530102,0871,530102004000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,龙翔街道,,,
镇,102.684189,25.053529,丰宁街道,,530102,0871,530102005000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,丰宁街道,,,
镇,102.697134,25.069189,莲华街道,,530102,0871,530102006000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,莲华街道,,,
镇,102.73827,25.12006,红云街道,,530102,0871,530102007000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,红云街道,,,
镇,102.65315,25.065376,黑林铺街道,,530102,0871,530102008000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,黑林铺街道,,,
镇,102.67183,25.08909,普吉街道,,530102,0871,530102009000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,普吉街道,,,
镇,102.662914,25.159909,西翥街道,,530102,0871,530102010000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,西翥街道,,,
镇,102.655872,25.074056,昆明国家高新技术产业开发区,,530102,0871,530102401000,,,,,,,,,,亚洲,中国,云南,昆明,五华区,昆明国家高新技术产业开发区,,,
镇,102.723261,25.034109,拓东街道,,530103,0871,530103001000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,拓东街道,,,
镇,102.71966,25.046143,鼓楼街道,,530103,0871,530103002000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,鼓楼街道,,,
镇,102.731666,25.047808,东华街道,,530103,0871,530103003000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,东华街道,,,
镇,102.724982,25.050738,联盟街道,,530103,0871,530103004000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,联盟街道,,,
镇,102.72616,25.07399,金辰街道,,530103,0871,530103005000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,金辰街道,,,
镇,102.752401,25.064876,青云街道,,530103,0871,530103006000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,青云街道,,,
镇,102.743948,25.109203,龙泉街道,,530103,0871,530103007000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,龙泉街道,,,
镇,102.739541,25.1446,茨坝街道,,530103,0871,530103008000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,茨坝街道,,,
镇,102.850534,25.110688,双龙街道,,530103,0871,530103009000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,双龙街道,,,
镇,102.751907,25.116106,松华街道,,530103,0871,530103010000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,松华街道,,,
镇,102.87775,25.293054,滇源街道,,530103,0871,530103011000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,滇源街道,,,
镇,102.777743,25.340095,阿子营街道,,530103,0871,530103012000,,,,,,,,,,亚洲,中国,云南,昆明,盘龙区,阿子营街道,,,
镇,102.741889,25.011739,关上街道,,530111,0871,530111001000,,,,,,,,,,亚洲,中国,云南,昆明,官渡区,关上街道,,,
镇,102.724637,25.025731,太和街道,,530111,0871,530111002000,,,,,,,,,,亚洲,中国,云南,昆明,官渡区,太和街道,,,
镇,102.731932,25.030758,吴井街道,,530111,0871,530111003000,,,,,,,,,,亚洲,中国,云南,昆明,官渡区,吴井街道,,,
镇,102.747563,25.036091,金马街道,,530111,0871,530111004000,,,,,,,,,,亚洲,中国,云南,昆明,官渡区,金马街道,,,
镇,102.774791,24.977125,小板桥街道,,530111,0871,530111005000,,,,,,,,,,亚洲,中国,云南,昆明,官渡区,小板桥街道,,,
镇,102.760597,24.957345,官渡街道,,530111,0871,530111006000,,,,,,,,,,亚洲,中国,云南,昆明,官渡区,官渡街道,,,
