级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,116.407242,39.916108,东华门街道,,110101,010,110101001000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,,,
镇,116.410591,39.92696,景山街道,,110101,010,110101002000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,景山街道,,,
镇,116.40098,39.93576,交道口街道,,110101,010,110101003000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,交道口街道,,,
镇,116.413039,39.944224,安定门街道,,110101,010,110101004000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,,,
镇,116.424356,39.942387,北新桥街道,,110101,010,110101005000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,,,
镇,116.424068,39.930334,东四街道,,110101,010,110101006000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东四街道,,,
镇,116.430464,39.920681,朝阳门街道,,110101,010,110101007000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,朝阳门街道,,,
镇,116.427639,39.914134,建国门街道,,110101,010,110101008000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,建国门街道,,,
镇,116.441822,39.930855,东直门街道,,110101,010,110101009000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东直门街道,,,
镇,116.407978,39.971318,和平里街道,,110101,010,110101010000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,和平里街道,,,
镇,116.407186,39.893921,前门街道,,110101,010,110101011000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,前门街道,,,
镇,116.427412,39.894626,崇文门外街道,,110101,010,110101012000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,崇文门外街道,,,
镇,116.431472,39.899256,东花市街道,,110101,010,110101013000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东花市街道,,,
镇,116.436021,39.882868,龙潭街道,,110101,010,110101014000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,龙潭街道,,,
镇,116.422528,39.886958,体育馆路街道,,110101,010,110101015000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,体育馆路街道,,,
镇,116.399136,39.889329,天坛街道,,110101,010,110101016000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,天坛街道,,,
镇,116.402031,39.865631,永定门外街道,,110101,010,110101017000,,,,,,,,,,亚洲,中国,北京,市辖区,东城区,永定门外街道,,,
镇,116.383585,39.904432,西长安街街道,,110102,010,110102001000,,,,,,,,,,亚洲,中国,北京,市辖区,西城区,西长安街街道,,,
镇,116.366522,39.940353,新街口街道,,110102,010,110102003000,,,,,,,,,,亚洲,中国,北京,市辖区,西城区,新街口街道,,,
镇,116.344706,39.915014,月坛街道,,110102,010,110102007000,,,,,,,,,,亚洲,中国,北京,市辖区,西城区,月坛街道,,,
镇,116.34274,39.93276,展览路街道,,110102,010,110102009000,,,,,,,,,,亚洲,中国,北京,市辖区,西城区,展览路街道,,,
镇,116.381569,39.954271,德胜街道,,110102,010,110102010000,,,,,,,,,,亚洲,中国,北京,市辖区,西城区,德胜街道,,,
镇,116.362952,39.913236,金融街街道,,110102,010,110102011000,,,,,,,,,,亚洲,中国,北京,市辖区,西城区,金融街街道,,,
