级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,104.072329,30.64772,督院街街道,,510104,028,510104020000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,督院街街道,,,
镇,104.069611,30.653686,盐市口街道,,510104,028,510104021000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,盐市口街道,,,
镇,104.078586,30.656295,春熙路街道,,510104,028,510104022000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,春熙路街道,,,
镇,104.087237,30.658906,书院街街道,,510104,028,510104023000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,书院街街道,,,
镇,104.08344,30.644979,合江亭街道,,510104,028,510104024000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,合江亭街道,,,
镇,104.090503,30.641397,水井坊街道,,510104,028,510104025000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,水井坊街道,,,
镇,104.10253,30.643339,牛市口街道,,510104,028,510104026000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,牛市口街道,,,
镇,104.099013,30.626245,龙舟路街道,,510104,028,510104027000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,龙舟路街道,,,
镇,104.102862,30.628828,双桂路街道,,510104,028,510104028000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,双桂路街道,,,
镇,104.097057,30.637715,莲新街道,,510104,028,510104029000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,莲新街道,,,
镇,104.121883,30.621988,沙河街道,,510104,028,510104030000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,沙河街道,,,
镇,104.101844,30.617843,东光街道,,510104,028,510104031000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,东光街道,,,
镇,104.120718,30.620369,狮子山街道,,510104,028,510104032000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,狮子山街道,,,
镇,104.114548,30.611062,成龙路街道,,510104,028,510104035000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,成龙路街道,,,
镇,104.101681,30.588841,柳江街道,,510104,028,510104036000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,柳江街道,,,
镇,104.079427,30.649361,三圣街道,,510104,028,510104037000,,,,,,,,,,亚洲,中国,四川,成都,锦江区,三圣街道,,,
镇,104.071996,30.664123,太升路街道,,510105,028,510105001000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,太升路街道,,,
镇,104.073682,30.676913,草市街街道,,510105,028,510105002000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,草市街街道,,,
镇,104.068489,30.661497,西御河街道,,510105,028,510105003000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,西御河街道,,,
镇,104.055169,30.659714,汪家拐街道,,510105,028,510105004000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,汪家拐街道,,,
镇,104.056883,30.660082,少城街道,,510105,028,510105005000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,少城街道,,,
镇,104.063042,30.673297,新华西路街道,,510105,028,510105006000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,新华西路街道,,,
镇,104.041718,30.657638,草堂街道,,510105,028,510105007000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,草堂街道,,,
镇,104.026949,30.674009,府南街道,,510105,028,510105008000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,府南街道,,,
镇,104.068466,30.653566,光华街道,,510104,028,510105009000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,光华街道,,,
镇,103.990496,30.665043,东坡街道,,510105,028,510105010000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,东坡街道,,,
镇,104.008411,30.680345,金沙街道,,510105,028,510105011000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,金沙街道,,,
镇,103.971824,30.697511,黄田坝街道,,510105,028,510105012000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,黄田坝街道,,,
镇,103.98472,30.669517,苏坡街道,,510105,028,510105013000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,苏坡街道,,,
镇,103.926038,30.695932,文家街道,,510105,028,510105014000,,,,,,,,,,亚洲,中国,四川,成都,青羊区,文家街道,,,
镇,104.034611,30.672558,西安路街道,,510106,028,510106024000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,西安路街道,,,
镇,104.117422,30.763102,西华街道,,510106,028,510106025000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,西华街道,,,
镇,104.070527,30.679886,人民北路街道,,510106,028,510106026000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,人民北路街道,,,
镇,104.076556,30.688897,荷花池街道,,510106,028,510106027000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,荷花池街道,,,
镇,104.087382,30.683714,驷马桥街道,,510106,028,510106030000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,驷马桥街道,,,
镇,104.013274,30.705041,茶店子街道,,510106,028,510106031000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,茶店子街道,,,
镇,104.039311,30.680848,抚琴街道,,510106,028,510106032000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,抚琴街道,,,
镇,104.046629,30.70655,九里堤街道,,510106,028,510106035000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,九里堤街道,,,
镇,104.066462,30.706574,五块石街道,,510106,028,510106036000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,五块石街道,,,
镇,104.016517,30.687875,黄忠街道,,510106,028,510106037000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,黄忠街道,,,
镇,104.041165,30.700924,营门口街道,,510106,028,510106038000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,营门口街道,,,
镇,103.980401,30.70851,金泉街道,,510106,028,510106040000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,金泉街道,,,
镇,104.06974,30.71653,沙河源街道,,510106,028,510106041000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,沙河源街道,,,
镇,104.10222,30.753517,天回镇街道,,510106,028,510106042000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,天回镇街道,,,
镇,104.08056,30.717829,凤凰山街道,,510106,028,510106043000,,,,,,,,,,亚洲,中国,四川,成都,金牛区,凤凰山街道,,,
镇,104.05071,30.635829,浆洗街街道,,510107,028,510107001000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,浆洗街街道,,,
镇,104.083662,30.622972,望江路街道,,510107,028,510107004000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,望江路街道,,,
镇,104.062277,30.62695,玉林街道,,510107,028,510107005000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,玉林街道,,,
镇,104.07189,30.62246,跳伞塔街道,,510107,028,510107006000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,跳伞塔街道,,,
镇,104.075517,30.614871,火车南站街道,,510107,028,510107007000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,火车南站街道,,,
镇,104.028626,30.644133,双楠街道,,510107,028,510107008000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,双楠街道,,,
镇,103.99606,30.650401,晋阳街道,,510107,028,510107009000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,晋阳街道,,,
镇,104.013335,30.639493,红牌楼街道,,510107,028,510107010000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,红牌楼街道,,,
镇,103.997162,30.607302,簇桥街道,,510107,028,510107011000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,簇桥街道,,,
镇,103.982867,30.648559,机投桥街道,,510107,028,510107012000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,机投桥街道,,,
镇,103.969944,30.58546,金花桥街道,,510107,028,510107013000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,金花桥街道,,,
镇,104.002239,30.636179,簇锦街道,,510107,028,510107014000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,簇锦街道,,,
镇,104.019468,30.61728,华兴街道,,510107,028,510107015000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,华兴街道,,,
镇,104.045138,30.620553,芳草街街道,,510107,028,510107061000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,芳草街街道,,,
镇,104.044229,30.629592,肖家河街道,,510107,028,510107062000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,肖家河街道,,,
镇,104.051258,30.597116,石羊街道,,510107,028,510107063000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,石羊街道,,,
镇,104.075253,30.601793,桂溪街道,,510107,028,510107064000,,,,,,,,,,亚洲,中国,四川,成都,武侯区,桂溪街道,,,
镇,104.09757,30.666133,猛追湾街道,,510108,028,510108002000,,,,,,,,,,亚洲,中国,四川,成都,成华区,猛追湾街道,,,
镇,104.109564,30.65106,双桥子街道,,510108,028,510108004000,,,,,,,,,,亚洲,中国,四川,成都,成华区,双桥子街道,,,
镇,104.107213,30.668516,建设路街道,,510108,028,510108005000,,,,,,,,,,亚洲,中国,四川,成都,成华区,建设路街道,,,
镇,104.09741,30.687471,府青路街道,,510108,028,510108006000,,,,,,,,,,亚洲,中国,四川,成都,成华区,府青路街道,,,
镇,104.123004,30.690662,二仙桥街道,,510108,028,510108007000,,,,,,,,,,亚洲,中国,四川,成都,成华区,二仙桥街道,,,
镇,104.119545,30.656379,跳蹬河街道,,510108,028,510108008000,,,,,,,,,,亚洲,中国,四川,成都,成华区,跳蹬河街道,,,
镇,104.087112,30.715208,双水碾街道,,510106,028,510108010000,,,,,,,,,,亚洲,中国,四川,成都,成华区,双水碾街道,,,
镇,104.125261,30.647842,万年场街道,,510108,028,510108011000,,,,,,,,,,亚洲,中国,四川,成都,成华区,万年场街道,,,
镇,104.111343,30.684241,桃蹊路街道,,510108,028,510108012000,,,,,,,,,,亚洲,中国,四川,成都,成华区,桃蹊路街道,,,
镇,104.105343,30.682495,圣灯街道,,510108,028,510108013000,,,,,,,,,,亚洲,中国,四川,成都,成华区,圣灯街道,,,
镇,104.145907,30.657803,保和街道,,510108,028,510108014000,,,,,,,,,,亚洲,中国,四川,成都,成华区,保和街道,,,
镇,104.063659,30.669894,青龙街道,,510105,028,510108015000,,,,,,,,,,亚洲,中国,四川,成都,成华区,青龙街道,,,
镇,104.16452,30.704812,龙潭街道,,510108,028,510108016000,,,,,,,,,,亚洲,中国,四川,成都,成华区,龙潭街道,,,
镇,104.138128,30.725409,白莲池街道,,510108,028,510108017000,,,,,,,,,,亚洲,中国,四川,成都,成华区,白莲池街道,,,
镇,104.247338,30.569315,龙泉街道,,510112,028,510112001000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,龙泉街道,,,
镇,104.174758,30.619417,大面街道,,510112,028,510112002000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,大面街道,,,
镇,104.177918,30.647617,十陵街道,,510112,028,510112003000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,十陵街道,,,
镇,104.274632,30.556507,同安街道,,510112,028,510112004000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,同安街道,,,
镇,104.320649,30.641724,洛带镇,,510112,028,510112102000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,洛带镇,,,
镇,104.232561,30.648539,西河镇,,510112,028,510112104000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,西河镇,,,
镇,104.336254,30.70002,洪安镇,,510112,028,510112108000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,洪安镇,,,
镇,104.258054,30.543179,柏合镇,,510112,028,510112109000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,柏合镇,,,
镇,104.356847,30.513243,茶店镇,,510112,028,510112110000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,茶店镇,,,
镇,104.291278,30.687134,黄土镇,,510112,028,510112111000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,黄土镇,,,
镇,104.31721,30.538902,山泉镇,,510112,028,510112115000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,山泉镇,,,
镇,104.393221,30.646437,万兴乡,,510112,028,510112200000,,,,,,,,,,亚洲,中国,四川,成都,龙泉驿区,万兴乡,,,
镇,104.255753,30.878476,红阳街道,,510113,028,510113001000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,红阳街道,,,
镇,104.255309,30.878037,大弯街道,,510113,028,510113002000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,大弯街道,,,
镇,104.200783,30.880449,弥牟镇,,510113,028,510113102000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,弥牟镇,,,
镇,104.289757,30.863368,大同镇,,510113,028,510113103000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,大同镇,,,
镇,104.321721,30.852457,城厢镇,,510113,028,510113104000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,城厢镇,,,
镇,104.282899,30.821515,祥福镇,,510113,028,510113105000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,祥福镇,,,
镇,104.34472,30.823542,姚渡镇,,510113,028,510113106000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,姚渡镇,,,
镇,104.391432,30.74663,清泉镇,,510113,028,510113108000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,清泉镇,,,
镇,104.280651,30.77407,龙王镇,,510113,028,510113110000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,龙王镇,,,
镇,104.360717,30.721937,福洪镇,,510113,028,510113111000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,福洪镇,,,
镇,104.432505,30.69633,人和乡,,510113,028,510113203000,,,,,,,,,,亚洲,中国,四川,成都,青白江区,人和乡,,,
