级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,106.256801,38.472304,凤凰北街街道,,640104,0951,640104001000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,凤凰北街街道,,,
镇,106.269627,38.478796,解放西街街道,,640104,0951,640104002000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,解放西街街道,,,
镇,106.286858,38.470203,文化街街道,,640104,0951,640104003000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,文化街街道,,,
镇,106.263688,38.466446,富宁街街道,,640104,0951,640104004000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,富宁街街道,,,
镇,106.282222,38.460785,新华街街道,,640104,0951,640104005000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,新华街街道,,,
镇,106.290076,38.476249,玉皇阁北街街道,,640104,0951,640104006000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,玉皇阁北街街道,,,
镇,106.273173,38.464878,前进街街道,,640104,0951,640104007000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,前进街街道,,,
镇,106.285364,38.462518,中山南街街道,,640104,0951,640104008000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,中山南街街道,,,
镇,106.29376,38.45282,银古路街道,,640104,0951,640104009000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,银古路街道,,,
镇,106.282942,38.453095,胜利街街道,,640104,0951,640104010000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,胜利街街道,,,
镇,106.2912,38.489781,丽景街街道,,640104,0951,640104011000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,丽景街街道,,,
镇,106.367285,38.415875,掌政镇,,640104,0951,640104100000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,掌政镇,,,
镇,106.315479,38.443089,大新镇,,640104,0951,640104101000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,大新镇,,,
镇,106.491549,38.495878,通贵乡,,640104,0951,640104200000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,通贵乡,,,
镇,106.570757,38.617776,月牙湖乡,,640104,0951,640104201000,,,,,,,,,,亚洲,中国,宁夏,银川,兴庆区,月牙湖乡,,,
镇,106.161023,38.489971,西花园街道,,640105,0951,640105001000,,,,,,,,,,亚洲,中国,宁夏,银川,西夏区,西花园街道,,,
镇,106.138208,38.487926,北京西路街道,,640105,0951,640105002000,,,,,,,,,,亚洲,中国,宁夏,银川,西夏区,北京西路街道,,,
镇,106.113125,38.488835,文昌路街道,,640105,0951,640105003000,,,,,,,,,,亚洲,中国,宁夏,银川,西夏区,文昌路街道,,,
镇,106.119635,38.49635,朔方路街道,,640105,0951,640105004000,,,,,,,,,,亚洲,中国,宁夏,银川,西夏区,朔方路街道,,,
镇,106.101009,38.481217,宁华路街道,,640105,0951,640105005000,,,,,,,,,,亚洲,中国,宁夏,银川,西夏区,宁华路街道,,,
镇,106.167538,38.501378,贺兰山西路街道,,640105,0951,640105006000,,,,,,,,,,亚洲,中国,宁夏,银川,西夏区,贺兰山西路街道,,,
镇,106.169889,38.49069,怀远路街道,,640105,0951,640105007000,,,,,,,,,,亚洲,中国,宁夏,银川,西夏区,怀远路街道,,,
镇,106.096586,38.383312,兴泾镇,,640105,0951,640105100000,,,,,,,,,,亚洲,中国,宁夏,银川,西夏区,兴泾镇,,,
镇,106.066877,38.627541,镇北堡镇,,640105,0951,640105101000,,,,,,,,,,亚洲,中国,宁夏,银川,西夏区,镇北堡镇,,,
镇,106.18603,38.505471,满城北街街道,,640106,0951,640106001000,,,,,,,,,,亚洲,中国,宁夏,银川,金凤区,满城北街街道,,,
镇,106.18883,38.481372,黄河东路街道,,640106,0951,640106002000,,,,,,,,,,亚洲,中国,宁夏,银川,金凤区,黄河东路街道,,,
镇,106.23107,38.438626,长城中路街道,,640106,0951,640106003000,,,,,,,,,,亚洲,中国,宁夏,银川,金凤区,长城中路街道,,,
镇,106.22943,38.474495,北京中路街道,,640106,0951,640106004000,,,,,,,,,,亚洲,中国,宁夏,银川,金凤区,北京中路街道,,,
镇,106.248584,38.494298,上海西路街道,,640106,0951,640106005000,,,,,,,,,,亚洲,中国,宁夏,银川,金凤区,上海西路街道,,,
镇,106.11409,38.35632,良田镇,,640106,0951,640106100000,,,,,,,,,,亚洲,中国,宁夏,银川,金凤区,良田镇,,,
镇,106.241899,38.548535,丰登镇,,640106,0951,640106101000,,,,,,,,,,亚洲,中国,宁夏,银川,金凤区,丰登镇,,,
镇,106.251742,38.274806,团结西路街道,,640121,0951,640121001000,,,,,,,,,,亚洲,中国,宁夏,银川,永宁县,团结西路街道,,,
镇,106.246996,38.282805,杨和镇,,640121,0951,640121100000,,,,,,,,,,亚洲,中国,宁夏,银川,永宁县,杨和镇,,,
镇,106.122958,38.186492,李俊镇,,640121,0951,640121101000,,,,,,,,,,亚洲,中国,宁夏,银川,永宁县,李俊镇,,,
镇,106.270738,38.384684,望远镇,,640121,0951,640121102000,,,,,,,,,,亚洲,中国,宁夏,银川,永宁县,望远镇,,,
镇,106.233308,38.199399,望洪镇,,640121,0951,640121103000,,,,,,,,,,亚洲,中国,宁夏,银川,永宁县,望洪镇,,,
镇,105.975729,38.245885,闽宁镇,,640121,0951,640121104000,,,,,,,,,,亚洲,中国,宁夏,银川,永宁县,闽宁镇,,,
镇,106.217141,38.311959,胜利乡,,640121,0951,640121200000,,,,,,,,,,亚洲,中国,宁夏,银川,永宁县,胜利乡,,,
镇,106.02719,38.286031,黄羊滩农场,,640121,0951,640121400000,,,,,,,,,,亚洲,中国,宁夏,银川,永宁县,黄羊滩农场,,,
镇,106.019969,38.257075,玉泉营农场,,640121,0951,640121401000,,,,,,,,,,亚洲,中国,宁夏,银川,永宁县,玉泉营农场,,,
