级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,112.575813,37.82032,坞城街道,,140105,0351,140105001000,,,,,,,,,,亚洲,中国,山西,太原,小店区,坞城街道,,,
镇,112.580415,37.826378,营盘街道,,140105,0351,140105002000,,,,,,,,,,亚洲,中国,山西,太原,小店区,营盘街道,,,
镇,112.603408,37.787338,北营街道,,140105,0351,140105003000,,,,,,,,,,亚洲,中国,山西,太原,小店区,北营街道,,,
镇,112.55488,37.81834,平阳路街道,,140105,0351,140105004000,,,,,,,,,,亚洲,中国,山西,太原,小店区,平阳路街道,,,
镇,112.608661,37.780219,黄陵街道,,140105,0351,140105005000,,,,,,,,,,亚洲,中国,山西,太原,小店区,黄陵街道,,,
镇,112.569991,37.729963,小店街道,,140105,0351,140105006000,,,,,,,,,,亚洲,中国,山西,太原,小店区,小店街道,,,
镇,112.564306,37.742941,龙城街道,,140105,0351,140105007000,,,,,,,,,,亚洲,中国,山西,太原,小店区,龙城街道,,,
镇,112.538797,37.637045,北格镇,,140105,0351,140105100000,,,,,,,,,,亚洲,中国,山西,太原,小店区,北格镇,,,
镇,112.626296,37.724746,西温庄乡,,140105,0351,140105200000,,,,,,,,,,亚洲,中国,山西,太原,小店区,西温庄乡,,,
镇,112.481676,37.647415,刘家堡乡,,140105,0351,140105201000,,,,,,,,,,亚洲,中国,山西,太原,小店区,刘家堡乡,,,
镇,112.56578,37.869021,柳巷街道,,140106,0351,140106001000,,,,,,,,,,亚洲,中国,山西,太原,迎泽区,柳巷街道,,,
镇,112.580241,37.863976,文庙街道,,140106,0351,140106002000,,,,,,,,,,亚洲,中国,山西,太原,迎泽区,文庙街道,,,
镇,112.557761,37.8666,庙前街道,,140106,0351,140106003000,,,,,,,,,,亚洲,中国,山西,太原,迎泽区,庙前街道,,,
镇,112.56426,37.8464,迎泽街道,,140106,0351,140106004000,,,,,,,,,,亚洲,中国,山西,太原,迎泽区,迎泽街道,,,
镇,112.578031,37.856938,桥东街道,,140106,0351,140106005000,,,,,,,,,,亚洲,中国,山西,太原,迎泽区,桥东街道,,,
镇,112.547417,37.842364,老军营街道,,140106,0351,140106006000,,,,,,,,,,亚洲,中国,山西,太原,迎泽区,老军营街道,,,
镇,112.598937,37.85465,郝庄镇,,140106,0351,140106100000,,,,,,,,,,亚洲,中国,山西,太原,迎泽区,郝庄镇,,,
镇,112.561622,37.893541,巨轮街道,,140107,0351,140107001000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,巨轮街道,,,
镇,112.558483,37.877212,三桥街道,,140107,0351,140107002000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,三桥街道,,,
镇,112.564444,37.871145,鼓楼街道,,140107,0351,140107003000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,鼓楼街道,,,
镇,112.571032,37.873248,杏花岭街道,,140107,0351,140107004000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,杏花岭街道,,,
镇,112.56968,37.882291,坝陵桥街道,,140107,0351,140107005000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,坝陵桥街道,,,
镇,112.592778,37.875,大东关街道,,140107,0351,140107006000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,大东关街道,,,
镇,112.58842,37.890679,职工新街街道,,140107,0351,140107007000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,职工新街街道,,,
镇,112.578272,37.894383,敦化坊街道,,140107,0351,140107008000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,敦化坊街道,,,
镇,112.569823,37.917135,涧河街道,,140107,0351,140107009000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,涧河街道,,,
镇,112.625503,37.87829,杨家峪街道,,140107,0351,140107010000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,杨家峪街道,,,
镇,112.577653,37.914709,中涧河乡,,140107,0351,140107200000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,中涧河乡,,,
镇,112.615862,37.950085,小返乡,,140107,0351,140107201000,,,,,,,,,,亚洲,中国,山西,太原,杏花岭区,小返乡,,,
镇,112.564624,37.913201,尖草坪街道,,140108,0351,140108001000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,尖草坪街道,,,
镇,112.556887,37.93406,光社街道,,140108,0351,140108002000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,光社街道,,,
镇,112.456282,38.003694,上兰街道,,140108,0351,140108003000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,上兰街道,,,
镇,112.532131,37.956842,南寨街道,,140108,0351,140108004000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,南寨街道,,,
镇,112.539149,37.955975,迎新街道,,140108,0351,140108005000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,迎新街道,,,
镇,112.537697,37.920831,古城街道,,140108,0351,140108006000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,古城街道,,,
镇,112.522721,37.897324,汇丰街道,,140108,0351,140108007000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,汇丰街道,,,
镇,112.489685,37.93815,柴村街道,,140108,0351,140108008000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,柴村街道,,,
镇,112.486691,37.940387,新城街道,,140108,0351,140108009000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,新城街道,,,
镇,112.511396,37.992214,向阳镇,,140108,0351,140108100000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,向阳镇,,,
镇,112.585304,37.98439,阳曲镇,,140108,0351,140108101000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,阳曲镇,,,
镇,112.414671,37.956882,马头水乡,,140108,0351,140108200000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,马头水乡,,,
镇,112.483876,38.024085,柏板乡,,140108,0351,140108201000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,柏板乡,,,
镇,112.532551,38.023182,西墕乡,,140108,0351,140108202000,,,,,,,,,,亚洲,中国,山西,太原,尖草坪区,西墕乡,,,
镇,112.514493,37.862792,千峰街道,,140109,0351,140109001000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,千峰街道,,,
镇,112.507288,37.854701,下元街道,,140109,0351,140109002000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,下元街道,,,
镇,112.496384,37.861571,和平街道,,140109,0351,140109003000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,和平街道,,,
镇,112.523319,37.887371,兴华街道,,140108,0351,140109004000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,兴华街道,,,
镇,112.512232,37.886456,万柏林街道,,140109,0351,140109005000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,万柏林街道,,,
镇,112.410025,37.837474,杜儿坪街道,,140109,0351,140109006000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,杜儿坪街道,,,
镇,112.44071,37.83758,白家庄街道,,140109,0351,140109007000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,白家庄街道,,,
镇,112.458575,37.853977,南寒街道,,140109,0351,140109008000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,南寒街道,,,
镇,112.471125,37.8815,东社街道,,140109,0351,140109009000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,东社街道,,,
镇,112.392447,37.882596,化客头街道,,140109,0351,140109010000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,化客头街道,,,
镇,112.50462,37.851279,小井峪街道,,140109,0351,140109011000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,小井峪街道,,,
镇,112.43947,37.863639,西铭街道,,140109,0351,140109012000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,西铭街道,,,
镇,112.50829,37.821082,长风西街街道,,140109,0351,140109013000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,长风西街街道,,,
镇,112.489998,37.812439,神堂沟街道,,140110,0351,140109014000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,神堂沟街道,,,
镇,112.355503,37.89832,王封乡,,140109,0351,140109200000,,,,,,,,,,亚洲,中国,山西,太原,万柏林区,王封乡,,,
镇,112.516172,37.815618,义井街道,,140109,0351,140110001000,,,,,,,,,,亚洲,中国,山西,太原,晋源区,义井街道,,,
镇,112.485412,37.767954,罗城街道,,140110,0351,140110002000,,,,,,,,,,亚洲,中国,山西,太原,晋源区,罗城街道,,,
镇,112.482218,37.729047,晋源街道,,140110,0351,140110003000,,,,,,,,,,亚洲,中国,山西,太原,晋源区,晋源街道,,,
镇,112.490346,37.783089,金胜镇,,140110,0351,140110100000,,,,,,,,,,亚洲,中国,山西,太原,晋源区,金胜镇,,,
镇,112.442789,37.698777,晋祠镇,,140110,0351,140110101000,,,,,,,,,,亚洲,中国,山西,太原,晋源区,晋祠镇,,,
镇,112.389912,37.650774,姚村镇,,140110,0351,140110102000,,,,,,,,,,亚洲,中国,山西,太原,晋源区,姚村镇,,,
镇,112.370155,37.593832,清源镇,,140121,0351,140121100000,,,,,,,,,,亚洲,中国,山西,太原,清徐县,清源镇,,,
镇,112.506604,37.56402,徐沟镇,,140121,0351,140121101000,,,,,,,,,,亚洲,中国,山西,太原,清徐县,徐沟镇,,,
镇,112.269751,37.600712,东于镇,,140121,0351,140121102000,,,,,,,,,,亚洲,中国,山西,太原,清徐县,东于镇,,,
镇,112.411239,37.494674,孟封镇,,140121,0351,140121103000,,,,,,,,,,亚洲,中国,山西,太原,清徐县,孟封镇,,,
镇,112.309899,37.621736,马峪乡,,140121,0351,140121200000,,,,,,,,,,亚洲,中国,山西,太原,清徐县,马峪乡,,,
镇,112.329065,37.524223,柳杜乡,,140121,0351,140121201000,,,,,,,,,,亚洲,中国,山西,太原,清徐县,柳杜乡,,,
镇,112.409901,37.570825,西谷乡,,140121,0351,140121202000,,,,,,,,,,亚洲,中国,山西,太原,清徐县,西谷乡,,,
镇,112.478977,37.592635,王答乡,,140121,0351,140121203000,,,,,,,,,,亚洲,中国,山西,太原,清徐县,王答乡,,,
镇,112.566528,37.550678,集义乡,,140121,0351,140121204000,,,,,,,,,,亚洲,中国,山西,太原,清徐县,集义乡,,,
