级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,87.598766,43.738733,燕儿窝街道,,650102,0991,650102002000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,燕儿窝街道,,,
镇,87.63186,43.76214,胜利路街道,,650102,0991,650102003000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,胜利路街道,,,
镇,87.619154,43.777882,团结路街道,,650102,0991,650102004000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,团结路街道,,,
镇,87.621068,43.784832,解放南路街道,,650102,0991,650102005000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,解放南路街道,,,
镇,87.609647,43.77919,新华南路街道,,650102,0991,650102006000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,新华南路街道,,,
镇,87.62129,43.780204,和平路街道,,650102,0991,650102007000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,和平路街道,,,
镇,87.619863,43.79267,解放北路街道,,650102,0991,650102008000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,解放北路街道,,,
镇,87.634501,43.790732,幸福路街道,,650102,0991,650102009000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,幸福路街道,,,
镇,87.631914,43.799671,东门街道,,650102,0991,650102010000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,东门街道,,,
镇,87.612001,43.796305,新华北路街道,,650102,0991,650102011000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,新华北路街道,,,
镇,87.618828,43.806892,青年路街道,,650102,0991,650102012000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,青年路街道,,,
镇,87.640707,43.801104,碱泉街道,,650102,0991,650102013000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,碱泉街道,,,
镇,87.63327,43.754424,延安路街道,,650102,0991,650102014000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,延安路街道,,,
镇,87.631676,43.794399,红雁街道,,650102,0991,650102015000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,红雁街道,,,
镇,87.631676,43.794399,南草滩街道,,650102,0991,650102016000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,南草滩街道,,,
镇,87.660927,43.791205,东泉路街道,,650102,0991,650102017000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,东泉路街道,,,
镇,87.618895,43.785066,二道桥片区,,650102,0991,650102400000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,二道桥片区,,,
镇,87.640836,43.778605,黑甲山片区,,650102,0991,650102401000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,黑甲山片区,,,
镇,87.636024,43.753265,大湾片区,,650102,0991,650102402000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,大湾片区,,,
镇,87.620346,43.756203,赛马场片区,,650102,0991,650102403000,,,,,,,,,,亚洲,中国,新疆,乌鲁木齐,天山区,赛马场片区,,,
