级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,118.802657,32.042837,梅园新村街道,,320102,025,320102002000,,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,,,
镇,118.789148,32.053642,新街口街道,,320102,025,320102003000,,,,,,,,,,亚洲,中国,江苏,南京,玄武区,新街口街道,,,
镇,118.787036,32.065113,玄武门街道,,320102,025,320102005000,,,,,,,,,,亚洲,中国,江苏,南京,玄武区,玄武门街道,,,
镇,118.814503,32.071125,锁金村街道,,320102,025,320102007000,,,,,,,,,,亚洲,中国,江苏,南京,玄武区,锁金村街道,,,
镇,118.829417,32.102283,红山街道,,320102,025,320102008000,,,,,,,,,,亚洲,中国,江苏,南京,玄武区,红山街道,,,
镇,118.852873,32.032824,孝陵卫街道,,320102,025,320102009000,,,,,,,,,,亚洲,中国,江苏,南京,玄武区,孝陵卫街道,,,
镇,118.82387,32.072488,玄武湖街道,,320102,025,320102010000,,,,,,,,,,亚洲,中国,江苏,南京,玄武区,玄武湖街道,,,
镇,118.89248,32.080868,徐庄高新技术产业开发区,,320102,025,320102400000,,,,,,,,,,亚洲,中国,江苏,南京,玄武区,徐庄高新技术产业开发区,,,
镇,118.796991,32.008575,秦虹街道,,320104,025,320104001000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,秦虹街道,,,
镇,118.783036,32.014017,夫子庙街道,,320104,025,320104002000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,夫子庙街道,,,
镇,118.813081,32.011082,红花街道,,320104,025,320104003000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,红花街道,,,
镇,118.783204,32.019766,双塘街道,,320104,025,320104004000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,双塘街道,,,
镇,118.782416,32.01317,中华门街道,,320104,025,320104005000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,中华门街道,,,
镇,118.797825,32.035361,五老村街道,,320104,025,320104006000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,五老村街道,,,
镇,118.78856,32.034647,洪武路街道,,320104,025,320104007000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,洪武路街道,,,
镇,118.807558,32.02526,大光路街道,,320104,025,320104008000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,大光路街道,,,
镇,118.813092,32.036953,瑞金路街道,,320104,025,320104009000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,瑞金路街道,,,
镇,118.83175,32.028238,月牙湖街道,,320104,025,320104010000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,月牙湖街道,,,
镇,118.833692,32.011207,光华路街道,,320104,025,320104011000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,光华路街道,,,
镇,118.781251,32.030983,朝天宫街道,,320104,025,320104012000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,朝天宫街道,,,
镇,118.789494,32.020105,夫子庙秦淮风光带,,320104,025,320104400000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,夫子庙秦淮风光带,,,
镇,118.794744,32.039133,高新园区,,320104,025,320104401000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,高新园区,,,
镇,118.794744,32.039133,新城发展服务,,320104,025,320104402000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,新城发展服务,,,
镇,118.788055,32.0415,新街口商务商贸街区,,320104,025,320104403000,,,,,,,,,,亚洲,中国,江苏,南京,秦淮区,新街口商务商贸街区,,,
镇,118.758129,32.04049,莫愁湖街道,,320106,025,320105001000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,莫愁湖街道,,,
镇,118.741812,31.987177,沙洲街道,,320105,025,320105002000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,沙洲街道,,,
镇,118.706895,31.985994,双闸街道,,320105,025,320105003000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,双闸街道,,,
镇,118.683941,31.990502,江心洲街道,,320105,025,320105004000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,江心洲街道,,,
镇,118.725631,32.018717,兴隆街道,,320105,025,320105006000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,兴隆街道,,,
镇,118.736647,32.010935,南苑街道,,320105,025,320105007000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,南苑街道,,,
镇,118.739466,31.992895,建邺区新城科技园,,320105,025,320105400000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,建邺区新城科技园,,,
镇,118.720833,31.989409,建邺区河西中央商务区,,320105,025,320105401000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,建邺区河西中央商务区,,,
镇,118.723023,32.032564,建邺区江东商业文化旅游中心区,,320105,025,320105402000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,建邺区江东商业文化旅游中心区,,,
镇,118.733467,32.00556,中新南京生态科技岛,,320105,025,320105403000,,,,,,,,,,亚洲,中国,江苏,南京,建邺区,中新南京生态科技岛,,,
镇,118.764191,32.0719,宁海路街道,,320106,025,320106001000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,宁海路街道,,,
镇,118.78164,32.044456,华侨路街道,,320106,025,320106002000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,华侨路街道,,,
镇,118.780264,32.06599,湖南路街道,,320106,025,320106003000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,湖南路街道,,,
镇,118.765435,32.080823,中央门街道,,320106,025,320106004000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,中央门街道,,,
镇,118.756075,32.084127,挹江门街道,,320106,025,320106005000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,挹江门街道,,,
镇,118.738015,32.04232,江东街道,,320106,025,320106006000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,江东街道,,,
镇,118.763501,32.041334,凤凰街道,,320106,025,320106007000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,凤凰街道,,,
镇,118.76979,32.066336,下关街道,,320106,025,320106008000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,下关街道,,,
镇,118.739807,32.079591,热河南路街道,,320106,025,320106009000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,热河南路街道,,,
镇,118.77812,32.111641,幕府山街道,,320106,025,320106010000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,幕府山街道,,,
镇,118.759024,32.091265,建宁路街道,,320106,025,320106011000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,建宁路街道,,,
镇,118.759766,32.110855,宝塔桥街道,,320106,025,320106012000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,宝塔桥街道,,,
镇,118.789452,32.09313,小市街道,,320106,025,320106013000,,,,,,,,,,亚洲,中国,江苏,南京,鼓楼区,小市街道,,,
镇,118.718251,32.136512,泰山街道,,320111,025,320111001000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,泰山街道,,,
镇,118.686286,32.102448,顶山街道,,320111,025,320111002000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,顶山街道,,,
镇,118.627895,32.059093,沿江街道,,320111,025,320111003000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,沿江街道,,,
镇,118.637957,32.060935,江浦街道,,320111,025,320111004000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,江浦街道,,,
镇,118.537728,31.946888,桥林街道,,320111,025,320111005000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,桥林街道,,,
镇,118.518167,32.088196,汤泉街道,,320111,025,320111006000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,汤泉街道,,,
镇,118.715869,32.209928,盘城街道,,320111,025,320111007000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,盘城街道,,,
镇,118.449163,32.032273,星甸街道,,320111,025,320111008000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,星甸街道,,,
镇,118.568556,32.129691,永宁街道,,320111,025,320111009000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,永宁街道,,,
镇,118.585718,32.117511,老山林场,,320111,025,320111400000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,老山林场,,,
镇,118.502725,32.099784,汤泉农场,,320111,025,320111401000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,汤泉农场,,,
镇,118.663018,32.124457,珍珠泉旅游度假区,,320111,025,320111402000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,珍珠泉旅游度假区,,,
镇,118.544447,31.957952,浦口经济开发区,,320111,025,320111403000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,浦口经济开发区,,,
镇,118.717282,32.130915,南京浦口高新技术产业开发区,,320111,025,320111404000,,,,,,,,,,亚洲,中国,江苏,南京,浦口区,南京浦口高新技术产业开发区,,,
