级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,113.618688,34.736062,林山寨街道,,410102,0371,410102001000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,林山寨街道,,,
镇,113.612523,34.753785,建设路街道,,410102,0371,410102002000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,建设路街道,,,
镇,113.618535,34.756445,棉纺路街道,,410102,0371,410102003000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,棉纺路街道,,,
镇,113.603734,34.759669,秦岭路街道,,410102,0371,410102004000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,秦岭路街道,,,
镇,113.61556,34.768503,桐柏路街道,,410102,0371,410102005000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,桐柏路街道,,,
镇,113.596544,34.757699,三官庙街道,,410102,0371,410102006000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,三官庙街道,,,
镇,113.611344,34.746519,绿东村街道,,410102,0371,410102007000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,绿东村街道,,,
镇,113.596461,34.728642,汝河路街道,,410102,0371,410102008000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,汝河路街道,,,
镇,113.606693,34.733525,航海西路街道,,410102,0371,410102009000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,航海西路街道,,,
镇,113.602471,34.74803,中原西路街道,,410102,0371,410102010000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,中原西路街道,,,
镇,113.579473,34.766025,西流湖街道,,410102,0371,410102011000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,西流湖街道,,,
镇,113.523381,34.759708,须水街道,,410102,0371,410102012000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,须水街道,,,
镇,113.61285,34.748257,莲湖街道,,410102,0371,410102013000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,莲湖街道,,,
镇,113.61285,34.748257,柳湖街道,,410102,0371,410102014000,,,,,,,,,,亚洲,中国,河南,郑州,中原区,柳湖街道,,,
镇,113.638582,34.73154,淮河路街道,,410103,0371,410103001000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,淮河路街道,,,
镇,113.663639,34.753641,解放路街道,,410103,0371,410103002000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,解放路街道,,,
镇,113.659484,34.754967,铭功路街道,,410103,0371,410103003000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,铭功路街道,,,
镇,113.662483,34.747183,一马路街道,,410103,0371,410103004000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,一马路街道,,,
镇,113.654138,34.747637,蜜蜂张街道,,410103,0371,410103005000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,蜜蜂张街道,,,
镇,113.646882,34.75586,五里堡街道,,410103,0371,410103006000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,五里堡街道,,,
镇,113.646965,34.739418,大学路街道,,410103,0371,410103007000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,大学路街道,,,
镇,113.647221,34.735064,建中街街道,,410103,0371,410103008000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,建中街街道,,,
镇,113.656787,34.730701,福华街街道,,410103,0371,410103009000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,福华街街道,,,
镇,113.665017,34.749885,德化街街道,,410103,0371,410103010000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,德化街街道,,,
镇,113.64003,34.699986,嵩山路街道,,410103,0371,410103011000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,嵩山路街道,,,
镇,113.666948,34.710663,京广路街道,,410103,0371,410103012000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,京广路街道,,,
镇,113.643453,34.714265,长江路街道,,410103,0371,410103013000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,长江路街道,,,
镇,113.648894,34.700389,人和路街道,,410103,0371,410103015000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,人和路街道,,,
镇,113.587386,34.669302,侯寨街道,,410103,0371,410103016000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,侯寨街道,,,
镇,113.532688,34.714876,马寨镇,,410103,0371,410103100000,,,,,,,,,,亚洲,中国,河南,郑州,二七区,马寨镇,,,
