级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,120.158768,30.23765,清波街道,,330102,0571,330102001000,,,,,,,,,,亚洲,中国,浙江,杭州,上城区,清波街道,,,
镇,120.170441,30.255597,湖滨街道,,330102,0571,330102003000,,,,,,,,,,亚洲,中国,浙江,杭州,上城区,湖滨街道,,,
镇,120.176654,30.23965,小营街道,,330102,0571,330102004000,,,,,,,,,,亚洲,中国,浙江,杭州,上城区,小营街道,,,
镇,120.162473,30.207356,南星街道,,330102,0571,330102008000,,,,,,,,,,亚洲,中国,浙江,杭州,上城区,南星街道,,,
镇,120.176449,30.219172,紫阳街道,,330102,0571,330102009000,,,,,,,,,,亚洲,中国,浙江,杭州,上城区,紫阳街道,,,
镇,120.198455,30.235373,望江街道,,330102,0571,330102010000,,,,,,,,,,亚洲,中国,浙江,杭州,上城区,望江街道,,,
镇,120.173981,30.260506,长庆街道,,330103,0571,330103001000,,,,,,,,,,亚洲,中国,浙江,杭州,下城区,长庆街道,,,
镇,120.167789,30.262603,武林街道,,330103,0571,330103002000,,,,,,,,,,亚洲,中国,浙江,杭州,下城区,武林街道,,,
镇,120.162429,30.267276,天水街道,,330103,0571,330103003000,,,,,,,,,,亚洲,中国,浙江,杭州,下城区,天水街道,,,
镇,120.181551,30.260662,潮鸣街道,,330103,0571,330103005000,,,,,,,,,,亚洲,中国,浙江,杭州,下城区,潮鸣街道,,,
镇,120.159817,30.290087,朝晖街道,,330103,0571,330103006000,,,,,,,,,,亚洲,中国,浙江,杭州,下城区,朝晖街道,,,
镇,120.178881,30.278254,文晖街道,,330103,0571,330103007000,,,,,,,,,,亚洲,中国,浙江,杭州,下城区,文晖街道,,,
镇,120.171575,30.31085,东新街道,,330103,0571,330103008000,,,,,,,,,,亚洲,中国,浙江,杭州,下城区,东新街道,,,
