级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,114.290612,30.585108,大智街道,,420102,027,420102002000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,大智街道,,,
镇,114.300956,30.589141,一元街道,,420102,027,420102003000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,一元街道,,,
镇,114.27876,30.592688,车站街道,,420102,027,420102004000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,车站街道,,,
镇,114.306405,30.600229,四唯街道,,420102,027,420102005000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,四唯街道,,,
镇,114.310077,30.606333,永清街道,,420102,027,420102006000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,永清街道,,,
镇,114.290042,30.593255,西马街道,,420102,027,420102007000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,西马街道,,,
镇,114.294127,30.592845,球场街道,,420102,027,420102008000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,球场街道,,,
镇,114.298676,30.601885,劳动街道,,420102,027,420102009000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,劳动街道,,,
镇,114.318675,30.625385,二七街道,,420102,027,420102010000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,二七街道,,,
镇,114.31969,30.628558,新村街道,,420102,027,420102011000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,新村街道,,,
镇,114.332852,30.643665,丹水池街道,,420102,027,420102012000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,丹水池街道,,,
镇,114.280027,30.597131,台北街道,,420102,027,420102014000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,台北街道,,,
镇,114.283656,30.608761,花桥街道,,420103,027,420102015000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,花桥街道,,,
镇,114.367693,30.671868,谌家矶街道,,420102,027,420102016000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,谌家矶街道,,,
镇,114.287785,30.638197,后湖街道,,420102,027,420102017000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,后湖街道,,,
镇,114.28767,30.638251,塔子湖街道,,420102,027,420102018000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,塔子湖街道,,,
镇,114.320556,30.647592,百步亭花园,,420102,027,420102400000,,,,,,,,,,亚洲,中国,湖北,武汉,江岸区,百步亭花园,,,
镇,114.28492,30.568408,民族街街道,,420103,027,420103001000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,民族街街道,,,
镇,114.29411,30.57853,花楼街街道,,420103,027,420103002000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,花楼街街道,,,
镇,114.284717,30.582807,水塔街街道,,420103,027,420103003000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,水塔街街道,,,
镇,114.291003,30.574808,民权街街道,,420103,027,420103004000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,民权街街道,,,
镇,114.283247,30.573396,满春街街道,,420103,027,420103005000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,满春街街道,,,
镇,114.2805,30.5794,民意街街道,,420103,027,420103006000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,民意街街道,,,
镇,114.2757,30.581702,新华街街道,,420103,027,420103007000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,新华街街道,,,
镇,114.267497,30.582327,万松街街道,,420103,027,420103008000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,万松街街道,,,
镇,114.271487,30.616642,唐家墩街街道,,420103,027,420103009000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,唐家墩街街道,,,
镇,114.27375,30.605259,北湖街街道,,420103,027,420103010000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,北湖街街道,,,
镇,114.284531,30.5767,前进街街道,,420103,027,420103011000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,前进街街道,,,
镇,114.244943,30.603809,常青街街道,,420103,027,420103012000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,常青街街道,,,
镇,114.261636,30.623883,汉兴街街道,,420103,027,420103013000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,汉兴街街道,,,
镇,114.270871,30.60143,江汉经济开发区,,420103,027,420103400000,,,,,,,,,,亚洲,中国,湖北,武汉,江汉区,江汉经济开发区,,,
