级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,103.833485,36.049783,酒泉路街道,,620102,0931,620102001000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,酒泉路街道,,,
镇,103.82213,36.061549,张掖路街道,,620102,0931,620102002000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,张掖路街道,,,
镇,103.878983,36.060588,雁南街道,,620102,0931,620102003000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,雁南街道,,,
镇,103.814097,36.059028,临夏路街道,,620102,0931,620102004000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,临夏路街道,,,
镇,103.878983,36.060588,雁北街道,,620102,0931,620102005000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,雁北街道,,,
镇,103.825474,36.041423,五泉街道,,620102,0931,620102006000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,五泉街道,,,
镇,103.822632,36.051842,白银路街道,,620102,0931,620102007000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,白银路街道,,,
镇,103.840579,36.046954,皋兰路街道,,620102,0931,620102008000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,皋兰路街道,,,
镇,103.845155,36.055164,广武门街道,,620102,0931,620102009000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,广武门街道,,,
镇,103.810572,36.05074,伏龙坪街道,,620102,0931,620102010000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,伏龙坪街道,,,
镇,103.816079,36.079479,靖远路街道,,620102,0931,620102011000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,靖远路街道,,,
镇,103.834325,36.070469,草场街街道,,620102,0931,620102012000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,草场街街道,,,
镇,103.853471,36.036038,火车站街道,,620102,0931,620102013000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,火车站街道,,,
镇,103.906131,36.039172,拱星墩街道,,620102,0931,620102014000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,拱星墩街道,,,
镇,103.92392,36.04474,东岗街道,,620102,0931,620102015000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,东岗街道,,,
镇,103.867456,36.038166,团结新村街道,,620102,0931,620102016000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,团结新村街道,,,
镇,103.850767,36.047451,东岗西路街道,,620102,0931,620102017000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,东岗西路街道,,,
镇,103.841998,36.036504,铁路东村街道,,620102,0931,620102018000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,铁路东村街道,,,
镇,103.841022,36.033804,铁路西村街道,,620102,0931,620102019000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,铁路西村街道,,,
镇,103.866565,36.055482,渭源路街道,,620102,0931,620102020000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,渭源路街道,,,
镇,103.83876,36.07026,盐场路街道,,620102,0931,620102021000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,盐场路街道,,,
镇,103.880551,36.039255,嘉峪关路街道,,620102,0931,620102022000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,嘉峪关路街道,,,
镇,103.89717,36.037997,焦家湾街道,,620102,0931,620102023000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,焦家湾街道,,,
镇,103.905528,36.071148,青白石街道,,620102,0931,620102024000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,青白石街道,,,
镇,103.825255,36.057054,雁园街道,,620102,0931,620102025000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,雁园街道,,,
镇,103.825255,36.057054,高新区,,620102,0931,620102400000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,高新区,,,
镇,103.88887,36.052374,甘肃农垦集团,,620102,0931,620102402000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,甘肃农垦集团,,,
镇,103.825255,36.057054,甘肃监狱企业集团公司,,620102,0931,620102403000,,,,,,,,,,亚洲,中国,甘肃,兰州,城关区,甘肃监狱企业集团公司,,,
镇,103.801153,36.055701,西园街道,,620103,0931,620103001000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,西园街道,,,
镇,103.785866,36.065915,西湖街道,,620103,0931,620103002000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,西湖街道,,,
镇,103.774693,36.075028,建兰路街道,,620103,0931,620103003000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,建兰路街道,,,
镇,103.746958,36.079324,敦煌路街道,,620103,0931,620103004000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,敦煌路街道,,,
镇,103.768929,36.068715,西站街道,,620103,0931,620103005000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,西站街道,,,
镇,103.76585,36.052373,晏家坪街道,,620103,0931,620103006000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,晏家坪街道,,,
镇,103.744991,36.055432,龚家湾街道,,620103,0931,620103007000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,龚家湾街道,,,
镇,103.737237,36.074469,土门墩街道,,620103,0931,620103008000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,土门墩街道,,,
镇,103.682582,36.095463,秀川街道,,620103,0931,620103009000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,秀川街道,,,
镇,103.846409,35.904081,阿干镇,,620103,0931,620103100000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,阿干镇,,,
镇,103.83517,35.99184,八里镇,,620103,0931,620103101000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,八里镇,,,
镇,103.72665,36.051178,彭家坪镇,,620103,0931,620103102000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,彭家坪镇,,,
镇,103.77573,35.982988,西果园镇,,620103,0931,620103103000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,西果园镇,,,
镇,103.714806,36.014612,黄峪镇,,620103,0931,620103104000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,黄峪镇,,,
镇,103.835605,35.951294,魏岭乡,,620103,0931,620103201000,,,,,,,,,,亚洲,中国,甘肃,兰州,七里河区,魏岭乡,,,
镇,103.655799,36.090707,陈坪街道,,620104,0931,620104001000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,陈坪街道,,,
镇,103.636893,36.089496,先锋路街道,,620104,0931,620104002000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,先锋路街道,,,
镇,103.623355,36.095875,福利路街道,,620104,0931,620104003000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,福利路街道,,,
镇,103.619367,36.101008,西固城街道,,620104,0931,620104004000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,西固城街道,,,
镇,103.621091,36.10274,四季青街道,,620104,0931,620104005000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,四季青街道,,,
镇,103.605454,36.101815,临洮街街道,,620104,0931,620104006000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,临洮街街道,,,
镇,103.610839,36.109943,西柳沟街道,,620104,0931,620104007000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,西柳沟街道,,,
镇,103.46313,36.16738,新城镇,,620104,0931,620104100000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,新城镇,,,
镇,103.501691,36.151691,东川镇,,620104,0931,620104101000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,东川镇,,,
镇,103.627964,36.088431,河口镇,,620104,0931,620104102000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,河口镇,,,
镇,103.358812,36.129725,达川镇,,620104,0931,620104103000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,达川镇,,,
镇,103.58291,36.099699,柳泉镇,,620104,0931,620104104000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,柳泉镇,,,
镇,103.671791,36.033536,金沟乡,,620104,0931,620104204000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,金沟乡,,,
镇,103.498386,36.14688,新安路街道,,620104,0931,620104400000,,,,,,,,,,亚洲,中国,甘肃,兰州,西固区,新安路街道,,,
镇,103.748069,36.098211,培黎街道,,620105,0931,620105001000,,,,,,,,,,亚洲,中国,甘肃,兰州,安宁区,培黎街道,,,
镇,103.713856,36.105561,西路街道,,620105,0931,620105002000,,,,,,,,,,亚洲,中国,甘肃,兰州,安宁区,西路街道,,,
镇,103.625195,36.148558,沙井驿街道,,620105,0931,620105003000,,,,,,,,,,亚洲,中国,甘肃,兰州,安宁区,沙井驿街道,,,
镇,103.752237,36.093086,十里店街道,,620105,0931,620105004000,,,,,,,,,,亚洲,中国,甘肃,兰州,安宁区,十里店街道,,,
镇,103.722944,36.098772,孔家崖街道,,620105,0931,620105005000,,,,,,,,,,亚洲,中国,甘肃,兰州,安宁区,孔家崖街道,,,
镇,103.705663,36.104686,银滩路街道,,620105,0931,620105006000,,,,,,,,,,亚洲,中国,甘肃,兰州,安宁区,银滩路街道,,,
镇,103.695271,36.107437,刘家堡街道,,620105,0931,620105007000,,,,,,,,,,亚洲,中国,甘肃,兰州,安宁区,刘家堡街道,,,
镇,103.681946,36.127095,安宁堡街道,,620105,0931,620105008000,,,,,,,,,,亚洲,中国,甘肃,兰州,安宁区,安宁堡街道,,,
镇,102.872717,36.432512,窑街街道,,620111,0931,620111001000,,,,,,,,,,亚洲,中国,甘肃,兰州,红古区,窑街街道,,,
镇,102.864661,36.4175,下窑街道,,620111,0931,620111002000,,,,,,,,,,亚洲,中国,甘肃,兰州,红古区,下窑街道,,,
镇,102.859323,36.345669,矿区街道,,620111,0931,620111003000,,,,,,,,,,亚洲,中国,甘肃,兰州,红古区,矿区街道,,,
镇,102.859323,36.345669,华龙街道,,620111,0931,620111004000,,,,,,,,,,亚洲,中国,甘肃,兰州,红古区,华龙街道,,,
镇,102.852925,36.345473,海石湾镇,,620111,0931,620111101000,,,,,,,,,,亚洲,中国,甘肃,兰州,红古区,海石湾镇,,,
镇,103.085757,36.230076,花庄镇,,620111,0931,620111102000,,,,,,,,,,亚洲,中国,甘肃,兰州,红古区,花庄镇,,,
镇,103.288423,36.167248,平安镇,,620111,0931,620111103000,,,,,,,,,,亚洲,中国,甘肃,兰州,红古区,平安镇,,,
镇,102.859323,36.345669,红古镇,,620111,0931,620111104000,,,,,,,,,,亚洲,中国,甘肃,兰州,红古区,红古镇,,,
镇,103.262152,36.733165,城关镇,,620121,0931,620121100000,,,,,,,,,,亚洲,中国,甘肃,兰州,永登县,城关镇,,,
镇,103.392421,36.459013,红城镇,,620121,0931,620121101000,,,,,,,,,,亚洲,中国,甘肃,兰州,永登县,红城镇,,,
镇,103.225699,36.789847,中堡镇,,620121,0931,620121102000,,,,,,,,,,亚洲,中国,甘肃,兰州,永登县,中堡镇,,,
镇,103.171588,36.882387,武胜驿镇,,620121,0931,620121103000,,,,,,,,,,亚洲,中国,甘肃,兰州,永登县,武胜驿镇,,,
