级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,119.302578,26.089597,鼓东街道,,350102,0591,350102001000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,鼓东街道,,,
镇,119.289136,26.085899,鼓西街道,,350102,0591,350102002000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,鼓西街道,,,
镇,119.308386,26.095382,温泉街道,,350102,0591,350102003000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,温泉街道,,,
镇,119.302763,26.083913,东街街道,,350102,0591,350102004000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,东街街道,,,
镇,119.296597,26.078831,南街街道,,350102,0591,350102005000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,南街街道,,,
镇,119.298456,26.072092,安泰街道,,350102,0591,350102006000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,安泰街道,,,
镇,119.292639,26.097593,华大街道,,350102,0591,350102007000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,华大街道,,,
镇,119.313445,26.071334,水部街道,,350103,0591,350102008000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,水部街道,,,
镇,119.283674,26.100737,五凤街道,,350102,0591,350102009000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,五凤街道,,,
镇,119.275646,26.065235,洪山镇,,350102,0591,350102100000,,,,,,,,,,亚洲,中国,福建,福州,鼓楼区,洪山镇,,,
镇,119.320358,26.055578,瀛洲街道,,350103,0591,350103001000,,,,,,,,,,亚洲,中国,福建,福州,台江区,瀛洲街道,,,
镇,119.310446,26.055495,后洲街道,,350103,0591,350103002000,,,,,,,,,,亚洲,中国,福建,福州,台江区,后洲街道,,,
镇,119.297004,26.052131,义洲街道,,350103,0591,350103003000,,,,,,,,,,亚洲,中国,福建,福州,台江区,义洲街道,,,
镇,119.317117,26.058879,新港街道,,350103,0591,350103004000,,,,,,,,,,亚洲,中国,福建,福州,台江区,新港街道,,,
镇,119.30189,26.063381,上海街道,,350103,0591,350103005000,,,,,,,,,,亚洲,中国,福建,福州,台江区,上海街道,,,
镇,119.296766,26.048705,苍霞街道,,350103,0591,350103007000,,,,,,,,,,亚洲,中国,福建,福州,台江区,苍霞街道,,,
镇,119.307418,26.063895,茶亭街道,,350103,0591,350103009000,,,,,,,,,,亚洲,中国,福建,福州,台江区,茶亭街道,,,
镇,119.305075,26.05815,洋中街道,,350103,0591,350103010000,,,,,,,,,,亚洲,中国,福建,福州,台江区,洋中街道,,,
镇,119.355682,26.057229,鳌峰街道,,350103,0591,350103011000,,,,,,,,,,亚洲,中国,福建,福州,台江区,鳌峰街道,,,
镇,119.289994,26.060477,宁化街道,,350103,0591,350103012000,,,,,,,,,,亚洲,中国,福建,福州,台江区,宁化街道,,,
镇,119.317394,26.040467,仓前街道,,350104,0591,350104001000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,仓前街道,,,
镇,119.326554,26.026329,东升街道,,350104,0591,350104002000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,东升街道,,,
镇,119.312301,26.03902,对湖街道,,350104,0591,350104003000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,对湖街道,,,
镇,119.323859,26.045676,临江街道,,350104,0591,350104004000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,临江街道,,,
镇,119.330306,26.03473,三叉街街道,,350104,0591,350104005000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,三叉街街道,,,
镇,119.296766,26.034031,上渡街道,,350104,0591,350104006000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,上渡街道,,,
镇,119.323879,26.043907,下渡街道,,350104,0591,350104007000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,下渡街道,,,
镇,119.25463,26.03903,金山街道,,350104,0591,350104008000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,金山街道,,,
镇,119.314908,26.033894,仓山镇,,350104,0591,350104100000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,仓山镇,,,
镇,119.368971,25.991991,城门镇,,350104,0591,350104101000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,城门镇,,,
镇,119.334132,26.025576,盖山镇,,350104,0591,350104102000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,盖山镇,,,
镇,119.237983,26.067083,建新镇,,350104,0591,350104103000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,建新镇,,,
镇,119.349358,25.981892,螺洲镇,,350104,0591,350104104000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,螺洲镇,,,
镇,119.294804,26.003751,红星农场,,350104,0591,350104400000,,,,,,,,,,亚洲,中国,福建,福州,仓山区,红星农场,,,
镇,119.448989,25.982311,罗星街道,,350105,0591,350105001000,,,,,,,,,,亚洲,中国,福建,福州,马尾区,罗星街道,,,
镇,119.428164,26.020579,马尾镇,,350105,0591,350105100000,,,,,,,,,,亚洲,中国,福建,福州,马尾区,马尾镇,,,
镇,119.516337,26.073567,亭江镇,,350105,0591,350105101000,,,,,,,,,,亚洲,中国,福建,福州,马尾区,亭江镇,,,
镇,119.58389,26.085321,琅岐镇,,350105,0591,350105102000,,,,,,,,,,亚洲,中国,福建,福州,马尾区,琅岐镇,,,
镇,119.318191,26.107355,茶园街道,,350111,0591,350111001000,,,,,,,,,,亚洲,中国,福建,福州,晋安区,茶园街道,,,
镇,119.323864,26.071895,王庄街道,,350111,0591,350111002000,,,,,,,,,,亚洲,中国,福建,福州,晋安区,王庄街道,,,
镇,119.328165,26.06653,象园街道,,350111,0591,350111003000,,,,,,,,,,亚洲,中国,福建,福州,晋安区,象园街道,,,
镇,119.353021,26.072075,鼓山镇,,350111,0591,350111100000,,,,,,,,,,亚洲,中国,福建,福州,晋安区,鼓山镇,,,
镇,119.311891,26.127483,新店镇,,350111,0591,350111101000,,,,,,,,,,亚洲,中国,福建,福州,晋安区,新店镇,,,
镇,119.32817,26.066532,岳峰镇,,350111,0591,350111102000,,,,,,,,,,亚洲,中国,福建,福州,晋安区,岳峰镇,,,
镇,119.357478,26.173258,宦溪镇,,350111,0591,350111103000,,,,,,,,,,亚洲,中国,福建,福州,晋安区,宦溪镇,,,
镇,119.278118,26.184549,寿山乡,,350111,0591,350111201000,,,,,,,,,,亚洲,中国,福建,福州,晋安区,寿山乡,,,
镇,119.328515,26.082105,日溪乡,,350111,0591,350111202000,,,,,,,,,,亚洲,中国,福建,福州,晋安区,日溪乡,,,
镇,119.5275,25.955188,吴航街道,,350182,0591,350112001000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,吴航街道,,,
镇,119.500075,25.96848,航城街道,,350182,0591,350112002000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,航城街道,,,
镇,119.469114,25.961238,营前街道,,350182,0591,350112003000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,营前街道,,,
镇,119.629071,25.919153,漳港街道,,350182,0591,350112004000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,漳港街道,,,
镇,119.487862,25.935314,首占镇,,350182,0591,350112102000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,首占镇,,,
镇,119.457836,25.874772,玉田镇,,350182,0591,350112103000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,玉田镇,,,
镇,119.60007,25.758226,松下镇,,350182,0591,350112104000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,松下镇,,,
镇,119.583384,25.822882,江田镇,,350182,0591,350112105000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,江田镇,,,
镇,119.523266,25.962888,古槐镇,,350182,0591,350112106000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,古槐镇,,,
镇,119.581368,25.894551,文武砂镇,,350182,0591,350112107000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,文武砂镇,,,
镇,119.54918,25.94637,鹤上镇,,350182,0591,350112108000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,鹤上镇,,,
镇,119.659006,25.933961,湖南镇,,350182,0591,350112110000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,湖南镇,,,
镇,119.630586,25.977287,金峰镇,,350182,0591,350112111000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,金峰镇,,,
镇,119.655701,25.993839,文岭镇,,350182,0591,350112112000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,文岭镇,,,
镇,119.678324,26.011234,梅花镇,,350182,0591,350112113000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,梅花镇,,,
镇,119.602109,26.022703,潭头镇,,350182,0591,350112114000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,潭头镇,,,
镇,119.47497,25.853159,罗联乡,,350182,0591,350112200000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,罗联乡,,,
镇,119.543143,26.052173,猴屿乡,,350182,0591,350112201000,,,,,,,,,,亚洲,中国,福建,福州,长乐区,猴屿乡,,,
镇,119.142331,26.147217,甘蔗街道,,350121,0591,350121001000,,,,,,,,,,亚洲,中国,福建,福州,闽侯县,甘蔗街道,,,
镇,119.073212,26.206519,白沙镇,,350121,0591,350121101000,,,,,,,,,,亚洲,中国,福建,福州,闽侯县,白沙镇,,,
镇,119.223707,25.975809,南屿镇,,350121,0591,350121102000,,,,,,,,,,亚洲,中国,福建,福州,闽侯县,南屿镇,,,
镇,119.373427,25.918786,尚干镇,,350121,0591,350121103000,,,,,,,,,,亚洲,中国,福建,福州,闽侯县,尚干镇,,,
镇,119.387101,25.930161,祥谦镇,,350121,0591,350121104000,,,,,,,,,,亚洲,中国,福建,福州,闽侯县,祥谦镇,,,
镇,119.378959,25.89497,青口镇,,350121,0591,350121105000,,,,,,,,,,亚洲,中国,福建,福州,闽侯县,青口镇,,,
