级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,106.701026,26.551774,后巢乡,,520102,0851,520102200000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,后巢乡,,,
镇,106.725975,26.561126,云关乡,,520102,0851,520102201000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,云关乡,,,
镇,106.791194,26.535375,小碧布依族苗族乡,,520102,0851,520102202000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,小碧布依族苗族乡,,,
镇,106.874229,26.59799,永乐乡,,520102,0851,520102203000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,永乐乡,,,
镇,106.719305,26.565477,新华社区服务中心,,520102,0851,520102400000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,新华社区服务中心,,,
镇,106.72328,26.571113,西湖社区服务中心,,520102,0851,520102401000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,西湖社区服务中心,,,
镇,106.741424,26.574422,水口寺社区服务中心,,520102,0851,520102402000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,水口寺社区服务中心,,,
镇,106.71721,26.577462,大南社区服务中心,,520102,0851,520102403000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,大南社区服务中心,,,
镇,106.713691,26.57632,中南社区服务中心,,520102,0851,520102404000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,中南社区服务中心,,,
镇,106.706729,26.574585,市府社区服务中心,,520102,0851,520102405000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,市府社区服务中心,,,
镇,106.706918,26.571107,河滨社区服务中心,,520102,0851,520102406000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,河滨社区服务中心,,,
镇,106.691047,26.568677,遵义社区服务中心,,520102,0851,520102407000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,遵义社区服务中心,,,
镇,106.714036,26.563043,兴关社区服务中心,,520102,0851,520102408000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,兴关社区服务中心,,,
镇,106.717123,26.5777,沙冲社区服务中心,,520102,0851,520102409000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,沙冲社区服务中心,,,
镇,106.69901,26.538609,沙南社区服务中心,,520102,0851,520102410000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,沙南社区服务中心,,,
镇,106.688436,26.555025,太慈社区服务中心,,520102,0851,520102411000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,太慈社区服务中心,,,
镇,106.693057,26.564431,湘雅社区服务中心,,520102,0851,520102412000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,湘雅社区服务中心,,,
镇,106.725658,26.563588,油榨社区服务中心,,520102,0851,520102413000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,油榨社区服务中心,,,
镇,106.687501,26.548282,中曹司社区服务中心,,520102,0851,520102414000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,中曹司社区服务中心,,,
镇,106.70558,26.54672,二戈寨社区服务中心,,520102,0851,520102415000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,二戈寨社区服务中心,,,
镇,106.776116,26.557213,见龙社区服务中心,,520102,0851,520102416000,,,,,,,,,,亚洲,中国,贵州,贵阳,南明区,见龙社区服务中心,,,
