级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,123.384534,41.761616,浑河湾街道,,210102,024,210102001000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河湾街道,,,
镇,123.39529,41.780481,新华街道,,210102,024,210102002000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,新华街道,,,
镇,123.411347,41.808486,西塔街道,,210102,024,210102007000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,西塔街道,,,
镇,123.4223,41.795109,八经街道,,210102,024,210102013000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,八经街道,,,
镇,123.411248,41.78787,马路湾街道,,210102,024,210102016000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,马路湾街道,,,
镇,123.397033,41.775042,集贤街道,,210102,024,210102017000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,集贤街道,,,
镇,123.425281,41.771858,南湖街道,,210102,024,210102019000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,南湖街道,,,
镇,123.401873,41.732807,长白街道,,210102,024,210102021000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,长白街道,,,
镇,123.401479,41.790309,太原街街道,,210102,024,210102022000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,太原街街道,,,
镇,123.427229,41.806067,北市场街道,,210102,024,210102023000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,北市场街道,,,
镇,123.418516,41.788493,南市场街道,,210102,024,210102025000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,南市场街道,,,
镇,123.410916,41.735023,沈水湾街道,,210102,024,210102027000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,沈水湾街道,,,
镇,123.363432,41.719457,浑河站西街道,,210102,024,210102028000,,,,,,,,,,亚洲,中国,辽宁,沈阳,和平区,浑河站西街道,,,
镇,123.447341,41.793726,大西街道,,210103,024,210103004000,,,,,,,,,,亚洲,中国,辽宁,沈阳,沈河区,大西街道,,,
镇,123.46247,41.789661,滨河街道,,210103,024,210103005000,,,,,,,,,,亚洲,中国,辽宁,沈阳,沈河区,滨河街道,,,
镇,123.48087,41.784616,万莲街道,,210103,024,210103006000,,,,,,,,,,亚洲,中国,辽宁,沈阳,沈河区,万莲街道,,,
镇,123.458319,41.781603,大南街道,,210103,024,210103010000,,,,,,,,,,亚洲,中国,辽宁,沈阳,沈河区,大南街道,,,
镇,123.428945,41.792724,山东庙街道,,210103,024,210103011000,,,,,,,,,,亚洲,中国,辽宁,沈阳,沈河区,山东庙街道,,,
镇,123.43847,41.810385,朱剪炉街道,,210103,024,210103013000,,,,,,,,,,亚洲,中国,辽宁,沈阳,沈河区,朱剪炉街道,,,
