级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,108.379923,30.800755,高笋塘街道,,500101,023,500101001000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,高笋塘街道,,,
镇,108.356664,30.817549,太白街道,,500101,023,500101017000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,太白街道,,,
镇,108.392121,30.783296,牌楼街道,,500101,023,500101018000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,牌楼街道,,,
镇,108.3725,30.756032,双河口街道,,500101,023,500101019000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,双河口街道,,,
镇,108.411649,30.763107,龙都街道,,500101,023,500101020000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,龙都街道,,,
镇,108.372519,30.84512,周家坝街道,,500101,023,500101021000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,周家坝街道,,,
镇,108.365493,30.848978,沙河街道,,500101,023,500101022000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,沙河街道,,,
镇,108.388801,30.823399,钟鼓楼街道,,500101,023,500101023000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,钟鼓楼街道,,,
镇,108.44986,30.75974,百安坝街道,,500101,023,500101024000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,百安坝街道,,,
镇,108.448885,30.770818,五桥街道,,500101,023,500101025000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,五桥街道,,,
镇,108.413297,30.811712,陈家坝街道,,500101,023,500101026000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,陈家坝街道,,,
镇,108.527813,30.91965,小周镇,,500101,023,500101109000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,小周镇,,,
镇,108.502386,30.884865,大周镇,,500101,023,500101110000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,大周镇,,,
镇,108.2772,30.497821,新乡镇,,500101,023,500101123000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,新乡镇,,,
镇,108.019963,30.726767,孙家镇,,500101,023,500101132000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,孙家镇,,,
镇,108.346585,30.70995,高峰镇,,500101,023,500101134000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,高峰镇,,,
镇,108.237769,30.634316,龙沙镇,,500101,023,500101135000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,龙沙镇,,,
镇,108.19774,30.653519,响水镇,,500101,023,500101136000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,响水镇,,,
镇,108.250179,30.51301,武陵镇,,500101,023,500101137000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,武陵镇,,,
镇,108.310272,30.589596,瀼渡镇,,500101,023,500101138000,,,,,,,,,,亚洲,中国,重庆,市辖区,万州区,瀼渡镇,,,
