级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
镇,101.801476,36.615698,东关大街街道,,630102,0971,630102001000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,东关大街街道,,,
镇,101.8012,36.6191,清真巷街道,,630102,0971,630102002000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,清真巷街道,,,
镇,101.796876,36.616019,大众街街道,,630102,0971,630102003000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,大众街街道,,,
镇,101.806707,36.621155,周家泉街道,,630102,0971,630102004000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,周家泉街道,,,
镇,101.813601,36.619818,火车站街道,,630102,0971,630102005000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,火车站街道,,,
镇,101.82404,36.59769,八一路街道,,630102,0971,630102006000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,八一路街道,,,
镇,101.812254,36.627633,林家崖街道,,630102,0971,630102007000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,林家崖街道,,,
镇,101.843828,36.582301,乐家湾镇,,630102,0971,630102100000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,乐家湾镇,,,
镇,101.845955,36.584834,韵家口镇,,630102,0971,630102101000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,韵家口镇,,,
镇,101.886223,36.554323,东川工业园,,630102,0971,630102400000,,,,,,,,,,亚洲,中国,青海,西宁,城东区,东川工业园,,,
镇,101.781947,36.619941,人民街街道,,630103,0971,630103001000,,,,,,,,,,亚洲,中国,青海,西宁,城中区,人民街街道,,,
镇,101.777711,36.614616,南滩街道,,630103,0971,630103002000,,,,,,,,,,亚洲,中国,青海,西宁,城中区,南滩街道,,,
镇,101.786991,36.618861,仓门街街道,,630103,0971,630103003000,,,,,,,,,,亚洲,中国,青海,西宁,城中区,仓门街街道,,,
镇,101.779013,36.621785,礼让街街道,,630103,0971,630103004000,,,,,,,,,,亚洲,中国,青海,西宁,城中区,礼让街街道,,,
镇,101.787781,36.621024,饮马街街道,,630103,0971,630103005000,,,,,,,,,,亚洲,中国,青海,西宁,城中区,饮马街街道,,,
镇,101.767488,36.613425,南川东路街道,,630103,0971,630103006000,,,,,,,,,,亚洲,中国,青海,西宁,城中区,南川东路街道,,,
镇,101.759108,36.595901,南川西路街道,,630103,0971,630103007000,,,,,,,,,,亚洲,中国,青海,西宁,城中区,南川西路街道,,,
镇,101.68607,36.54178,总寨镇,,630103,0971,630103100000,,,,,,,,,,亚洲,中国,青海,西宁,城中区,总寨镇,,,
镇,101.704361,36.553337,南川工业园,,630103,0971,630103400000,,,,,,,,,,亚洲,中国,青海,西宁,城中区,南川工业园,,,
镇,101.768429,36.624374,西关大街街道,,630104,0971,630104001000,,,,,,,,,,亚洲,中国,青海,西宁,城西区,西关大街街道,,,
镇,101.761315,36.626802,古城台街道,,630104,0971,630104002000,,,,,,,,,,亚洲,中国,青海,西宁,城西区,古城台街道,,,
镇,101.728519,36.633397,虎台街道,,630104,0971,630104003000,,,,,,,,,,亚洲,中国,青海,西宁,城西区,虎台街道,,,
镇,101.756487,36.637258,胜利路街道,,630104,0971,630104004000,,,,,,,,,,亚洲,中国,青海,西宁,城西区,胜利路街道,,,
镇,101.772279,36.631294,兴海路街道,,630104,0971,630104005000,,,,,,,,,,亚洲,中国,青海,西宁,城西区,兴海路街道,,,
镇,101.723669,36.652429,文汇路街道,,630105,0971,630104006000,,,,,,,,,,亚洲,中国,青海,西宁,城西区,文汇路街道,,,
镇,101.701243,36.645714,通海路街道,,630104,0971,630104007000,,,,,,,,,,亚洲,中国,青海,西宁,城西区,通海路街道,,,
镇,101.70339,36.639606,彭家寨镇,,630104,0971,630104100000,,,,,,,,,,亚洲,中国,青海,西宁,城西区,彭家寨镇,,,
镇,101.768188,36.656425,朝阳街道,,630105,0971,630105001000,,,,,,,,,,亚洲,中国,青海,西宁,城北区,朝阳街道,,,
镇,101.755056,36.643452,小桥大街街道,,630105,0971,630105002000,,,,,,,,,,亚洲,中国,青海,西宁,城北区,小桥大街街道,,,
镇,101.685599,36.665369,马坊街道,,630105,0971,630105003000,,,,,,,,,,亚洲,中国,青海,西宁,城北区,马坊街道,,,
镇,101.690265,36.65748,火车西站街道,,630105,0971,630105004000,,,,,,,,,,亚洲,中国,青海,西宁,城北区,火车西站街道,,,
镇,101.63232,36.666438,大堡子镇,,630105,0971,630105100000,,,,,,,,,,亚洲,中国,青海,西宁,城北区,大堡子镇,,,
镇,101.757077,36.718677,廿里铺镇,,630105,0971,630105101000,,,,,,,,,,亚洲,中国,青海,西宁,城北区,廿里铺镇,,,
镇,101.747764,36.691225,生物科技产业园,,630105,0971,630105400000,,,,,,,,,,亚洲,中国,青海,西宁,城北区,生物科技产业园,,,
镇,101.683475,36.927788,桥头镇,,630121,0971,630121100000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,桥头镇,,,
镇,101.543943,37.032624,城关镇,,630121,0971,630121101000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,城关镇,,,
镇,101.640817,36.996951,塔尔镇,,630121,0971,630121102000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,塔尔镇,,,
镇,101.809478,37.038057,东峡镇,,630121,0971,630121103000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,东峡镇,,,
镇,101.736475,36.859454,黄家寨镇,,630121,0971,630121104000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,黄家寨镇,,,
镇,101.764936,36.817726,长宁镇,,630121,0971,630121105000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,长宁镇,,,
镇,101.638291,36.804503,景阳镇,,630121,0971,630121106000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,景阳镇,,,
镇,101.45952,37.06119,多林镇,,630121,0971,630121107000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,多林镇,,,
镇,101.58673,37.063589,新庄镇,,630121,0971,630121108000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,新庄镇,,,
镇,101.403248,37.084412,青林乡,,630121,0971,630121200000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,青林乡,,,
镇,101.445107,37.089404,青山乡,,630121,0971,630121201000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,青山乡,,,
镇,101.465581,37.017988,逊让乡,,630121,0971,630121202000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,逊让乡,,,
镇,101.543856,36.993732,极乐乡,,630121,0971,630121203000,,,,,,,,,,亚洲,中国,青海,西宁,大通回族土族自治县,极乐乡,,,
