dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
194219,8,111.66704,40.841739,公主府社区居委会,,150102,0471,150102001001,111,,,,,,,,,2,100,1004,1225,2346,14486,,,
194220,8,111.66704,40.841739,内蒙古军区社区居委会,,150102,0471,150102001006,111,,,,,,,,,2,100,1004,1225,2346,14486,,,
194221,8,111.66704,40.841739,哲里木路社区居委会,,150102,0471,150102001007,111,,,,,,,,,2,100,1004,1225,2346,14486,,,
194222,8,111.671111,40.85328,体校巷社区居委会,,150102,0471,150102001008,111,,,,,,,,,2,100,1004,1225,2346,14486,,,
194223,8,111.66704,40.841739,内蒙古工业大学社区居委会,,150102,0471,150102001009,111,,,,,,,,,2,100,1004,1225,2346,14486,,,
194224,8,111.66704,40.841739,公安厅社区居委会,,150102,0471,150102001010,111,,,,,,,,,2,100,1004,1225,2346,14486,,,
194225,8,111.690389,40.84238,长海社区居委会,,150102,0471,150102001012,111,,,,,,,,,2,100,1004,1225,2346,14486,,,
194226,8,111.663612,40.837812,气象局东巷社区居委会,,150102,0471,150102001014,111,,,,,,,,,2,100,1004,1225,2346,14486,,,
194227,8,111.667213,40.854443,八一路社区居委会,,150102,0471,150102001015,111,,,,,,,,,2,100,1004,1225,2346,14486,,,
194228,8,111.665059,40.827792,车站西街社区居委会,,150102,0471,150102002001,111,,,,,,,,,2,100,1004,1225,2346,14487,,,
194229,8,111.665059,40.827792,车站东街社区居委会,,150102,0471,150102002002,111,,,,,,,,,2,100,1004,1225,2346,14487,,,
194230,8,111.665059,40.827792,三角线社区居委会,,150102,0471,150102002003,111,,,,,,,,,2,100,1004,1225,2346,14487,,,
194231,8,111.668737,40.832939,中山里社区居委会,,150102,0471,150102002005,111,,,,,,,,,2,100,1004,1225,2346,14487,,,
194232,8,111.665059,40.827792,电厂前街社区居委会,,150102,0471,150102002006,111,,,,,,,,,2,100,1004,1225,2346,14487,,,
194233,8,111.673374,40.825503,新华社区居委会,,150102,0471,150102003001,111,,,,,,,,,2,100,1004,1225,2346,14488,,,
194234,8,111.671059,40.819578,迎宾南路社区居委会,,150102,0471,150102003002,111,,,,,,,,,2,100,1004,1225,2346,14488,,,
194235,8,111.67699,40.8144,中山社区居委会,,150102,0471,150102003003,111,,,,,,,,,2,100,1004,1225,2346,14488,,,
194236,8,111.674318,40.81553,团结社区居委会,,150102,0471,150102003004,111,,,,,,,,,2,100,1004,1225,2346,14488,,,
194237,8,111.691711,40.835851,东库街社区居委会,,150102,0471,150102004001,111,,,,,,,,,2,100,1004,1225,2346,14489,,,
194238,8,111.692937,40.823569,内蒙党委社区居委会,,150102,0471,150102004002,111,,,,,,,,,2,100,1004,1225,2346,14489,,,
194239,8,111.696934,40.831304,东护城河北街社区居委会,,150102,0471,150102004003,111,,,,,,,,,2,100,1004,1225,2346,14489,,,
194240,8,111.692937,40.823569,老缸房街社区居委会,,150102,0471,150102004007,111,,,,,,,,,2,100,1004,1225,2346,14489,,,
194241,8,111.692937,40.823569,河西社区居委会,,150102,0471,150102004008,111,,,,,,,,,2,100,1004,1225,2346,14489,,,
194242,8,111.692937,40.823569,东护城河南街社区居委会,,150102,0471,150102004009,111,,,,,,,,,2,100,1004,1225,2346,14489,,,
194243,8,111.68187,40.826131,艺术厅北街社区居委会,,150102,0471,150102005001,111,,,,,,,,,2,100,1004,1225,2346,14490,,,
194244,8,111.685157,40.831304,曙光街社区居委会,,150102,0471,150102005002,111,,,,,,,,,2,100,1004,1225,2346,14490,,,
194245,8,111.68187,40.826131,西落凤街社区居委会,,150102,0471,150102005003,111,,,,,,,,,2,100,1004,1225,2346,14490,,,
194246,8,111.68187,40.826131,星火巷社区居委会,,150102,0471,150102005006,111,,,,,,,,,2,100,1004,1225,2346,14490,,,
194247,8,111.67924,40.822639,艺术厅南街社区居委会,,150102,0471,150102005008,111,,,,,,,,,2,100,1004,1225,2346,14490,,,
194248,8,111.711878,40.837414,芳汀花园社区居委会,,150102,0471,150102006002,111,,,,,,,,,2,100,1004,1225,2346,14491,,,
194249,8,111.706176,40.828656,东影北街社区居委会,,150105,0471,150102006003,111,,,,,,,,,2,100,1004,1225,2346,14491,,,
194250,8,111.704771,40.83281,昭君新村社区居委会,,150102,0471,150102006004,111,,,,,,,,,2,100,1004,1225,2346,14491,,,
194251,8,111.704994,40.845116,丽苑社区居委会,,150102,0471,150102006005,111,,,,,,,,,2,100,1004,1225,2346,14491,,,
