dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
738407,8,106.256801,38.472304,崇安社区居委会,,640104,0951,640104001002,111,,,,,,,,,2,100,1029,1523,4868,51360,,,
738408,8,106.256801,38.472304,兴隆社区居委会,,640104,0951,640104001003,111,,,,,,,,,2,100,1029,1523,4868,51360,,,
738409,8,106.262198,38.486777,北安社区居委会,,640104,0951,640104001005,111,,,,,,,,,2,100,1029,1523,4868,51360,,,
738410,8,106.256801,38.472304,安秀社区居委会,,640104,0951,640104001007,111,,,,,,,,,2,100,1029,1523,4868,51360,,,
738411,8,106.256801,38.472304,阳澄社区居委会,,640104,0951,640104001008,111,,,,,,,,,2,100,1029,1523,4868,51360,,,
738412,8,106.26293,38.493348,北塔社区居委会,,640104,0951,640104001010,111,,,,,,,,,2,100,1029,1523,4868,51360,,,
738413,8,106.261096,38.491372,民运社区居委会,,640104,0951,640104001011,111,,,,,,,,,2,100,1029,1523,4868,51360,,,
738414,8,106.269627,38.478796,文艺社区居委会,,640104,0951,640104002001,111,,,,,,,,,2,100,1029,1523,4868,51361,,,
738415,8,106.269627,38.478796,北苑社区居委会,,640104,0951,640104002003,111,,,,,,,,,2,100,1029,1523,4868,51361,,,
738416,8,106.269627,38.478796,健康社区居委会,,640104,0951,640104002004,111,,,,,,,,,2,100,1029,1523,4868,51361,,,
738417,8,106.273961,38.477432,银湖社区居委会,,640104,0951,640104002006,111,,,,,,,,,2,100,1029,1523,4868,51361,,,
738418,8,106.273699,38.482352,海宝社区居委会,,640104,0951,640104002008,111,,,,,,,,,2,100,1029,1523,4868,51361,,,
738419,8,106.270119,38.485651,华新社区居委会,,640104,0951,640104002009,111,,,,,,,,,2,100,1029,1523,4868,51361,,,
738420,8,106.282879,38.467263,山河湾社区居委会,,640104,0951,640104003001,111,,,,,,,,,2,100,1029,1523,4868,51362,,,
738421,8,106.286858,38.470203,丰收社区居委会,,640104,0951,640104003004,111,,,,,,,,,2,100,1029,1523,4868,51362,,,
738422,8,106.286858,38.470203,幸福社区居委会,,640104,0951,640104003006,111,,,,,,,,,2,100,1029,1523,4868,51362,,,
738423,8,106.286858,38.470203,游乐社区居委会,,640104,0951,640104003007,111,,,,,,,,,2,100,1029,1523,4868,51362,,,
738424,8,106.285686,38.467449,信义社区居委会,,640104,0951,640104003008,111,,,,,,,,,2,100,1029,1523,4868,51362,,,
738425,8,106.286858,38.470203,天成社区居委会,,640104,0951,640104003009,111,,,,,,,,,2,100,1029,1523,4868,51362,,,
738426,8,106.263688,38.466446,中寺社区居委会,,640104,0951,640104004001,111,,,,,,,,,2,100,1029,1523,4868,51363,,,
738427,8,106.264267,38.459924,利群社区居委会,,640104,0951,640104004003,111,,,,,,,,,2,100,1029,1523,4868,51363,,,
738428,8,106.263688,38.466446,大庙社区居委会,,640104,0951,640104004004,111,,,,,,,,,2,100,1029,1523,4868,51363,,,
738429,8,106.261819,38.468983,自强社区居委会,,640104,0951,640104004006,111,,,,,,,,,2,100,1029,1523,4868,51363,,,
738430,8,106.263688,38.466446,西关社区居委会,,640104,0951,640104004008,111,,,,,,,,,2,100,1029,1523,4868,51363,,,
738431,8,106.24221,38.46666,南苑社区居委会,,640106,0951,640104004009,111,,,,,,,,,2,100,1029,1523,4868,51363,,,
738432,8,106.27901,38.46383,鼓楼社区居委会,,640104,0951,640104005001,111,,,,,,,,,2,100,1029,1523,4868,51364,,,
738433,8,106.282222,38.460785,正丰社区居委会,,640104,0951,640104005004,111,,,,,,,,,2,100,1029,1523,4868,51364,,,
738434,8,106.272355,38.447179,富华社区居委会,,640104,0951,640104005005,111,,,,,,,,,2,100,1029,1523,4868,51364,,,
738435,8,106.282222,38.460785,永安社区居委会,,640104,0951,640104005006,111,,,,,,,,,2,100,1029,1523,4868,51364,,,
738436,8,106.282222,38.460785,裕民社区居委会,,640104,0951,640104005007,111,,,,,,,,,2,100,1029,1523,4868,51364,,,
738437,8,106.282222,38.460785,长信社区居委会,,640104,0951,640104005008,111,,,,,,,,,2,100,1029,1523,4868,51364,,,
738438,8,106.279797,38.452307,双城门社区居委会,,640104,0951,640104005009,111,,,,,,,,,2,100,1029,1523,4868,51364,,,
738439,8,106.282222,38.460785,宝庆社区居委会,,640104,0951,640104005010,111,,,,,,,,,2,100,1029,1523,4868,51364,,,
738440,8,106.290076,38.476249,八一社区居委会,,640104,0951,640104006001,121,,,,,,,,,2,100,1029,1523,4868,51365,,,
738441,8,106.290076,38.476249,高台社区居委会,,640104,0951,640104006003,121,,,,,,,,,2,100,1029,1523,4868,51365,,,
738442,8,106.290076,38.476249,北关社区居委会,,640104,0951,640104006004,121,,,,,,,,,2,100,1029,1523,4868,51365,,,
738443,8,106.290278,38.471445,永康社区居委会,,640104,0951,640104006007,121,,,,,,,,,2,100,1029,1523,4868,51365,,,
738444,8,106.290076,38.476249,东方社区居委会,,640104,0951,640104006009,121,,,,,,,,,2,100,1029,1523,4868,51365,,,
738445,8,106.290076,38.476249,青山社区居委会,,640104,0951,640104006013,111,,,,,,,,,2,100,1029,1523,4868,51365,,,
738446,8,106.273173,38.464878,陶瓷社区居委会,,640104,0951,640104007003,111,,,,,,,,,2,100,1029,1523,4868,51366,,,
738447,8,106.272329,38.456886,华林社区居委会,,640104,0951,640104007005,111,,,,,,,,,2,100,1029,1523,4868,51366,,,
