dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
574633,8,108.319961,22.813467,兴宁社区居委会,,450102,0771,450102001003,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574634,8,108.323846,22.816744,北宁社区居委会,,450102,0771,450102001004,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574635,8,108.315723,22.81589,高峰社区居委会,,450102,0771,450102001006,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574636,8,108.315254,22.81821,人民中社区居委会,,450102,0771,450102001007,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574637,8,108.327291,22.824572,人民东社区居委会,,450102,0771,450102001010,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574638,8,108.33578,22.829576,望仙坡社区居委会,,450102,0771,450102001012,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574639,8,108.338104,22.838207,金牛桥社区居委会,,450102,0771,450102001013,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574640,8,108.344812,22.83371,长堽西社区居委会,,450102,0771,450102001014,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574641,8,108.338104,22.838207,燕子岭社区居委会,,450102,0771,450102001015,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574642,8,108.355192,22.837199,长堽东社区居委会,,450102,0771,450102001016,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574643,8,108.334408,22.835975,望州南社区居委会,,450102,0771,450102001018,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574644,8,108.340142,22.845378,望州东社区居委会,,450102,0771,450102001019,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574645,8,108.342208,22.830102,官桥村委会,,450103,0771,450102001201,111,,,,,,,,,2,100,1019,1417,3972,37641,,,
574646,8,108.319056,22.824163,朝阳社区居委会,,450102,0771,450102002001,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574647,8,108.317336,22.820506,华东社区居委会,,450102,0771,450102002002,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574648,8,108.320457,22.826038,运德社区居委会,,450102,0771,450102002004,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574649,8,108.323723,22.829688,中华社区居委会,,450102,0771,450102002005,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574650,8,108.340118,22.84526,望州社区居委会,,450102,0771,450102002006,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574651,8,108.320158,22.822731,翠峰社区居委会,,450102,0771,450102002019,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574652,8,108.326442,22.826602,人民北一里社区居委会,,450102,0771,450102002023,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574653,8,108.321821,22.821955,人民北二里社区居委会,,450102,0771,450102002024,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574654,8,108.320158,22.822731,秀和社区居委会,,450102,0771,450102002025,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574655,8,108.330988,22.845178,虎邱村委会,,450102,0771,450102002201,111,,,,,,,,,2,100,1019,1417,3972,37642,,,
574656,8,108.344388,22.867002,澳华社区居委会,,450102,0771,450102003001,111,,,,,,,,,2,100,1019,1417,3972,37643,,,
574657,8,108.359621,22.854703,兴东社区居委会,,450102,0771,450102003002,111,,,,,,,,,2,100,1019,1417,3972,37643,,,
574658,8,108.357828,22.836973,将桥社区居委会,,450102,0771,450102003003,111,,,,,,,,,2,100,1019,1417,3972,37643,,,
574659,8,108.347503,22.850545,五村岭社区居委会,,450102,0771,450102003004,111,,,,,,,,,2,100,1019,1417,3972,37643,,,
574660,8,108.337524,22.872533,邕武东社区居委会,,450102,0771,450102003005,111,,,,,,,,,2,100,1019,1417,3972,37643,,,
574661,8,108.368871,22.854021,兴桂社区居委会,,450102,0771,450102003008,111,,,,,,,,,2,100,1019,1417,3972,37643,,,
574662,8,108.339917,22.874338,鸡村村委会,,450102,0771,450102003201,112,,,,,,,,,2,100,1019,1417,3972,37643,,,
574663,8,108.418471,22.877257,四塘社区居委会,,450102,0771,450102101001,112,,,,,,,,,2,100,1019,1417,3972,37644,,,
574664,8,108.418471,22.877257,四塘煤矿社区居委会,,450102,0771,450102101002,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574665,8,108.418471,22.877257,平垌煤矿社区居委会,,450102,0771,450102101003,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574666,8,108.418471,22.877257,里罗煤矿社区居委会,,450102,0771,450102101004,123,,,,,,,,,2,100,1019,1417,3972,37644,,,
574667,8,108.418027,22.877855,三塘社区居委会,,450102,0771,450102101005,111,,,,,,,,,2,100,1019,1417,3972,37644,,,
574668,8,108.418471,22.877257,热作社区居委会,,450102,0771,450102101006,111,,,,,,,,,2,100,1019,1417,3972,37644,,,
574669,8,108.418471,22.877257,香草苑社区居委会,,450102,0771,450102101007,111,,,,,,,,,2,100,1019,1417,3972,37644,,,
574670,8,108.418471,22.877257,金桥社区居委会,,450102,0771,450102101008,111,,,,,,,,,2,100,1019,1417,3972,37644,,,
574671,8,108.418471,22.877257,九曲湾社区,,450102,0771,450102101009,112,,,,,,,,,2,100,1019,1417,3972,37644,,,
574672,8,108.418471,22.877257,三塘村委会,,450102,0771,450102101201,112,,,,,,,,,2,100,1019,1417,3972,37644,,,
574673,8,108.418471,22.877257,那况村委会,,450102,0771,450102101202,112,,,,,,,,,2,100,1019,1417,3972,37644,,,
574674,8,108.418471,22.877257,围村村委会,,450102,0771,450102101203,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574675,8,108.418471,22.877257,大邓村委会,,450102,0771,450102101204,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574676,8,108.418471,22.877257,那陀村委会,,450102,0771,450102101205,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574677,8,108.418471,22.877257,福禄村委会,,450102,0771,450102101206,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574678,8,108.37454,22.919939,路东村委会,,450102,0771,450102101207,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574679,8,108.372968,22.861667,降桥村委会,,450102,0771,450102101208,112,,,,,,,,,2,100,1019,1417,3972,37644,,,
574680,8,108.418471,22.877257,那笔村委会,,450102,0771,450102101209,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574681,8,108.418471,22.877257,同仁村委会,,450102,0771,450102101210,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574682,8,108.418471,22.877257,建新村委会,,450102,0771,450102101211,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574683,8,108.418471,22.877257,六村村委会,,450102,0771,450102101212,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574684,8,108.47096,22.874802,创新村委会,,450102,0771,450102101213,220,,,,,,,,,2,100,1019,1417,3972,37644,,,
574685,8,108.548954,22.939549,五塘社区居委会,,450102,0771,450102102001,121,,,,,,,,,2,100,1019,1417,3972,37645,,,
574686,8,108.540658,22.934708,西龙村委会,,450102,0771,450102102201,122,,,,,,,,,2,100,1019,1417,3972,37645,,,
574687,8,108.548954,22.939549,英广村委会,,450102,0771,450102102202,220,,,,,,,,,2,100,1019,1417,3972,37645,,,
