dataid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
696081,8,108.957424,34.262051,民乐社区居委会,,610102,029,610102001001,111,,,,,,,,,2,100,1026,1491,4628,48181,,,
696082,8,108.958216,34.2617,红会社区居委会,,610102,029,610102001003,111,,,,,,,,,2,100,1026,1491,4628,48181,,,
696083,8,108.958216,34.2617,广场社区居委会,,610102,029,610102001004,111,,,,,,,,,2,100,1026,1491,4628,48181,,,
696084,8,108.958216,34.2617,尚朴社区居委会,,610102,029,610102001005,111,,,,,,,,,2,100,1026,1491,4628,48181,,,
696085,8,108.956667,34.267565,兴盛社区居委会,,610102,029,610102001007,111,,,,,,,,,2,100,1026,1491,4628,48181,,,
696086,8,108.949303,34.26714,新民社区居委会,,610102,029,610102001008,111,,,,,,,,,2,100,1026,1491,4628,48181,,,
696087,8,108.961343,34.270396,西三路社区居委会,,610102,029,610102001009,111,,,,,,,,,2,100,1026,1491,4628,48181,,,
696088,8,108.955872,34.271439,兴乐社区居委会,,610102,029,610102001012,111,,,,,,,,,2,100,1026,1491,4628,48181,,,
696089,8,109.016729,34.268597,幸福社区居委会,,610102,029,610102002001,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696090,8,108.999794,34.268368,金康社区居委会,,610102,029,610102002002,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696091,8,109.002434,34.270758,康乐社区居委会,,610102,029,610102002003,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696092,8,109.022706,34.287377,向阳社区居委会,,610102,029,610102002004,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696093,8,109.002034,34.270843,万年社区居委会,,610102,029,610102002005,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696094,8,109.007542,34.268968,黄河社区居委会,,610102,029,610102002006,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696095,8,109.012288,34.261805,华山社区居委会,,610102,029,610102002007,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696096,8,109.006981,34.272961,西光社区居委会,,610102,029,610102002008,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696097,8,109.002434,34.270758,昆仑社区居委会,,610102,029,610102002009,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696098,8,109.002434,34.270758,韩北社区居民委员会,,610102,029,610102002010,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696099,8,109.002434,34.270758,东尚社区居民委员会,,610102,029,610102002011,111,,,,,,,,,2,100,1026,1491,4628,48182,,,
696100,8,108.969,34.263044,中山社区居委会,,610102,029,610102003001,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696101,8,108.98681,34.30549,万达社区居民委员会,,610112,029,610102003002,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696102,8,108.96849,34.27171,昌仁里社区居委会,,610102,029,610102003003,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696103,8,108.96849,34.27171,东新社区居委会,,610102,029,610102003005,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696104,8,108.96849,34.27171,安民里社区居委会,,610102,029,610102003006,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696105,8,108.96849,34.27171,东风坊社区居委会,,610102,029,610102003007,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696106,8,108.970216,34.271293,南北坊社区居委会,,610102,029,610102003008,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696107,8,108.967429,34.271437,群策巷社区居委会,,610102,029,610102003010,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696108,8,108.965429,34.269079,勤民社区居委会,,610102,029,610102003012,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696109,8,108.96849,34.27171,东三路社区居委会,,610102,029,610102003013,111,,,,,,,,,2,100,1026,1491,4628,48183,,,
696110,8,109.003983,34.251898,咸宁社区居委会,,610102,029,610102004001,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696111,8,109.008851,34.255499,咸东社区居委会,,610102,029,610102004002,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696112,8,109.008653,34.255336,爱民社区居委会,,610102,029,610102004003,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696113,8,109.008851,34.255499,新园社区居委会,,610102,029,610102004004,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696114,8,109.008851,34.255499,万寿社区居委会,,610102,029,610102004005,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696115,8,109.006791,34.249236,东方社区居委会,,610102,029,610102004006,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696116,8,109.008851,34.255499,公园南路社区居委会,,610102,029,610102004007,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696117,8,109.019584,34.224951,秦川社区居委会,,610113,029,610102004008,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696118,8,109.008851,34.255499,韩南社区居民委员会,,610102,029,610102004009,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696119,8,109.008851,34.255499,华清学府城社区居委会,,610102,029,610102004010,111,,,,,,,,,2,100,1026,1491,4628,48184,,,
696120,8,108.966757,34.273844,东大院社区居委会,,610102,029,610102005004,111,,,,,,,,,2,100,1026,1491,4628,48185,,,
696121,8,108.96228,34.273373,西六路社区居委会,,610102,029,610102005005,111,,,,,,,,,2,100,1026,1491,4628,48185,,,
696122,8,108.955343,34.27743,环北路社区居委会,,610102,029,610102005006,111,,,,,,,,,2,100,1026,1491,4628,48185,,,
696123,8,108.954254,34.275034,红星社区居委会,,610102,029,610102005007,111,,,,,,,,,2,100,1026,1491,4628,48185,,,
696124,8,108.95568,34.274573,尚平社区居委会,,610102,029,610102005008,111,,,,,,,,,2,100,1026,1491,4628,48185,,,
696125,8,108.966275,34.270868,卫民社区居委会,,610102,029,610102005009,111,,,,,,,,,2,100,1026,1491,4628,48185,,,
696126,8,108.966757,34.273844,兴隆坊社区居委会,,610102,029,610102005010,111,,,,,,,,,2,100,1026,1491,4628,48185,,,
696127,8,108.956305,34.27844,建强社区居委会,,610102,029,610102006001,111,,,,,,,,,2,100,1026,1491,4628,48186,,,
696128,8,108.956573,34.291911,明宫社区居委会,,610102,029,610102006002,111,,,,,,,,,2,100,1026,1491,4628,48186,,,
696129,8,108.956305,34.27844,麟德社区居委会,,610102,029,610102006003,111,,,,,,,,,2,100,1026,1491,4628,48186,,,
696130,8,108.950681,34.282901,航建社区居委会,,610102,029,610102006004,111,,,,,,,,,2,100,1026,1491,4628,48186,,,
696131,8,108.952418,34.280882,栖枫社区居委会,,610102,029,610102006005,111,,,,,,,,,2,100,1026,1491,4628,48186,,,
696132,8,108.956424,34.278224,自强社区居委会,,610102,029,610102006006,111,,,,,,,,,2,100,1026,1491,4628,48186,,,
696133,8,108.951455,34.281513,向荣社区居委会,,610102,029,610102006007,111,,,,,,,,,2,100,1026,1491,4628,48186,,,
696134,8,108.956305,34.27844,阳光社区居委会,,610102,029,610102006008,111,,,,,,,,,2,100,1026,1491,4628,48186,,,
696135,8,108.952418,34.280882,联志社区居民委员会,,610102,029,610102006009,111,,,,,,,,,2,100,1026,1491,4628,48186,,,
696136,8,108.974869,34.287897,笃臣巷社区居委会,,610102,029,610102007001,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696137,8,108.974869,34.287897,太华南路社区居委会,,610102,029,610102007002,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696138,8,108.974869,34.287897,东童村社区居委会,,610102,029,610102007003,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696139,8,108.974869,34.287897,铁路东村社区居委会,,610102,029,610102007004,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696140,8,108.974869,34.287897,生产村社区居委会,,610102,029,610102007005,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696141,8,108.974869,34.287897,南郭上村社区居委会,,610102,029,610102007006,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696142,8,108.984342,34.28528,含元西路社区居委会,,610102,029,610102007007,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696143,8,108.974869,34.287897,银河坊社区居委会,,610102,029,610102007008,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696144,8,108.974869,34.287897,东元西路社区居委会,,610102,029,610102007009,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696145,8,108.986016,34.290747,八府庄社区居委会,,610102,029,610102007010,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696146,8,108.984711,34.285797,含元东路社区居委会,,610102,029,610102007011,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696147,8,108.974869,34.287897,纱厂东街社区居委会,,610102,029,610102007012,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696148,8,108.974869,34.287897,陕棉十一厂社区居委会,,610102,029,610102007013,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696149,8,108.974869,34.287897,石家街社区居民委员会,,610102,029,610102007014,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696150,8,108.974869,34.287897,八府庄园社区居民委员会,,610102,029,610102007015,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696151,8,108.974869,34.287897,含元殿社区居民委员会,,610102,029,610102007016,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696152,8,108.974869,34.287897,丹凤门社区居民委员会,,610102,029,610102007017,111,,,,,,,,,2,100,1026,1491,4628,48187,,,
696153,8,108.982463,34.267714,安仁坊社区居民委员会,,610102,029,610102008001,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
696154,8,108.982463,34.267714,半截巷社区居民委员会,,610102,029,610102008002,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
696155,8,108.982463,34.267714,长乐社区居民委员会,,610102,029,610102008003,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
696156,8,108.982463,34.267714,康家村社区居民委员会,,610102,029,610102008004,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
696157,8,108.982463,34.267714,永乐社区居民委员会,,610102,029,610102008005,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
696158,8,108.982463,34.267714,二七工房社区居民委员会,,610102,029,610102008006,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
696159,8,108.991842,34.270342,西北电建公司社区居民委员会,,610102,029,610102008007,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
696160,8,108.982463,34.267714,四医大社区居民委员会,,610102,029,610102008008,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
696161,8,108.982463,34.267714,供电局社区居民委员会,,610102,029,610102008009,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
696162,8,108.982463,34.267714,省农械厂社区居民委员会,,610102,029,610102008011,111,,,,,,,,,2,100,1026,1491,4628,48188,,,
