级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,121.471941,31.226107,云南中路居委会,,310101,021,310101002001,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,云南中路居委会,,
村,121.477418,31.237163,龙泉园路居委会,,310101,021,310101002002,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,龙泉园路居委会,,
村,121.471941,31.226107,贵州路居委会,,310101,021,310101002003,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,贵州路居委会,,
村,121.46511,31.23927,新桥居委会,,310101,021,310101002006,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,新桥居委会,,
村,121.471941,31.226107,牛庄路居委会,,310101,021,310101002007,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,牛庄路居委会,,
村,121.471941,31.226107,厦门路居委会,,310101,021,310101002008,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,厦门路居委会,,
村,121.469843,31.236874,福海居委会,,310101,021,310101002009,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,福海居委会,,
村,121.46884,31.237266,承兴居委会,,310101,021,310101002010,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,承兴居委会,,
村,121.46677,31.237204,三德居委会,,310101,021,310101002011,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,三德居委会,,
村,121.47225,31.23842,福瑞居委会,,310101,021,310101002013,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,福瑞居委会,,
村,121.471941,31.226107,平望街居委会,,310101,021,310101002014,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,平望街居委会,,
村,121.480364,31.234445,小花园居委会,,310101,021,310101002015,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,小花园居委会,,
村,121.471941,31.226107,长江居委会,,310101,021,310101002017,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,长江居委会,,
村,121.46909,31.229591,江阴居委会,,310101,021,310101002018,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,江阴居委会,,
村,121.471333,31.225904,均乐居委会,,310101,021,310101002019,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,均乐居委会,,
村,121.469362,31.232962,新昌居委会,,310101,021,310101002020,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,新昌居委会,,
村,121.471941,31.226107,振兴居委会,,310101,021,310101002021,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,振兴居委会,,
村,121.470782,31.235243,定兴居委会,,310101,021,310101002022,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,定兴居委会,,
村,121.468299,31.228701,顺天村居委会,,310101,021,310101002023,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,南京东路街道,顺天村居委会,,
村,121.486259,31.237018,汉口路居委会,,310101,021,310101013001,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,汉口路居委会,,
村,121.45105,31.231153,北京居委会,,310106,021,310101013003,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,北京居委会,,
村,121.484672,31.240205,宁波路居委会,,310101,021,310101013004,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,宁波路居委会,,
村,121.481432,31.239541,无锡路居委会,,310101,021,310101013005,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,无锡路居委会,,
村,121.480825,31.236499,东风居委会,,310101,021,310101013007,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,东风居委会,,
村,121.483247,31.239394,山东北路居委会,,310101,021,310101013008,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,山东北路居委会,,
村,121.487258,31.241701,虎丘路居委会,,310101,021,310101013009,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,虎丘路居委会,,
村,121.481432,31.239541,永安路居委会,,310101,021,310101013010,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,永安路居委会,,
村,121.488876,31.23067,永胜路居委会,,310101,021,310101013012,111,,,,,,,,,亚洲,中国,上海,市辖区,黄浦区,外滩街道,永胜路居委会,,
