级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,116.413146,39.922958,多福巷社区居委会,,110101,010,110101001001,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,多福巷社区居委会,,
村,116.406051,39.919478,银闸社区居委会,,110101,010,110101001002,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,银闸社区居委会,,
村,116.408328,39.923083,东厂社区居委会,,110101,010,110101001005,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,东厂社区居委会,,
村,116.402984,39.917822,智德社区居委会,,110101,010,110101001006,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,智德社区居委会,,
村,116.404393,39.911838,南池子社区居委会,,110101,010,110101001007,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,南池子社区居委会,,
村,116.408885,39.920967,黄图岗社区居委会,,110101,010,110101001008,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,黄图岗社区居委会,,
村,116.416,39.918361,灯市口社区居委会,,110101,010,110101001009,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,灯市口社区居委会,,
村,116.406338,39.902261,正义路社区居委会,,110101,010,110101001010,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,正义路社区居委会,,
村,116.416936,39.916906,甘雨社区居委会,,110101,010,110101001011,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,甘雨社区居委会,,
村,116.415543,39.905297,台基厂社区居委会,,110101,010,110101001013,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,台基厂社区居委会,,
村,116.407328,39.916841,韶九社区居委会,,110101,010,110101001014,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,韶九社区居委会,,
村,116.414757,39.914358,王府井社区居委会,,110101,010,110101001015,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东华门街道,王府井社区居委会,,
村,116.412882,39.926039,隆福寺社区居委会,,110101,010,110101002001,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,景山街道,隆福寺社区居委会,,
村,116.404745,39.932053,吉祥社区居委会,,110101,010,110101002002,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,景山街道,吉祥社区居委会,,
村,116.400582,39.930402,黄化门社区居委会,,110101,010,110101002003,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,景山街道,黄化门社区居委会,,
村,116.403456,39.92901,钟鼓社区居委会,,110101,010,110101002004,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,景山街道,钟鼓社区居委会,,
村,116.416054,39.929845,魏家社区居委会,,110101,010,110101002005,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,景山街道,魏家社区居委会,,
村,116.41207,39.932645,汪芝麻社区居委会,,110101,010,110101002006,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,景山街道,汪芝麻社区居委会,,
村,116.402242,39.925514,景山东街社区居委会,,110101,010,110101002008,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,景山街道,景山东街社区居委会,,
村,116.406838,39.925927,皇城根北街社区居委会,,110101,010,110101002009,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,景山街道,皇城根北街社区居委会,,
村,116.412251,39.940607,交东社区居委会,,110101,010,110101003001,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,交道口街道,交东社区居委会,,
村,116.398965,39.936243,福祥社区居委会,,110101,010,110101003002,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,交道口街道,福祥社区居委会,,
村,116.409757,39.938427,大兴社区居委会,,110101,010,110101003003,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,交道口街道,大兴社区居委会,,
村,116.411456,39.93519,府学社区居委会,,110101,010,110101003005,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,交道口街道,府学社区居委会,,
村,116.400635,39.938978,鼓楼苑社区居委会,,110101,010,110101003007,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,交道口街道,鼓楼苑社区居委会,,
村,116.405676,39.939335,菊儿社区居委会,,110101,010,110101003008,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,交道口街道,菊儿社区居委会,,
村,116.40098,39.93576,南锣鼓巷社区居委会,,110101,010,110101003009,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,交道口街道,南锣鼓巷社区居委会,,
村,116.409921,39.941843,交北头条社区居委会,,110101,010,110101004001,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,交北头条社区居委会,,
村,116.402618,39.94814,北锣鼓巷社区居委会,,110101,010,110101004002,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,北锣鼓巷社区居委会,,
村,116.415476,39.946554,国子监社区居委会,,110101,010,110101004003,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,国子监社区居委会,,
村,116.397712,39.942132,钟楼湾社区居委会,,110101,010,110101004004,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,钟楼湾社区居委会,,
村,116.401922,39.944594,宝钞南社区居委会,,110101,010,110101004005,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,宝钞南社区居委会,,
村,116.410045,39.947029,五道营社区居委会,,110101,010,110101004006,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,五道营社区居委会,,
村,116.405262,39.94264,分司厅社区居委会,,110101,010,110101004009,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,分司厅社区居委会,,
村,116.397536,39.946825,国旺社区居委会,,110101,010,110101004011,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,国旺社区居委会,,
村,116.403428,39.944567,花园社区居委会,,110101,010,110101004012,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,安定门街道,花园社区居委会,,
村,116.428644,39.935714,海运仓社区居委会,,110101,010,110101005001,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,海运仓社区居委会,,
村,116.428513,39.940835,北新仓社区居委会,,110101,010,110101005002,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,北新仓社区居委会,,
村,116.41788,39.934256,门楼社区居委会,,110101,010,110101005004,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,门楼社区居委会,,
村,116.424407,39.937538,十三条社区居委会,,110101,010,110101005005,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,十三条社区居委会,,
村,116.430062,39.943719,民安社区居委会,,110101,010,110101005006,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,民安社区居委会,,
村,116.419077,39.940155,九道湾社区居委会,,110101,010,110101005008,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,九道湾社区居委会,,
村,116.426312,39.947725,北官厅社区居委会,,110101,010,110101005009,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,北官厅社区居委会,,
村,116.423577,39.948401,青龙社区居委会,,110101,010,110101005010,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,青龙社区居委会,,
村,116.423496,39.94009,小菊社区居委会,,110101,010,110101005011,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,小菊社区居委会,,
村,116.418324,39.946242,藏经馆社区居委会,,110101,010,110101005012,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,藏经馆社区居委会,,
村,116.416682,39.943094,草园社区居委会,,110101,010,110101005014,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,草园社区居委会,,
村,116.418807,39.944624,前永康社区居委会,,110101,010,110101005016,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,北新桥街道,前永康社区居委会,,
村,116.430898,39.928788,南门仓社区居委会,,110101,010,110101006001,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东四街道,南门仓社区居委会,,
村,116.417042,39.930467,七条社区居委会,,110101,010,110101006002,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东四街道,七条社区居委会,,
村,116.417603,39.926911,二条社区居委会,,110101,010,110101006003,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东四街道,二条社区居委会,,
村,116.421971,39.930791,六条社区居委会,,110101,010,110101006006,111,,,,,,,,,亚洲,中国,北京,市辖区,东城区,东四街道,六条社区居委会,,
