级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,113.247338,23.107211,翠洲社区居民委员会,,440103,020,440103001101,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,沙面街道,翠洲社区居民委员会,,
村,113.247694,23.110019,扬仁东社区居民委员会,,440103,020,440103002101,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,岭南街道,扬仁东社区居民委员会,,
村,113.247694,23.110019,扬仁西社区居民委员会,,440103,020,440103002102,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,岭南街道,扬仁西社区居民委员会,,
村,113.247694,23.110019,故衣街社区居民委员会,,440103,020,440103002103,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,岭南街道,故衣街社区居民委员会,,
村,113.250389,23.110642,十三行社区居民委员会,,440103,020,440103002104,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,岭南街道,十三行社区居民委员会,,
村,113.24688,23.111228,冼基社区居民委员会,,440103,020,440103002105,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,岭南街道,冼基社区居民委员会,,
村,113.24776,23.109455,沙基社区居民委员会,,440103,020,440103002106,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,岭南街道,沙基社区居民委员会,,
村,113.245273,23.109507,清平社区居民委员会,,440103,020,440103002108,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,岭南街道,清平社区居民委员会,,
村,113.247694,23.110019,和平社区居民委员会,,440103,020,440103002109,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,岭南街道,和平社区居民委员会,,
村,113.243446,23.11782,光复社区居民委员会,,440103,020,440103003101,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,光复社区居民委员会,,
村,113.243446,23.11782,德星社区居民委员会,,440103,020,440103003102,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,德星社区居民委员会,,
村,113.243446,23.11782,荔广社区居民委员会,,440103,020,440103003103,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,荔广社区居民委员会,,
村,113.243446,23.11782,寺前社区居民委员会,,440103,020,440103003104,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,寺前社区居民委员会,,
村,113.243446,23.11782,彩园社区居民委员会,,440103,020,440103003106,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,彩园社区居民委员会,,
村,113.243446,23.11782,兴贤社区居民委员会,,440103,020,440103003107,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,兴贤社区居民委员会,,
村,113.243446,23.11782,曾巷社区居民委员会,,440103,020,440103003108,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,曾巷社区居民委员会,,
村,113.243446,23.11782,连登社区居民委员会,,440103,020,440103003109,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,连登社区居民委员会,,
村,113.243446,23.11782,怀远社区居民委员会,,440103,020,440103003111,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,怀远社区居民委员会,,
村,113.243446,23.11782,福安社区居民委员会,,440103,020,440103003112,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,福安社区居民委员会,,
村,113.243446,23.11782,河傍社区居民委员会,,440103,020,440103003113,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,河傍社区居民委员会,,
村,113.243446,23.11782,湛露社区居民委员会,,440103,020,440103003114,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,华林街道,湛露社区居民委员会,,
村,113.238196,23.116253,恒宝社区居民委员会,,440103,020,440103004101,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,恒宝社区居民委员会,,
村,113.238196,23.116253,莲塘社区居民委员会,,440103,020,440103004102,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,莲塘社区居民委员会,,
村,113.240076,23.115247,泰华社区居民委员会,,440103,020,440103004103,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,泰华社区居民委员会,,
村,113.238196,23.116253,丛桂社区居民委员会,,440103,020,440103004105,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,丛桂社区居民委员会,,
村,113.238196,23.116253,宝源社区居民委员会,,440103,020,440103004107,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,宝源社区居民委员会,,
村,113.238196,23.116253,至宝社区居民委员会,,440103,020,440103004109,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,至宝社区居民委员会,,
村,113.238196,23.116253,恩宁社区居民委员会,,440103,020,440103004110,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,恩宁社区居民委员会,,
村,113.238196,23.116253,谊园社区居民委员会,,440103,020,440103004111,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,谊园社区居民委员会,,
村,113.238196,23.116253,天佑社区居民委员会,,440103,020,440103004112,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,天佑社区居民委员会,,
村,113.238196,23.116253,御景社区居民委员会,,440103,020,440103004113,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,多宝街道,御景社区居民委员会,,
村,113.235955,23.11561,荔湖社区居民委员会,,440103,020,440103005101,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,昌华街道,荔湖社区居民委员会,,
村,113.235955,23.11561,如意坊社区居民委员会,,440103,020,440103005102,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,昌华街道,如意坊社区居民委员会,,
村,113.235955,23.11561,逢庆社区居民委员会,,440103,020,440103005103,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,昌华街道,逢庆社区居民委员会,,
村,113.235955,23.11561,昌华苑社区居民委员会,,440103,020,440103005104,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,昌华街道,昌华苑社区居民委员会,,
村,113.235955,23.11561,西关大屋社区居民委员会,,440103,020,440103005106,111,,,,,,,,,亚洲,中国,广东,广州,荔湾区,昌华街道,西关大屋社区居民委员会,,
