级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,118.802529,32.043332,梅园新村社区居委会,,320102,025,320102002001,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,梅园新村社区居委会,,
村,118.799337,32.045028,大行宫社区居委会,,320102,025,320102002002,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,大行宫社区居委会,,
村,118.802384,32.048158,大影壁社区居委会,,320102,025,320102002005,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,大影壁社区居委会,,
村,118.799156,32.053304,东南大学社区居委会,,320102,025,320102002006,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,东南大学社区居委会,,
村,118.801865,32.054313,兰园社区居委会,,320102,025,320102002007,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,兰园社区居委会,,
村,118.819433,32.052304,太平门社区居委会,,320102,025,320102002009,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,太平门社区居委会,,
村,118.82428,32.043437,明故宫社区居委会,,320102,025,320102002010,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,明故宫社区居委会,,
村,118.819629,32.046148,北安门社区居委会,,320102,025,320102002011,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,北安门社区居委会,,
村,118.820259,32.051734,富贵山社区居委会,,320102,025,320102002012,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,梅园新村街道,富贵山社区居委会,,
村,118.790051,32.046749,香铺营社区居委会,,320102,025,320102003001,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,新街口街道,香铺营社区居委会,,
村,118.790325,32.042724,长江路社区居委会,,320102,025,320102003002,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,新街口街道,长江路社区居委会,,
村,118.787644,32.047528,北门桥社区居委会,,320102,025,320102003003,111,,,,,,,,,亚洲,中国,江苏,南京,玄武区,新街口街道,北门桥社区居委会,,
