级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,108.957424,34.262051,民乐社区居委会,,610102,029,610102001001,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,西一路街道,民乐社区居委会,,
村,108.958216,34.2617,红会社区居委会,,610102,029,610102001003,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,西一路街道,红会社区居委会,,
村,108.958216,34.2617,广场社区居委会,,610102,029,610102001004,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,西一路街道,广场社区居委会,,
村,108.958216,34.2617,尚朴社区居委会,,610102,029,610102001005,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,西一路街道,尚朴社区居委会,,
村,108.956667,34.267565,兴盛社区居委会,,610102,029,610102001007,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,西一路街道,兴盛社区居委会,,
村,108.949303,34.26714,新民社区居委会,,610102,029,610102001008,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,西一路街道,新民社区居委会,,
村,108.961343,34.270396,西三路社区居委会,,610102,029,610102001009,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,西一路街道,西三路社区居委会,,
村,108.955872,34.271439,兴乐社区居委会,,610102,029,610102001012,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,西一路街道,兴乐社区居委会,,
村,109.016729,34.268597,幸福社区居委会,,610102,029,610102002001,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,幸福社区居委会,,
村,108.999794,34.268368,金康社区居委会,,610102,029,610102002002,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,金康社区居委会,,
村,109.002434,34.270758,康乐社区居委会,,610102,029,610102002003,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,康乐社区居委会,,
村,109.022706,34.287377,向阳社区居委会,,610102,029,610102002004,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,向阳社区居委会,,
村,109.002034,34.270843,万年社区居委会,,610102,029,610102002005,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,万年社区居委会,,
村,109.007542,34.268968,黄河社区居委会,,610102,029,610102002006,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,黄河社区居委会,,
村,109.012288,34.261805,华山社区居委会,,610102,029,610102002007,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,华山社区居委会,,
村,109.006981,34.272961,西光社区居委会,,610102,029,610102002008,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,西光社区居委会,,
村,109.002434,34.270758,昆仑社区居委会,,610102,029,610102002009,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,昆仑社区居委会,,
村,109.002434,34.270758,韩北社区居民委员会,,610102,029,610102002010,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,韩北社区居民委员会,,
村,109.002434,34.270758,东尚社区居民委员会,,610102,029,610102002011,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,长乐中路街道,东尚社区居民委员会,,
村,108.969,34.263044,中山社区居委会,,610102,029,610102003001,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,中山门街道,中山社区居委会,,
村,108.98681,34.30549,万达社区居民委员会,,610112,029,610102003002,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,中山门街道,万达社区居民委员会,,
村,108.96849,34.27171,昌仁里社区居委会,,610102,029,610102003003,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,中山门街道,昌仁里社区居委会,,
村,108.96849,34.27171,东新社区居委会,,610102,029,610102003005,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,中山门街道,东新社区居委会,,
村,108.96849,34.27171,安民里社区居委会,,610102,029,610102003006,111,,,,,,,,,亚洲,中国,陕西,西安,新城区,中山门街道,安民里社区居委会,,
