级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,101.800292,36.617153,北关社区居民委员会,,630102,0971,630102001001,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,东关大街街道,北关社区居民委员会,,
村,101.801476,36.615698,慈幼社区居民委员会,,630102,0971,630102001004,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,东关大街街道,慈幼社区居民委员会,,
村,101.801476,36.615698,五一社区居民委员会,,630102,0971,630102001005,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,东关大街街道,五一社区居民委员会,,
村,101.8012,36.6191,团结社区居民委员会,,630102,0971,630102002008,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,清真巷街道,团结社区居民委员会,,
村,101.8012,36.6191,夏都花园社区居民委员会,,630102,0971,630102002009,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,清真巷街道,夏都花园社区居民委员会,,
村,101.8012,36.6191,南小街社区居民委员会,,630102,0971,630102002010,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,清真巷街道,南小街社区居民委员会,,
村,101.8012,36.6191,凤凰园社区居民委员会,,630102,0971,630102002011,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,清真巷街道,凤凰园社区居民委员会,,
村,101.8012,36.6191,磨尔园社区居民委员会,,630102,0971,630102002012,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,清真巷街道,磨尔园社区居民委员会,,
村,101.796876,36.616019,凯旋社区居民委员会,,630102,0971,630102003007,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,大众街街道,凯旋社区居民委员会,,
村,101.796876,36.616019,园山路社区居民委员会,,630102,0971,630102003008,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,大众街街道,园山路社区居民委员会,,
村,101.796876,36.616019,树林巷社区居民委员会,,630102,0971,630102003009,111,,,,,,,,,亚洲,中国,青海,西宁,城东区,大众街街道,树林巷社区居民委员会,,
