级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
村,126.625929,45.770393,省报社社区居委会,,230102,0451,230102001001,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,兆麟街道,省报社社区居委会,,
村,126.632681,45.768238,索菲亚社区居委会,,230102,0451,230102001002,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,兆麟街道,索菲亚社区居委会,,
村,126.627775,45.766641,兆麟社区居委会,,230102,0451,230102001003,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,兆麟街道,兆麟社区居委会,,
村,126.629924,45.774762,森林社区居委会,,230102,0451,230102001004,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,兆麟街道,森林社区居委会,,
村,126.62051,45.761337,银都社区居委会,,230102,0451,230102002001,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,新阳路街道,银都社区居委会,,
村,126.62051,45.761337,新阳社区居委会,,230102,0451,230102002002,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,新阳路街道,新阳社区居委会,,
村,126.62051,45.761337,地德里北段社区居委会,,230102,0451,230102002003,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,新阳路街道,地德里北段社区居委会,,
村,126.62051,45.761337,安化北段社区居委会,,230102,0451,230102002005,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,新阳路街道,安化北段社区居委会,,
村,126.616621,45.756861,安祥社区居委会,,230102,0451,230102003001,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,抚顺街道,安祥社区居委会,,
村,126.62107,45.755073,抚安社区居委会,,230102,0451,230102003002,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,抚顺街道,抚安社区居委会,,
村,126.614596,45.754622,抚顺社区居委会,,230102,0451,230102003003,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,抚顺街道,抚顺社区居委会,,
村,126.620077,45.756876,安吉社区居委会,,230102,0451,230102003004,111,,,,,,,,,亚洲,中国,黑龙江,哈尔滨,道里区,抚顺街道,安吉社区居委会,,
