级别,经度,纬度,中文名,英文名,编码1,编码2,编码3,编码4,编码5,别名1,别名2,别名3,别名4,别名5,平方公里,人口,洲,国家,省,市,区县,乡镇,村庄,建筑物,说明
全球,148.770017,27.499299,地球,Earth,,,,,,,,,,,,,地球,,,,,,,,
洲,111.23125,33.47486,亚洲,Asia,AS,,,,,,,,,,,,亚洲,,,,,,,,
洲,24.918,54.376174,欧洲,Europe,EU,,,,,,,,,,,,欧洲,,,,,,,,
洲,27.118551,8.777388,非洲,Africa,AF,,,,,,,,,,,,非洲,,,,,,,,
洲,135.406058,-24.375757,大洋洲,Oceania,OC,,,,,,,,,,,,大洋洲,,,,,,,,
洲,33.643453,-74.561146,南极洲,Antarctica,AT,,,,,,,,,,,,南极洲,,,,,,,,
洲,-104.695554,59.336138,北美洲,North America,NA,,,,,,,,,,,,北美洲,,,,,,,,
洲,-60.396237,-16.81103,南美洲,South America,SA,,,,,,,,,,,,南美洲,,,,,,,,
洲,149.828482,23.206392,其它,Others,,,,,,,,,,,,,其它,,,,,,,,
全球,149.828483,23.206393,全球,Global,,,,,,,,,,,,,全球,,,,,,,,
